groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.apache.opennlp,opennlp-tools,1.9.2,null,null,true,,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.9.2/opennlp-tools-1.9.2.jar,temp/dependencies/Novetta/CLAVIN/org/apache/opennlp/opennlp-tools/1.9.2/opennlp-tools-1.9.2.jar
ch.qos.logback,logback-classic,1.2.3,null,null,true,,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar,temp/dependencies/Novetta/CLAVIN/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar
org.apache.lucene,lucene-queryparser,8.5.2,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/8.5.2/lucene-queryparser-8.5.2.jar,temp/dependencies/Novetta/CLAVIN/org/apache/lucene/lucene-queryparser/8.5.2/lucene-queryparser-8.5.2.jar
commons-io,commons-io,2.7,null,null,true,,https://repo1.maven.org/maven2/commons-io/commons-io/2.7/commons-io-2.7.jar,temp/dependencies/Novetta/CLAVIN/commons-io/commons-io/2.7/commons-io-2.7.jar
com.fasterxml.jackson.core,jackson-databind,2.11.3,null,null,true,,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.11.3/jackson-databind-2.11.3.jar,temp/dependencies/Novetta/CLAVIN/com/fasterxml/jackson/core/jackson-databind/2.11.3/jackson-databind-2.11.3.jar
org.apache.httpcomponents,httpclient,4.5.13,null,null,true,,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar,temp/dependencies/Novetta/CLAVIN/org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar
org.apache.lucene,lucene-analyzers-common,8.5.2,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/8.5.2/lucene-analyzers-common-8.5.2.jar,temp/dependencies/Novetta/CLAVIN/org/apache/lucene/lucene-analyzers-common/8.5.2/lucene-analyzers-common-8.5.2.jar
org.apache.lucene,lucene-core,8.5.2,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/8.5.2/lucene-core-8.5.2.jar,temp/dependencies/Novetta/CLAVIN/org/apache/lucene/lucene-core/8.5.2/lucene-core-8.5.2.jar
org.mockito,mockito-core,3.6.0,null,null,true,,https://repo1.maven.org/maven2/org/mockito/mockito-core/3.6.0/mockito-core-3.6.0.jar,temp/dependencies/Novetta/CLAVIN/org/mockito/mockito-core/3.6.0/mockito-core-3.6.0.jar
commons-cli,commons-cli,1.4,null,null,true,,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.4/commons-cli-1.4.jar,temp/dependencies/Novetta/CLAVIN/commons-cli/commons-cli/1.4/commons-cli-1.4.jar
org.slf4j,slf4j-api,1.7.30,null,null,true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.7.30/slf4j-api-1.7.30.jar,temp/dependencies/Novetta/CLAVIN/org/slf4j/slf4j-api/1.7.30/slf4j-api-1.7.30.jar
org.apache.commons,commons-lang3,3.11,null,null,true,,https://repo1.maven.org/maven2/org/apache/commons/commons-lang3/3.11/commons-lang3-3.11.jar,temp/dependencies/Novetta/CLAVIN/org/apache/commons/commons-lang3/3.11/commons-lang3-3.11.jar
junit,junit,4.13,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.13/junit-4.13.jar,temp/dependencies/Novetta/CLAVIN/junit/junit/4.13/junit-4.13.jar
