groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.imixs.workflow,imixs-workflow-core,6.0.1-SNAPSHOT,null,null,true,6.0.0,https://repo1.maven.org/maven2/org/imixs/workflow/imixs-workflow-core/6.0.0/imixs-workflow-core-6.0.0.jar,temp/dependencies/imixs/imixs-workflow/org/imixs/workflow/imixs-workflow-core/6.0.0/imixs-workflow-core-6.0.0.jar
org.apache.lucene,lucene-analyzers-common,7.7.3,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/7.7.3/lucene-analyzers-common-7.7.3.jar,temp/dependencies/imixs/imixs-workflow/org/apache/lucene/lucene-analyzers-common/7.7.3/lucene-analyzers-common-7.7.3.jar
org.mockito,mockito-all,1.9.5,null,null,true,,https://repo1.maven.org/maven2/org/mockito/mockito-all/1.9.5/mockito-all-1.9.5.jar,temp/dependencies/imixs/imixs-workflow/org/mockito/mockito-all/1.9.5/mockito-all-1.9.5.jar
org.apache.lucene,lucene-core,7.7.3,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/7.7.3/lucene-core-7.7.3.jar,temp/dependencies/imixs/imixs-workflow/org/apache/lucene/lucene-core/7.7.3/lucene-core-7.7.3.jar
org.apache.lucene,lucene-queryparser,7.7.3,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/7.7.3/lucene-queryparser-7.7.3.jar,temp/dependencies/imixs/imixs-workflow/org/apache/lucene/lucene-queryparser/7.7.3/lucene-queryparser-7.7.3.jar
org.imixs.workflow,imixs-workflow-engine,6.0.1-SNAPSHOT,null,null,true,6.0.0,https://repo1.maven.org/maven2/org/imixs/workflow/imixs-workflow-engine/6.0.0/imixs-workflow-engine-6.0.0.jar,temp/dependencies/imixs/imixs-workflow/org/imixs/workflow/imixs-workflow-engine/6.0.0/imixs-workflow-engine-6.0.0.jar
org.glassfish.jaxb,jaxb-runtime,3.0.0,null,null,true,,https://repo1.maven.org/maven2/org/glassfish/jaxb/jaxb-runtime/3.0.0/jaxb-runtime-3.0.0.jar,temp/dependencies/imixs/imixs-workflow/org/glassfish/jaxb/jaxb-runtime/3.0.0/jaxb-runtime-3.0.0.jar
org.apache.xmlgraphics,fop,2.5,null,null,true,,https://repo1.maven.org/maven2/org/apache/xmlgraphics/fop/2.5/fop-2.5.jar,temp/dependencies/imixs/imixs-workflow/org/apache/xmlgraphics/fop/2.5/fop-2.5.jar
com.sun.jersey,jersey-server,1.1.5.1,null,null,true,,https://repo1.maven.org/maven2/com/sun/jersey/jersey-server/1.1.5.1/jersey-server-1.1.5.1.jar,temp/dependencies/imixs/imixs-workflow/com/sun/jersey/jersey-server/1.1.5.1/jersey-server-1.1.5.1.jar
org.eclipse.microprofile.metrics,microprofile-metrics-api,2.3,null,null,true,,https://repo1.maven.org/maven2/org/eclipse/microprofile/metrics/microprofile-metrics-api/2.3/microprofile-metrics-api-2.3.jar,temp/dependencies/imixs/imixs-workflow/org/eclipse/microprofile/metrics/microprofile-metrics-api/2.3/microprofile-metrics-api-2.3.jar
org.graalvm.js,js-scriptengine,20.2.0,null,null,true,,https://repo1.maven.org/maven2/org/graalvm/js/js-scriptengine/20.2.0/js-scriptengine-20.2.0.jar,temp/dependencies/imixs/imixs-workflow/org/graalvm/js/js-scriptengine/20.2.0/js-scriptengine-20.2.0.jar
jakarta.platform,jakarta.jakartaee-api,9.0.0,null,null,true,,https://repo1.maven.org/maven2/jakarta/platform/jakarta.jakartaee-api/9.0.0/jakarta.jakartaee-api-9.0.0.jar,temp/dependencies/imixs/imixs-workflow/jakarta/platform/jakarta.jakartaee-api/9.0.0/jakarta.jakartaee-api-9.0.0.jar
org.glassfish,jakarta.json,2.0.0,null,null,true,,https://repo1.maven.org/maven2/org/glassfish/jakarta.json/2.0.0/jakarta.json-2.0.0.jar,temp/dependencies/imixs/imixs-workflow/org/glassfish/jakarta.json/2.0.0/jakarta.json-2.0.0.jar
javax.ws.rs,jsr311-api,1.1.1,null,null,true,,https://repo1.maven.org/maven2/javax/ws/rs/jsr311-api/1.1.1/jsr311-api-1.1.1.jar,temp/dependencies/imixs/imixs-workflow/javax/ws/rs/jsr311-api/1.1.1/jsr311-api-1.1.1.jar
jakarta.xml.bind,jakarta.xml.bind-api,3.0.0,null,null,true,,https://repo1.maven.org/maven2/jakarta/xml/bind/jakarta.xml.bind-api/3.0.0/jakarta.xml.bind-api-3.0.0.jar,temp/dependencies/imixs/imixs-workflow/jakarta/xml/bind/jakarta.xml.bind-api/3.0.0/jakarta.xml.bind-api-3.0.0.jar
org.apache.lucene,lucene-facet,7.7.3,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-facet/7.7.3/lucene-facet-7.7.3.jar,temp/dependencies/imixs/imixs-workflow/org/apache/lucene/lucene-facet/7.7.3/lucene-facet-7.7.3.jar
javax.mail,mail,1.4,null,null,true,,https://repo1.maven.org/maven2/javax/mail/mail/1.4/mail-1.4.jar,temp/dependencies/imixs/imixs-workflow/javax/mail/mail/1.4/mail-1.4.jar
org.graalvm.js,js,20.2.0,null,null,true,,https://repo1.maven.org/maven2/org/graalvm/js/js/20.2.0/js-20.2.0.jar,temp/dependencies/imixs/imixs-workflow/org/graalvm/js/js/20.2.0/js-20.2.0.jar
junit,junit,4.13.1,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.13.1/junit-4.13.1.jar,temp/dependencies/imixs/imixs-workflow/junit/junit/4.13.1/junit-4.13.1.jar
