groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
commons-cli,commons-cli,1.2,null,null,true,,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.2/commons-cli-1.2.jar,temp/dependencies/lintool/twitter-tools/commons-cli/commons-cli/1.2/commons-cli-1.2.jar
log4j,log4j,1.2.17,null,null,true,,https://repo1.maven.org/maven2/log4j/log4j/1.2.17/log4j-1.2.17.jar,temp/dependencies/lintool/twitter-tools/log4j/log4j/1.2.17/log4j-1.2.17.jar
junit,junit,3.8.1,null,null,true,,https://repo1.maven.org/maven2/junit/junit/3.8.1/junit-3.8.1.jar,temp/dependencies/lintool/twitter-tools/junit/junit/3.8.1/junit-3.8.1.jar
org.apache.lucene,lucene-core,4.8.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/4.8.0/lucene-core-4.8.0.jar,temp/dependencies/lintool/twitter-tools/org/apache/lucene/lucene-core/4.8.0/lucene-core-4.8.0.jar
com.google.guava,guava,17.0,null,null,true,,https://repo1.maven.org/maven2/com/google/guava/guava/17.0/guava-17.0.jar,temp/dependencies/lintool/twitter-tools/com/google/guava/guava/17.0/guava-17.0.jar
org.apache.commons,commons-math3,3.2,null,null,true,,https://repo1.maven.org/maven2/org/apache/commons/commons-math3/3.2/commons-math3-3.2.jar,temp/dependencies/lintool/twitter-tools/org/apache/commons/commons-math3/3.2/commons-math3-3.2.jar
edu.gslis,ir-utils,0.0.1-SNAPSHOT,null,null,false,null,,
org.apache.lucene,lucene-queryparser,4.3.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/4.3.1/lucene-queryparser-4.3.1.jar,temp/dependencies/lintool/twitter-tools/org/apache/lucene/lucene-queryparser/4.3.1/lucene-queryparser-4.3.1.jar
com.google.guava,guava,14.0.1,null,null,true,,https://repo1.maven.org/maven2/com/google/guava/guava/14.0.1/guava-14.0.1.jar,temp/dependencies/lintool/twitter-tools/com/google/guava/guava/14.0.1/guava-14.0.1.jar
org.apache.hadoop,hadoop-core,1.2.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-core/1.2.1/hadoop-core-1.2.1.jar,temp/dependencies/lintool/twitter-tools/org/apache/hadoop/hadoop-core/1.2.1/hadoop-core-1.2.1.jar
