groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.apache.lucene,lucene-codecs,6.6.0,,"lucene,apache,codec,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-codecs/6.6.0/lucene-codecs-6.6.0.jar,temp/dependencies/semanticvectors/semanticvectors/org/apache/lucene/lucene-codecs/6.6.0/lucene-codecs-6.6.0.jar
org.apache.lucene,lucene-analyzers-common,6.6.0,,"lucene,analyzer,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/6.6.0/lucene-analyzers-common-6.6.0.jar,temp/dependencies/semanticvectors/semanticvectors/org/apache/lucene/lucene-analyzers-common/6.6.0/lucene-analyzers-common-6.6.0.jar
org.apache.lucene,lucene-core,6.6.0,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/6.6.0/lucene-core-6.6.0.jar,temp/dependencies/semanticvectors/semanticvectors/org/apache/lucene/lucene-core/6.6.0/lucene-core-6.6.0.jar
net.sourceforge.parallelcolt,parallelcolt,0.10.0,Vector/Matrix Libraries,"match,vector,matrix",true,,https://repo1.maven.org/maven2/net/sourceforge/parallelcolt/parallelcolt/0.10.0/parallelcolt-0.10.0.jar,temp/dependencies/semanticvectors/semanticvectors/net/sourceforge/parallelcolt/parallelcolt/0.10.0/parallelcolt-0.10.0.jar
junit,junit,4.11,Testing Frameworks,"testing,junit",true,,https://repo1.maven.org/maven2/junit/junit/4.11/junit-4.11.jar,temp/dependencies/semanticvectors/semanticvectors/junit/junit/4.11/junit-4.11.jar
pitt.search,semanticvectors,5.8,,search,true,,https://repo1.maven.org/maven2/pitt/search/semanticvectors/5.8/semanticvectors-5.8.jar,temp/dependencies/semanticvectors/semanticvectors/pitt/search/semanticvectors/5.8/semanticvectors-5.8.jar
org.apache.lucene,lucene-queryparser,6.6.0,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/6.6.0/lucene-queryparser-6.6.0.jar,temp/dependencies/semanticvectors/semanticvectors/org/apache/lucene/lucene-queryparser/6.6.0/lucene-queryparser-6.6.0.jar
org.apache.lucene,lucene-demo,6.6.0,,"lucene,apache,example,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-demo/6.6.0/lucene-demo-6.6.0.jar,temp/dependencies/semanticvectors/semanticvectors/org/apache/lucene/lucene-demo/6.6.0/lucene-demo-6.6.0.jar
org.jsoup,jsoup,1.7.3,HTML Parsers,"html,parser",true,,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.7.3/jsoup-1.7.3.jar,temp/dependencies/semanticvectors/semanticvectors/org/jsoup/jsoup/1.7.3/jsoup-1.7.3.jar
org.apache.lucene,lucene-misc,6.6.0,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-misc/6.6.0/lucene-misc-6.6.0.jar,temp/dependencies/semanticvectors/semanticvectors/org/apache/lucene/lucene-misc/6.6.0/lucene-misc-6.6.0.jar
