groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.springframework,spring-context,2.5.5,null,null,true,,https://repo1.maven.org/maven2/org/springframework/spring-context/2.5.5/spring-context-2.5.5.jar,temp/dependencies/senseidb/bobo/org/springframework/spring-context/2.5.5/spring-context-2.5.5.jar
it.unimi.dsi,fastutil,6.4.4,null,null,true,,https://repo1.maven.org/maven2/it/unimi/dsi/fastutil/6.4.4/fastutil-6.4.4.jar,temp/dependencies/senseidb/bobo/it/unimi/dsi/fastutil/6.4.4/fastutil-6.4.4.jar
log4j,log4j,1.2.13,null,null,true,,https://repo1.maven.org/maven2/log4j/log4j/1.2.13/log4j-1.2.13.jar,temp/dependencies/senseidb/bobo/log4j/log4j/1.2.13/log4j-1.2.13.jar
org.apache.lucene,lucene-spatial,4.3.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-spatial/4.3.0/lucene-spatial-4.3.0.jar,temp/dependencies/senseidb/bobo/org/apache/lucene/lucene-spatial/4.3.0/lucene-spatial-4.3.0.jar
log4j,log4j,1.2.14,null,null,true,,https://repo1.maven.org/maven2/log4j/log4j/1.2.14/log4j-1.2.14.jar,temp/dependencies/senseidb/bobo/log4j/log4j/1.2.14/log4j-1.2.14.jar
org.apache.lucene,lucene-analyzers-common,4.3.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/4.3.0/lucene-analyzers-common-4.3.0.jar,temp/dependencies/senseidb/bobo/org/apache/lucene/lucene-analyzers-common/4.3.0/lucene-analyzers-common-4.3.0.jar
org.apache.lucene,lucene-queryparser,4.3.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/4.3.0/lucene-queryparser-4.3.0.jar,temp/dependencies/senseidb/bobo/org/apache/lucene/lucene-queryparser/4.3.0/lucene-queryparser-4.3.0.jar
commons-cli,commons-cli,1.2,null,null,true,,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.2/commons-cli-1.2.jar,temp/dependencies/senseidb/bobo/commons-cli/commons-cli/1.2/commons-cli-1.2.jar
org.apache.lucene,lucene-core,4.3.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/4.3.0/lucene-core-4.3.0.jar,temp/dependencies/senseidb/bobo/org/apache/lucene/lucene-core/4.3.0/lucene-core-4.3.0.jar
junit,junit,4.5,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.5/junit-4.5.jar,temp/dependencies/senseidb/bobo/junit/junit/4.5/junit-4.5.jar
