groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.apache.httpcomponents,httpclient,4.5.2,null,null,true,,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.5.2/httpclient-4.5.2.jar,temp/dependencies/weiboad/fiery/org/apache/httpcomponents/httpclient/4.5.2/httpclient-4.5.2.jar
com.squareup.okhttp3,okhttp,3.8.0,null,null,true,,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.8.0/okhttp-3.8.0.jar,temp/dependencies/weiboad/fiery/com/squareup/okhttp3/okhttp/3.8.0/okhttp-3.8.0.jar
org.springframework.boot,spring-boot-starter-test,1.5.2.RELEASE,null,null,true,,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-test/1.5.2.RELEASE/spring-boot-starter-test-1.5.2.RELEASE.jar,temp/dependencies/weiboad/fiery/org/springframework/boot/spring-boot-starter-test/1.5.2.RELEASE/spring-boot-starter-test-1.5.2.RELEASE.jar
org.springframework.boot,spring-boot-starter-freemarker,1.5.2.RELEASE,null,null,true,,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-freemarker/1.5.2.RELEASE/spring-boot-starter-freemarker-1.5.2.RELEASE.jar,temp/dependencies/weiboad/fiery/org/springframework/boot/spring-boot-starter-freemarker/1.5.2.RELEASE/spring-boot-starter-freemarker-1.5.2.RELEASE.jar
org.apache.lucene,lucene-grouping,7.2.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-grouping/7.2.1/lucene-grouping-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-grouping/7.2.1/lucene-grouping-7.2.1.jar
org.springframework.boot,spring-boot-configuration-processor,1.5.2.RELEASE,null,null,true,,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-configuration-processor/1.5.2.RELEASE/spring-boot-configuration-processor-1.5.2.RELEASE.jar,temp/dependencies/weiboad/fiery/org/springframework/boot/spring-boot-configuration-processor/1.5.2.RELEASE/spring-boot-configuration-processor-1.5.2.RELEASE.jar
org.apache.lucene,lucene-analyzers-common,7.2.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/7.2.1/lucene-analyzers-common-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-analyzers-common/7.2.1/lucene-analyzers-common-7.2.1.jar
org.jetbrains,annotations,15.0,null,null,true,,https://repo1.maven.org/maven2/org/jetbrains/annotations/15.0/annotations-15.0.jar,temp/dependencies/weiboad/fiery/org/jetbrains/annotations/15.0/annotations-15.0.jar
org.apache.lucene,lucene-highlighter,7.2.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-highlighter/7.2.1/lucene-highlighter-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-highlighter/7.2.1/lucene-highlighter-7.2.1.jar
org.apache.lucene,lucene-core,7.2.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/7.2.1/lucene-core-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-core/7.2.1/lucene-core-7.2.1.jar
org.rocksdb,rocksdbjni,4.9.0,null,null,true,,https://repo1.maven.org/maven2/org/rocksdb/rocksdbjni/4.9.0/rocksdbjni-4.9.0.jar,temp/dependencies/weiboad/fiery/org/rocksdb/rocksdbjni/4.9.0/rocksdbjni-4.9.0.jar
org.apache.lucene,lucene-analyzers-smartcn,7.2.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-smartcn/7.2.1/lucene-analyzers-smartcn-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-analyzers-smartcn/7.2.1/lucene-analyzers-smartcn-7.2.1.jar
com.google.code.gson,gson,2.7,null,null,true,,https://repo1.maven.org/maven2/com/google/code/gson/gson/2.7/gson-2.7.jar,temp/dependencies/weiboad/fiery/com/google/code/gson/gson/2.7/gson-2.7.jar
commons-lang,commons-lang,2.6,null,null,true,,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.6/commons-lang-2.6.jar,temp/dependencies/weiboad/fiery/commons-lang/commons-lang/2.6/commons-lang-2.6.jar
