groupId,artifactId,mcrTags
org.apache.edgent,edgent-connectors-http,"apache,connector,http"
io.gravitee.node,gravitee-node-api,"io,api"
org.apache.ignite,ignite-spring-data,"data,spring,apache"
com.dracoon,dracoon-crypto-sdk,"cryptography,sdk"
org.apache.pinot,pinot-common,apache
com.foundationdb,fdb-sql-parser,"sql,parser"
org.jboss.osgi.metadata,jbosgi-metadata,"jboss,metadata,osgi"
com.speedment.jpastreamer,analytics,analytics
org.jboss.arquillian.container,arquillian-jetty-embedded-9,"embedded,server,container,webserver,jboss,jetty"
org.quartz-scheduler.wso2,quartz,scheduling
org.apache.servicecomb.toolkit,oas-validator-compatibility,"tools,compatibility,apache,toolkit,validation"
io.opentracing.contrib,opentracing-thrift,"serialization,thrift,io,tracing,protocol"
io.quarkus,quarkus-resteasy-jackson,io
org.apache.xmlgraphics,fop-core,apache
ddf.catalog.core,versioning-api,api
io.airlift.drift,drift-transport-apache,"transport,apache,io"
org.nutz,nutz-integration-jedisque,integration
org.springframework.cloud.fn,geode-common,"spring,cloud"
org.sakaiproject.sitemanage,sakai-site-manage-api,api
org.testingisdocumenting.webtau,webtau-junit5-groovy,"junit,testing,groovy"
com.ibm.wala,com.ibm.wala.shrike,"bytecode,ibm"
org.xwiki.platform,xwiki-platform-search-solr-query,"query,platform,solr,search"
tk.mybatis,mapper-core,"persistence,mapping"
io.quarkus,quarkus-oidc-token-propagation,"token,io"
com.mycila.com.google.inject,guice,"google,dependency-injection"
org.jboss.forge.addon,facets-api,"jboss,api"
org.apache.aries.cdi,org.apache.aries.cdi.weld,apache
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.nlp4j-model-parser-en-default,"nlp,model,parser"
com.gluonhq.attachextended,log,logging
org.apache.unomi,unomi-web-tracker-wab,"web,apache,tracking"
org.hjug.refactorfirst.plugin,refactor-first-maven-plugin,"plugin,build,build-system,maven"
org.eclipse.paho,org.eclipse.paho.mqttv5.client,"plugin,eclipse,client"
org.sonatype.nexus.plugins,nexus-audit-plugin,plugin
org.glassfish.main.ejb,ejb-internal-api,"ejb,api"
org.apache.xmlgraphics,fop-transcoder-allinone,apache
org.webjars.npm,lodash,"web,assets"
com.googlecode.wicket-jquery-ui,wicket-kendo-ui-theme-bootstrap,"ui,jquery,wicket,bootstrap"
io.vertx,vertx-auth-webauthn,"vertx,authentication,io"
com.oracle.oci.sdk,oci-java-sdk-certificatesmanagement,sdk
org.gradle,gradle-native,"native,build,build-system,gradle,groovy"
com.artipie,http-client,"client,http"
org.glassfish,javax.annotation,annotations
cn.springcloud.gray,spring-cloud-gray-plugin-eureka,"plugin,spring,cloud"
com.oracle.oci.sdk,oci-java-sdk-addons-apache,"sdk,apache"
org.apache.camel.quarkus,camel-quarkus-azure-storage-datalake,"azure,apache,storage,camel"
org.openhab.addons.bundles,org.openhab.binding.bluetooth.ruuvitag,"binding,bundle"
org.wildfly.swarm,jgroups-runtime,runtime
org.bytedeco,libpostal-platform,platform
io.ebean,ebean-redis,"io,redis,database"
org.eclipse.leshan,leshan-server-cf,"server,eclipse"
org.apache.omid,omid-hbase-client-hbase2.x,"database,apache,client,hbase"
org.apache.deltaspike.modules,deltaspike-partial-bean-module-api,"module,beans,apache,api"
com.walmartlabs.concord.server.plugins.ansible,concord-ansible-plugin-client,"plugin,server,client"
org.sakaiproject,sakai-kerberos-provider,provider
org.jboss.arquillian.container,arquillian-jetty-embedded-7,"embedded,server,container,webserver,jboss,jetty"
org.apache.servicemix.bundles,org.apache.servicemix.bundles.aws-java-sdk,"aws,amazon,bundle,esb,sdk,apache"
io.gravitee.node,gravitee-node-kubernetes,"kubernetes,io"
org.apache.santuario,xmlsec,"security,apache"
org.gephi,layout-api,"module,api,netbeans"
org.apache.knox,gateway-discovery-cm,"gateway,apache,discovery"
org.wildfly.swarm,webservices-modules,"module,webservice"
org.neo4j,neo4j-random-values,"database,random,generator,security,graph,neo4j"
org.openimaj,image-local-features,image
org.wso2.carbon.identity.local.auth.requestpath.basic,org.wso2.carbon.identity.application.authenticator.requestpath.basicauth.server.feature,"server,authentication,identity"
org.nuxeo.ecm.platform,nuxeo-platform-video-core,"video,platform"
io.quarkus,quarkus-resteasy-mutiny-deployment,"deployment,io"
org.apache.james,james-server-protocols-library,"server,apache,mail,library,protocol"
org.geoserver.community,gs-rest-openapi-generated-model,"model,rest,geo,api"
org.apache.nifi,nifi-hbase_2-client-service,"database,service,apache,client,hbase"
org.sonarsource.sonarqube,sonar-ws,sonar
com.github.waffle,waffle-shiro,"github,security"
org.wso2.carbon.automation,org.wso2.carbon.automation.api,api
org.talend.esb.auxiliary.storage,auxiliary-storage-features,"esb,storage"
org.apache.edgent.java7,edgent-connectors-iot,"apache,connector"
io.quarkus,quarkus-panacheql,io
io.nuls.tools-module,tools,"io,tools,module"
com.google.cloud,cloud-spanner-spring-data-r2dbc,"data,google,spring,cloud"
io.qameta.allure,allure-testng,"testng,testing,io"
org.kie.kogito,kogito-addons-quarkus-events-predictions,event
io.stargate.metrics,metrics-jersey,"webservice,metrics,io"
org.springframework.cloud,spring-cloud-dataflow-core-dsl,"spring,cloud,dsl"
org.dashbuilder,dashbuilder-cms-client,client
org.cryptomator,integrations-api,api
org.jeasy,easy-rules-support,"support,rules"
com.azure.resourcemanager,azure-resourcemanager-storage,"azure,storage"
org.apache.tomee,openejb-provisionning,"ejb,apache"
com.atomgraph,processor,processor
io.bdrc,mcouch-ektorp,io
org.eclipse.jkube,jkube-kit-config-image,"image,eclipse,config"
org.netbeans.modules,org-netbeans-modules-editor-actions,"module,ide,editor,netbeans"
org.apache.helix,metrics-common,"apache,metrics"
com.google.cloud,spring-cloud-gcp-starter,"google,spring,cloud,starter"
io.quarkiverse.neo4j,quarkus-neo4j,"database,graph,neo4j,io"
org.neo4j,neo4j-parser,"database,parser,graph,neo4j"
org.nuxeo.ecm.platform,nuxeo-tree-snapshot-core,"tree,platform"
org.slf4j,slf4j-jcl,"logging,bridge,slf4j"
org.apache.nifi,nifi-rules-action-handler-service,"service,apache,rules"
com.github.xkzhangsan,xk-time,"github,time"
com.slack.api,bolt-google-cloud-functions,"google,cloud,api"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.decompounding-model-splitter-de-grfExt,model
dk.dma.ais.lib,ais-lib-messages,library
org.apache.hbase,hbase-common,"database,hadoop,apache,hbase"
org.apache.flink,flink-shaded-guava,apache
org.apache.lucene,lucene-analyzers-stempel,"lucene,analyzer,apache,index"
com.microsoft.azure,azure-keyvault-cryptography,"cryptography,azure"
org.apache.maven,maven-project-builder,"build,builder,build-system,maven,apache"
com.navercorp.pinpoint,pinpoint-resttemplate-plugin,plugin
org.apache.camel.quarkus,camel-quarkus-servicenow,"apache,camel"
org.apache.rya,rya.api.evaluation,"apache,api,evaluation"
org.vaadin.alump,ckeditor,"web-framework,gwt"
io.sarl,io.sarl.eclipse,"io,eclipse,plugin"
org.wso2.carbon.identity.conditional.auth.functions,org.wso2.carbon.identity.conditional.auth.functions.cookie,"authentication,identity"
cloud.piranha.extension,piranha-extension-tempdir,"cloud,extension"
com.sun.grizzly,grizzly-compat,compatibility
io.atlasmap,atlas-java-model,"model,io"
io.fabric8,spring-cloud-kubernetes-zipkin,"kubernetes,spring,cloud,io,tracing"
io.debezium,debezium-server-eventhubs,"server,io"
io.apiman,apiman-common-logging-slf4j,"logging,io,api,slf4j"
org.apache.camel.quarkus,camel-quarkus-weka,"apache,machine-learning,camel"
org.bytedeco,ffmpeg-platform,platform
org.http4k,http4k-core,http
fr.opensagres.xdocreport,org.apache.poi.xwpf.converter.xhtml,apache
org.wikidata.wdtk,wdtk-client,client
com.alibaba.rsocket,alibaba-rsocket-spring-boot-starter,"spring,starter"
org.metawidget.modules.faces,metawidget-richfaces,module
org.glassfish.hk2.external,javax.inject,dependency-injection
org.wildfly.galleon-plugins,transformer,plugin
info.bliki.wiki,bliki-core,wiki
io.vertx,vertx-web-sstore-cookie,"web,vertx,io"
org.camunda.spin,camunda-spin-dataformat-json-jackson,json
io.quarkus,quarkus-qute,io
io.opentracing.contrib,opentracing-interceptors,"io,tracing"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.mecab-model-tagger-jp-ipadic,model
com.navercorp.pinpoint,pinpoint-commons-hbase,"database,hbase"
org.apache.servicecomb,swagger-generator-core,"generator,apache,swagger,api"
org.apache.apex,apex-shaded-ning19,apache
org.apache.gora,gora-compiler-cli,"compiler,hadoop,apache,command-line"
org.geoserver.web,gs-web-sec-ldap,"geo,web,ldap,directory"
com.google.cloud,google-cloud-monitoring,"monitoring,google,cloud"
com.bladejava,blade-asm,bytecode
org.assertj,assertj-joda-time,time
org.eclipse.rap,org.eclipse.rap.rwt,eclipse
asm,asm-debug-all,"bytecode,debug"
org.apache.calcite,calcite-babel,apache
org.forgerock.ce.commons,json-resource-servlet,"json,servlet,resource"
com.webank.wedatasphere.linkis,linkis-protocol,protocol
org.springblade,blade-core-cloud,cloud
org.eclipse.vorto,mapping-target-awsiot,"eclipse,mapping"
org.gephi,preview-api,"module,api,netbeans"
org.wso2.carbon.identity.local.auth.fido,org.wso2.carbon.identity.api.user.fido2,"authentication,api,identity"
io.gravitee.apim.rest.api,gravitee-apim-rest-api-spec-converter,"rest,io,api"
org.tuxdevelop,spring-batch-lightmin-core-configuration,"spring,config,batch"
com.amazonaws,aws-java-sdk-cognitoidentity,"aws,amazon,sdk"
org.openhab.persistence,org.openhab.persistence.dynamodb,"plugin,database,persistence,aws,dynamodb,eclipse"
org.eclipse.jgit,org.eclipse.jgit.lfs,"eclipse,git"
org.jenkins-ci.plugins,matrix-auth,"plugin,matrix,authentication,jenkins"
com.alibaba.jvm.sandbox,sandbox-api,api
io.quarkus,quarkus-oidc-common,io
io.grpc,grpc-protobuf-lite,"grpc,serialization,io,rpc,protocol"
com.google.cloud,spring-cloud-gcp-starter-data-firestore,"data,google,spring,cloud,starter"
org.apache.isis.core,isis-core-runtime,"apache,runtime"
com.carrotsearch.thirdparty,simple-xml-safe,xml
org.apache.tomee,openejb-itests-beans,"beans,ejb,apache"
io.sundr,builder-annotations,"builder,annotations,io"
org.odpi.egeria,rex-view-spring,"spring,view"
org.wildfly.core,wildfly-subsystem-test-framework,"framework,testing"
org.dcache,dcache-view,view
com.taobao.arthas,arthas-tunnel-client,client
fr.pilato.elasticsearch.crawler,fscrawler-tika,"elasticsearch,elastic,crawler,search"
com.rabbitmq,http-client,"rabbitmq,queue,amqp,client,http"
org.openhab.core.bundles,org.openhab.core.model.lsp,"bundle,model"
org.metawidget.modules.commons,metawidget-beanutils,"module,beans"
org.apache.spark,spark-graphx_2.12,"database,nosql,spark,apache,graph"
org.apache.atlas,impala-bridge-shim,"bridge,apache"
org.apache.spark,spark-graphx_2.10,"database,nosql,spark,apache,graph"
org.sakaiproject.rsf,sakai-rsf-web-evolvers,web
org.apache.spark,spark-graphx_2.11,"database,nosql,spark,apache,graph"
uk.gov.dstl.baleen,baleen-graph-neo4j,"database,graph,neo4j"
org.gradle,gradle-plugins,"plugin,build,build-system,gradle,groovy"
com.github.xiaoymin,knife4j-spring-boot-starter,"github,spring,starter"
org.apache.asterix,asterix-lang-sqlpp,apache
net.sourceforge.htmlcleaner,htmlcleaner,"html,parser"
org.openrdf.sesame,sesame-query,query
org.openhab.addons.bundles,org.openhab.binding.rfxcom,"binding,bundle"
org.apache.pulsar,pulsar-io-cassandra,"database,cassandra,apache,io"
org.apache.nifi,nifi-druid-processors,"apache,processor"
com.google.code.simple-spring-memcached,spymemcached,"google,spring,memcached"
org.jboss.resteasy,resteasy-json-p-provider,"provider,json,jboss"
org.apache.xmlgraphics,batik-svgpp,"svg,apache,graphics"
io.quarkus,quarkus-test-oidc-server,"server,testing,io"
com.xkcoding,nacos-naming,naming
org.geotools.schemas,xlink-1999,"geo,schema"
net.kyori,adventure-platform-bukkit,platform
org.neo4j,neo4j-logging,"database,logging,graph,neo4j"
org.nutz,nutzboot-starter-wkcache,starter
org.nuxeo.ecm.platform,nuxeo-platform-signature-core,"platform,signing"
io.nuls.contract-module,contract-base,"module,io"
org.neo4j.springframework.data,spring-data-neo4j-rx-spring-boot-starter,"database,data,spring,graph,neo4j,starter"
org.apache.camel,camel-webhook,"apache,camel"
com.thinkbiganalytics.kylo,kylo-security-auth-kylo-local,"security,authentication"
io.micronaut,micronaut-inject,"io,dependency-injection"
