repositoryName,mcrTags
xwiki/xwiki-platform,"[filtering,platform,query,scripting,search,solr]"
awslabs/aws-athena-query-federation,"[amazon,aws,sdk]"
apache/httpcomponents-client,"[cache,client]"
FenixEdu/fenixedu-academic,"[html,parser]"
apache/camel-quarkus,"[amazon,apache,aws,azure,cache,camel,deployment,machine-learning,storage]"
winder/Universal-G-Code-Sender,"[editor,ide,module,netbeans]"
apache/servicecomb-toolkit,"[apache,api,compatibility,generator,swagger,toolkit,tools,validation]"
734839030/seezoon-stack,"[github,spring,starter]"
apache/camel,"[apache,camel,junit,testing]"
apache/rya,"[apache,api,database,evaluation,graph,nosql,spark]"
infinispan/infinispan,"[amazon,aws,cache,client,sdk]"
locationtech/geowave,"[apache,database,grpc,hadoop,hbase,io,protocol,rpc,serialization]"
alibaba/DataX,"[apache,database,google,hadoop,hbase,memcached,spring]"
gabrie-allaigre/sonar-gitlab-plugin,[sonar]
MyRobotLab/myrobotlab,[client]
twitter/hraven,"[apache,database,hadoop,hbase]"
guchengwuyue/yshopmall,"[github,spring,starter]"
baremaps/baremaps,"[junit,testing]"
spring-cloud/spring-cloud-dataflow-samples,"[junit,testing]"
GoogleCloudPlatform/spring-cloud-gcp,"[cloud,data,google,spring,starter]"
stargate/stargate,"[io,metrics,webservice]"
apache/skywalking-java,"[amqp,cache,client,http,queue,rabbitmq]"
Talend/tdi-studio-se,"[apache,database,hadoop,hbase]"
snowdrop/istio-java-api,"[annotations,builder,io]"
mahmoudparsian/data-algorithms-book,[wiki]
apache/isis,"[apache,github,runtime]"
kiegroup/droolsjbpm-integration,"[apache,security]"
apache/nifi,"[apache,client,config,database,hbase,logging,processor,proxy,rules,service]"
Frameworkium/frameworkium-core,"[io,testing,testng]"
adorsys/keycloak-config-cli,"[junit,testing]"
Evolveum/midpoint,"[apache,api,repository,security]"
mongock/mongock,"[junit,testing]"
jenkinsci/jenkins,"[authentication,jenkins,matrix,plugin]"
apache/kylin,"[apache,cache,client,database,hadoop,hbase]"
hazelcast/hazelcast,"[cache,client]"
riskscanner/riskscanner,"[github,spring,starter]"
vert-x3/vertx-mqtt,"[client,eclipse,plugin]"
togglz/togglz,"[junit,testing]"
lintool/Cloud9,[wiki]
networknt/light-example-4j,[dsl]
moxi624/mogu_blog_v2,"[github,spring,starter]"
dadoonet/fscrawler,"[crawler,elastic,elasticsearch,search]"
my-dlq/blog-example,"[github,spring,starter]"
EnMasseProject/enmasse,"[admin,annotations,builder,client,io]"
eclipse/leshan,"[eclipse,server]"
streamxhub/streamx,"[apache,database,hadoop,hbase]"
apache/incubator-retired-htrace,"[apache,database,hadoop,hbase]"
keycloak/keycloak,"[admin,apache,client,framework,plugin,security,testing]"
eclipse/jetty.project,"[eclipse,jetty,server,webserver]"
mcMMO-Dev/mcMMO,[platform]
abel533/Mapper,"[mapping,persistence]"
FundRequest/platform,"[admin,client]"
apache/servicemix,"[apache,camel,esb,example,soap]"
jenkinsci/role-strategy-plugin,"[authentication,jenkins,matrix,plugin]"
neo4j-contrib/neo4j-mazerunner,"[apache,database,graph,nosql,spark]"
GoogleCloudPlatform/DataflowTemplates,"[apache,database,hadoop,hbase]"
eclipse/vorto,"[eclipse,mapping]"
apache/james-project,"[apache,library,mail,protocol,server]"
oracle/helidon,"[dependency-injection,io]"
itext/itextpdf,"[apache,security]"
wso2/micro-integrator,"[api,scheduling]"
gravitee-io/gravitee-api-management,"[api,container,io,kubernetes,rest]"
yahoo/FEL,[wiki]
hapifhir/hapi-fhir,"[junit,testing]"
malikzh/NCANode,"[apache,security]"
javaee/hk2,[dependency-injection]
pac4j/pac4j,"[apache,io,security]"
ozimov/spring-boot-email-tools,"[mail,spring,template]"
odpi/egeria,"[api,consumer,spring,view]"
spring-projects/spring-data-examples,[github]
jenkinsci/warnings-ng-plugin,"[git,io,jenkins,plugin,scm]"
cdapio/cdap,"[amazon,apache,aws,database,hadoop,hbase,sdk]"
pinpoint-apm/pinpoint,"[client,database,eclipse,hbase,plugin]"
bmwcarit/joynr,"[build,build-system,gradle,groovy]"
QualInsight/qualinsight-plugins-sonarqube-badges,[sonar]
apiman/apiman,"[api,io,junit,logging,slf4j,testing]"
spring-cloud/spring-cloud-core-tests,"[junit,testing]"
forge/core,"[api,jboss]"
alibaba/alibaba-rsocket-broker,"[github,spring,starter]"
NightWhistler/HtmlSpanner,"[html,parser]"
matevip/matecloud,"[github,spring,starter]"
KylinOLAP/Kylin,"[apache,database,hadoop,hbase]"
eclipse/deeplearning4j,"[assets,eclipse,git,web]"
hadooparchitecturebook/hadoop-arch-book,"[apache,database,graph,hadoop,hbase,nosql,spark]"
demoiselle/signer,"[apache,security]"
randomizedtesting/randomizedtesting,[xml]
apache/hbase,"[apache,cache,client,database,hadoop,hbase]"
fabric8io/spring-cloud-kubernetes,"[cloud,io,kubernetes,spring,tracing]"
vert-x3/vertx-stack,"[authentication,io,vertx,web]"
spotify/flo,"[apache,bytecode]"
wildfly/wildfly,"[admin,apache,client,grpc,io,jboss,json,plugin,protocol,provider,rpc,security,serialization,tracing]"
geotools/geotools,"[geo,schema]"
reactiverse/es4x,"[authentication,io,vertx,web]"
jhunters/jprotobuf,"[build,build-system,gradle,groovy,plugin]"
quick-perf/quickperf,"[junit,testing]"
geoserver/geoserver,"[api,directory,geo,ldap,model,rest,web]"
opentracing-contrib/java-specialagent,"[cache,client,io,protocol,serialization,thrift,tracing]"
openhab/openhab1-addons,"[aws,database,dynamodb,eclipse,persistence,plugin]"
bytedeco/javacpp-presets,[platform]
aws/aws-sdk-java-v2,"[amazon,aws]"
housepower/ClickHouse-Native-JDBC,"[junit,testing]"
Waffle/waffle,"[github,security]"
INRIA/spoon,"[io,junit,testing]"
eclipse/jkube,"[build,build-system,config,eclipse,gradle,groovy,image,io,native,plugin]"
Vedenin/useful-java-links,[annotations]
oehf/ipf,"[apache,security]"
apache/shiro,[github]
