groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.jolokia,jolokia-client-java,1.3.4,null,null,true,,https://repo1.maven.org/maven2/org/jolokia/jolokia-client-java/1.3.4/jolokia-client-java-1.3.4.jar,temp/dependencies/Stratio/cassandra-lucene-index/org/jolokia/jolokia-client-java/1.3.4/jolokia-client-java-1.3.4.jar
org.scalatest,scalatest_${scala.binary.version},3.0.1,null,null,false,null,,
com.fasterxml.jackson.core,jackson-databind,2.8.4,null,null,true,,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.8.4/jackson-databind-2.8.4.jar,temp/dependencies/Stratio/cassandra-lucene-index/com/fasterxml/jackson/core/jackson-databind/2.8.4/jackson-databind-2.8.4.jar
com.fasterxml.jackson.core,jackson-core,2.8.4,null,null,true,,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-core/2.8.4/jackson-core-2.8.4.jar,temp/dependencies/Stratio/cassandra-lucene-index/com/fasterxml/jackson/core/jackson-core/2.8.4/jackson-core-2.8.4.jar
com.datastax.cassandra,cassandra-driver-core,3.0.2,null,null,true,,https://repo1.maven.org/maven2/com/datastax/cassandra/cassandra-driver-core/3.0.2/cassandra-driver-core-3.0.2.jar,temp/dependencies/Stratio/cassandra-lucene-index/com/datastax/cassandra/cassandra-driver-core/3.0.2/cassandra-driver-core-3.0.2.jar
ch.qos.logback,logback-core,1.1.3,null,null,true,,https://repo1.maven.org/maven2/ch/qos/logback/logback-core/1.1.3/logback-core-1.1.3.jar,temp/dependencies/Stratio/cassandra-lucene-index/ch/qos/logback/logback-core/1.1.3/logback-core-1.1.3.jar
com.vividsolutions,jts-core,1.14.0,null,null,true,,https://repo1.maven.org/maven2/com/vividsolutions/jts-core/1.14.0/jts-core-1.14.0.jar,temp/dependencies/Stratio/cassandra-lucene-index/com/vividsolutions/jts-core/1.14.0/jts-core-1.14.0.jar
org.apache.cassandra,cassandra-all,3.0.14,null,null,true,,https://repo1.maven.org/maven2/org/apache/cassandra/cassandra-all/3.0.14/cassandra-all-3.0.14.jar,temp/dependencies/Stratio/cassandra-lucene-index/org/apache/cassandra/cassandra-all/3.0.14/cassandra-all-3.0.14.jar
ch.qos.logback,logback-classic,1.1.3,null,null,true,,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.3/logback-classic-1.1.3.jar,temp/dependencies/Stratio/cassandra-lucene-index/ch/qos/logback/logback-classic/1.1.3/logback-classic-1.1.3.jar
org.scala-lang,scala-library,2.12.0,null,null,true,,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.0/scala-library-2.12.0.jar,temp/dependencies/Stratio/cassandra-lucene-index/org/scala-lang/scala-library/2.12.0/scala-library-2.12.0.jar
commons-logging,commons-logging,1.1.1,null,null,true,,https://repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1/commons-logging-1.1.1.jar,temp/dependencies/Stratio/cassandra-lucene-index/commons-logging/commons-logging/1.1.1/commons-logging-1.1.1.jar
org.apache.lucene,lucene-core,5.5.4,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/5.5.4/lucene-core-5.5.4.jar,temp/dependencies/Stratio/cassandra-lucene-index/org/apache/lucene/lucene-core/5.5.4/lucene-core-5.5.4.jar
org.apache.lucene,lucene-analyzers-common,5.5.4,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/5.5.4/lucene-analyzers-common-5.5.4.jar,temp/dependencies/Stratio/cassandra-lucene-index/org/apache/lucene/lucene-analyzers-common/5.5.4/lucene-analyzers-common-5.5.4.jar
com.typesafe.scala-logging,scala-logging_${scala.binary.version},3.5.0,null,null,false,null,,
com.stratio.cassandra,cassandra-lucene-index-builder,3.0.14.1-RC1-SNAPSHOT,null,null,true,3.11.3.0,https://repo1.maven.org/maven2/com/stratio/cassandra/cassandra-lucene-index-builder/3.11.3.0/cassandra-lucene-index-builder-3.11.3.0.jar,temp/dependencies/Stratio/cassandra-lucene-index/com/stratio/cassandra/cassandra-lucene-index-builder/3.11.3.0/cassandra-lucene-index-builder-3.11.3.0.jar
org.apache.lucene,lucene-spatial,5.5.4,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-spatial/5.5.4/lucene-spatial-5.5.4.jar,temp/dependencies/Stratio/cassandra-lucene-index/org/apache/lucene/lucene-spatial/5.5.4/lucene-spatial-5.5.4.jar
junit,junit,4.12,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.12/junit-4.12.jar,temp/dependencies/Stratio/cassandra-lucene-index/junit/junit/4.12/junit-4.12.jar
com.google.code.findbugs,jsr305,3.0.1,null,null,true,,https://repo1.maven.org/maven2/com/google/code/findbugs/jsr305/3.0.1/jsr305-3.0.1.jar,temp/dependencies/Stratio/cassandra-lucene-index/com/google/code/findbugs/jsr305/3.0.1/jsr305-3.0.1.jar
org.apache.lucene,lucene-queryparser,5.5.4,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/5.5.4/lucene-queryparser-5.5.4.jar,temp/dependencies/Stratio/cassandra-lucene-index/org/apache/lucene/lucene-queryparser/5.5.4/lucene-queryparser-5.5.4.jar
org.mockito,mockito-all,1.10.19,null,null,true,,https://repo1.maven.org/maven2/org/mockito/mockito-all/1.10.19/mockito-all-1.10.19.jar,temp/dependencies/Stratio/cassandra-lucene-index/org/mockito/mockito-all/1.10.19/mockito-all-1.10.19.jar
com.github.rholder,snowball-stemmer,1.3.0.581.1,null,null,true,,https://repo1.maven.org/maven2/com/github/rholder/snowball-stemmer/1.3.0.581.1/snowball-stemmer-1.3.0.581.1.jar,temp/dependencies/Stratio/cassandra-lucene-index/com/github/rholder/snowball-stemmer/1.3.0.581.1/snowball-stemmer-1.3.0.581.1.jar
