groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.springframework.boot,spring-boot-starter-web,2.0.2.RELEASE,null,null,true,,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-web/2.0.2.RELEASE/spring-boot-starter-web-2.0.2.RELEASE.jar,temp/dependencies/ahmetaa/zemberek-nlp/org/springframework/boot/spring-boot-starter-web/2.0.2.RELEASE/spring-boot-starter-web-2.0.2.RELEASE.jar
io.grpc,grpc-netty-shaded,1.22.1,null,null,true,,https://repo1.maven.org/maven2/io/grpc/grpc-netty-shaded/1.22.1/grpc-netty-shaded-1.22.1.jar,temp/dependencies/ahmetaa/zemberek-nlp/io/grpc/grpc-netty-shaded/1.22.1/grpc-netty-shaded-1.22.1.jar
com.github.ben-manes.caffeine,caffeine,2.6.2,null,null,true,,https://repo1.maven.org/maven2/com/github/ben-manes/caffeine/caffeine/2.6.2/caffeine-2.6.2.jar,temp/dependencies/ahmetaa/zemberek-nlp/com/github/ben-manes/caffeine/caffeine/2.6.2/caffeine-2.6.2.jar
junit,junit,4.13.1,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.13.1/junit-4.13.1.jar,temp/dependencies/ahmetaa/zemberek-nlp/junit/junit/4.13.1/junit-4.13.1.jar
io.grpc,grpc-stub,1.22.1,null,null,true,,https://repo1.maven.org/maven2/io/grpc/grpc-stub/1.22.1/grpc-stub-1.22.1.jar,temp/dependencies/ahmetaa/zemberek-nlp/io/grpc/grpc-stub/1.22.1/grpc-stub-1.22.1.jar
com.beust,jcommander,1.72,null,null,true,,https://repo1.maven.org/maven2/com/beust/jcommander/1.72/jcommander-1.72.jar,temp/dependencies/ahmetaa/zemberek-nlp/com/beust/jcommander/1.72/jcommander-1.72.jar
junit,junit,4.12,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.12/junit-4.12.jar,temp/dependencies/ahmetaa/zemberek-nlp/junit/junit/4.12/junit-4.12.jar
org.apache.opennlp,opennlp-tools,1.7.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.7.0/opennlp-tools-1.7.0.jar,temp/dependencies/ahmetaa/zemberek-nlp/org/apache/opennlp/opennlp-tools/1.7.0/opennlp-tools-1.7.0.jar
org.jsoup,jsoup,1.11.2,null,null,true,,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.11.2/jsoup-1.11.2.jar,temp/dependencies/ahmetaa/zemberek-nlp/org/jsoup/jsoup/1.11.2/jsoup-1.11.2.jar
com.google.protobuf,protobuf-java,3.9.0,null,null,true,,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.9.0/protobuf-java-3.9.0.jar,temp/dependencies/ahmetaa/zemberek-nlp/com/google/protobuf/protobuf-java/3.9.0/protobuf-java-3.9.0.jar
org.apache.lucene,lucene-core,7.3.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/7.3.1/lucene-core-7.3.1.jar,temp/dependencies/ahmetaa/zemberek-nlp/org/apache/lucene/lucene-core/7.3.1/lucene-core-7.3.1.jar
org.antlr,antlr4-runtime,4.7,null,null,true,,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.7/antlr4-runtime-4.7.jar,temp/dependencies/ahmetaa/zemberek-nlp/org/antlr/antlr4-runtime/4.7/antlr4-runtime-4.7.jar
com.h2database,h2,1.4.197,null,null,true,,https://repo1.maven.org/maven2/com/h2database/h2/1.4.197/h2-1.4.197.jar,temp/dependencies/ahmetaa/zemberek-nlp/com/h2database/h2/1.4.197/h2-1.4.197.jar
org.apache.lucene,lucene-queries,7.3.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queries/7.3.1/lucene-queries-7.3.1.jar,temp/dependencies/ahmetaa/zemberek-nlp/org/apache/lucene/lucene-queries/7.3.1/lucene-queries-7.3.1.jar
