groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.apache.lucene,lucene-analyzers-common,4.4.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/4.4.0/lucene-analyzers-common-4.4.0.jar,temp/dependencies/dice-group/Palmetto/org/apache/lucene/lucene-analyzers-common/4.4.0/lucene-analyzers-common-4.4.0.jar
org.springframework,spring-webmvc,5.3.13,null,null,true,,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/5.3.13/spring-webmvc-5.3.13.jar,temp/dependencies/dice-group/Palmetto/org/springframework/spring-webmvc/5.3.13/spring-webmvc-5.3.13.jar
com.google.guava,guava,31.0.1-jre,null,null,true,,https://repo1.maven.org/maven2/com/google/guava/guava/31.0.1-jre/guava-31.0.1-jre.jar,temp/dependencies/dice-group/Palmetto/com/google/guava/guava/31.0.1-jre/guava-31.0.1-jre.jar
commons-configuration,commons-configuration,1.5,null,null,true,,https://repo1.maven.org/maven2/commons-configuration/commons-configuration/1.5/commons-configuration-1.5.jar,temp/dependencies/dice-group/Palmetto/commons-configuration/commons-configuration/1.5/commons-configuration-1.5.jar
commons-io,commons-io,2.11.0,null,null,true,,https://repo1.maven.org/maven2/commons-io/commons-io/2.11.0/commons-io-2.11.0.jar,temp/dependencies/dice-group/Palmetto/commons-io/commons-io/2.11.0/commons-io-2.11.0.jar
junit,junit,4.13.2,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.13.2/junit-4.13.2.jar,temp/dependencies/dice-group/Palmetto/junit/junit/4.13.2/junit-4.13.2.jar
com.carrotsearch,hppc,0.5.3,null,null,true,,https://repo1.maven.org/maven2/com/carrotsearch/hppc/0.5.3/hppc-0.5.3.jar,temp/dependencies/dice-group/Palmetto/com/carrotsearch/hppc/0.5.3/hppc-0.5.3.jar
org.aksw,palmetto,0.1.3,null,null,false,null,,
org.springframework,spring-test,5.3.13,null,null,true,,https://repo1.maven.org/maven2/org/springframework/spring-test/5.3.13/spring-test-5.3.13.jar,temp/dependencies/dice-group/Palmetto/org/springframework/spring-test/5.3.13/spring-test-5.3.13.jar
org.slf4j,slf4j-api,1.7.32,null,null,true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.7.32/slf4j-api-1.7.32.jar,temp/dependencies/dice-group/Palmetto/org/slf4j/slf4j-api/1.7.32/slf4j-api-1.7.32.jar
org.slf4j,jul-to-slf4j,1.7.32,null,null,true,,https://repo1.maven.org/maven2/org/slf4j/jul-to-slf4j/1.7.32/jul-to-slf4j-1.7.32.jar,temp/dependencies/dice-group/Palmetto/org/slf4j/jul-to-slf4j/1.7.32/jul-to-slf4j-1.7.32.jar
org.springframework,spring-core,5.3.13,null,null,true,,https://repo1.maven.org/maven2/org/springframework/spring-core/5.3.13/spring-core-5.3.13.jar,temp/dependencies/dice-group/Palmetto/org/springframework/spring-core/5.3.13/spring-core-5.3.13.jar
org.slf4j,slf4j-log4j12,1.7.32,null,null,true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-log4j12/1.7.32/slf4j-log4j12-1.7.32.jar,temp/dependencies/dice-group/Palmetto/org/slf4j/slf4j-log4j12/1.7.32/slf4j-log4j12-1.7.32.jar
org.apache.lucene,lucene-core,4.4.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/4.4.0/lucene-core-4.4.0.jar,temp/dependencies/dice-group/Palmetto/org/apache/lucene/lucene-core/4.4.0/lucene-core-4.4.0.jar
javax.annotation,javax.annotation-api,1.3.2,null,null,true,,https://repo1.maven.org/maven2/javax/annotation/javax.annotation-api/1.3.2/javax.annotation-api-1.3.2.jar,temp/dependencies/dice-group/Palmetto/javax/annotation/javax.annotation-api/1.3.2/javax.annotation-api-1.3.2.jar
