groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.apache.lucene,lucene-queryparser,8.5.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/8.5.0/lucene-queryparser-8.5.0.jar,temp/dependencies/javasoze/clue/org/apache/lucene/lucene-queryparser/8.5.0/lucene-queryparser-8.5.0.jar
javax.activation,activation,1.1.1,null,null,true,,https://repo1.maven.org/maven2/javax/activation/activation/1.1.1/activation-1.1.1.jar,temp/dependencies/javasoze/clue/javax/activation/activation/1.1.1/activation-1.1.1.jar
org.apache.lucene,lucene-analyzers-common,8.5.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/8.5.0/lucene-analyzers-common-8.5.0.jar,temp/dependencies/javasoze/clue/org/apache/lucene/lucene-analyzers-common/8.5.0/lucene-analyzers-common-8.5.0.jar
com.squareup.retrofit2,converter-jackson,2.5.0,null,null,true,,https://repo1.maven.org/maven2/com/squareup/retrofit2/converter-jackson/2.5.0/converter-jackson-2.5.0.jar,temp/dependencies/javasoze/clue/com/squareup/retrofit2/converter-jackson/2.5.0/converter-jackson-2.5.0.jar
junit,junit,4.5,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.5/junit-4.5.jar,temp/dependencies/javasoze/clue/junit/junit/4.5/junit-4.5.jar
com.sun.xml.bind,jaxb-impl,2.3.0,null,null,true,,https://repo1.maven.org/maven2/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-impl-2.3.0.jar,temp/dependencies/javasoze/clue/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-impl-2.3.0.jar
com.sun.xml.bind,jaxb-core,2.3.0,null,null,true,,https://repo1.maven.org/maven2/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-core-2.3.0.jar,temp/dependencies/javasoze/clue/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-core-2.3.0.jar
org.apache.lucene,lucene-core,8.5.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/8.5.0/lucene-core-8.5.0.jar,temp/dependencies/javasoze/clue/org/apache/lucene/lucene-core/8.5.0/lucene-core-8.5.0.jar
org.apache.lucene,lucene-queries,8.5.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queries/8.5.0/lucene-queries-8.5.0.jar,temp/dependencies/javasoze/clue/org/apache/lucene/lucene-queries/8.5.0/lucene-queries-8.5.0.jar
jline,jline,2.12,null,null,true,,https://repo1.maven.org/maven2/jline/jline/2.12/jline-2.12.jar,temp/dependencies/javasoze/clue/jline/jline/2.12/jline-2.12.jar
org.apache.lucene,lucene-facet,8.5.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-facet/8.5.0/lucene-facet-8.5.0.jar,temp/dependencies/javasoze/clue/org/apache/lucene/lucene-facet/8.5.0/lucene-facet-8.5.0.jar
javax.xml.bind,jaxb-api,2.3.0,null,null,true,,https://repo1.maven.org/maven2/javax/xml/bind/jaxb-api/2.3.0/jaxb-api-2.3.0.jar,temp/dependencies/javasoze/clue/javax/xml/bind/jaxb-api/2.3.0/jaxb-api-2.3.0.jar
com.squareup.retrofit2,retrofit,2.5.0,null,null,true,,https://repo1.maven.org/maven2/com/squareup/retrofit2/retrofit/2.5.0/retrofit-2.5.0.jar,temp/dependencies/javasoze/clue/com/squareup/retrofit2/retrofit/2.5.0/retrofit-2.5.0.jar
org.apache.lucene,lucene-backward-codecs,8.5.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-backward-codecs/8.5.0/lucene-backward-codecs-8.5.0.jar,temp/dependencies/javasoze/clue/org/apache/lucene/lucene-backward-codecs/8.5.0/lucene-backward-codecs-8.5.0.jar
com.squareup.retrofit2,converter-scalars,2.5.0,null,null,true,,https://repo1.maven.org/maven2/com/squareup/retrofit2/converter-scalars/2.5.0/converter-scalars-2.5.0.jar,temp/dependencies/javasoze/clue/com/squareup/retrofit2/converter-scalars/2.5.0/converter-scalars-2.5.0.jar
org.apache.lucene,lucene-codecs,8.5.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-codecs/8.5.0/lucene-codecs-8.5.0.jar,temp/dependencies/javasoze/clue/org/apache/lucene/lucene-codecs/8.5.0/lucene-codecs-8.5.0.jar
