groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.mongodb,bson,4.2.3,null,null,true,,https://repo1.maven.org/maven2/org/mongodb/bson/4.2.3/bson-4.2.3.jar,temp/dependencies/oaqa/FlexNeuART/org/mongodb/bson/4.2.3/bson-4.2.3.jar
net.openhft,koloboke-impl-jdk6-7,0.6.7,null,null,true,,https://repo1.maven.org/maven2/net/openhft/koloboke-impl-jdk6-7/0.6.7/koloboke-impl-jdk6-7-0.6.7.jar,temp/dependencies/oaqa/FlexNeuART/net/openhft/koloboke-impl-jdk6-7/0.6.7/koloboke-impl-jdk6-7-0.6.7.jar
org.apache.lucene,lucene-codecs,8.6.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-codecs/8.6.0/lucene-codecs-8.6.0.jar,temp/dependencies/oaqa/FlexNeuART/org/apache/lucene/lucene-codecs/8.6.0/lucene-codecs-8.6.0.jar
umass,RankLib,2.14.fixed,null,null,false,null,,
org.apache.thrift,libthrift,0.12.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/thrift/libthrift/0.12.0/libthrift-0.12.0.jar,temp/dependencies/oaqa/FlexNeuART/org/apache/thrift/libthrift/0.12.0/libthrift-0.12.0.jar
com.googlecode.matrix-toolkits-java,mtj,1.0.2,null,null,true,,https://repo1.maven.org/maven2/com/googlecode/matrix-toolkits-java/mtj/1.0.2/mtj-1.0.2.jar,temp/dependencies/oaqa/FlexNeuART/com/googlecode/matrix-toolkits-java/mtj/1.0.2/mtj-1.0.2.jar
org.mapdb,mapdb,3.0.7,null,null,true,,https://repo1.maven.org/maven2/org/mapdb/mapdb/3.0.7/mapdb-3.0.7.jar,temp/dependencies/oaqa/FlexNeuART/org/mapdb/mapdb/3.0.7/mapdb-3.0.7.jar
commons-io,commons-io,2.7,null,null,true,,https://repo1.maven.org/maven2/commons-io/commons-io/2.7/commons-io-2.7.jar,temp/dependencies/oaqa/FlexNeuART/commons-io/commons-io/2.7/commons-io-2.7.jar
org.json,json,20160810,null,null,true,,https://repo1.maven.org/maven2/org/json/json/20160810/json-20160810.jar,temp/dependencies/oaqa/FlexNeuART/org/json/json/20160810/json-20160810.jar
org.apache.commons,commons-math3,3.5,null,null,true,,https://repo1.maven.org/maven2/org/apache/commons/commons-math3/3.5/commons-math3-3.5.jar,temp/dependencies/oaqa/FlexNeuART/org/apache/commons/commons-math3/3.5/commons-math3-3.5.jar
com.google.code.gson,gson,2.8.0,null,null,true,,https://repo1.maven.org/maven2/com/google/code/gson/gson/2.8.0/gson-2.8.0.jar,temp/dependencies/oaqa/FlexNeuART/com/google/code/gson/gson/2.8.0/gson-2.8.0.jar
org.apache.commons,commons-math3,3.2,null,null,true,,https://repo1.maven.org/maven2/org/apache/commons/commons-math3/3.2/commons-math3-3.2.jar,temp/dependencies/oaqa/FlexNeuART/org/apache/commons/commons-math3/3.2/commons-math3-3.2.jar
com.cedarsoftware,java-util,1.12.0,null,null,true,,https://repo1.maven.org/maven2/com/cedarsoftware/java-util/1.12.0/java-util-1.12.0.jar,temp/dependencies/oaqa/FlexNeuART/com/cedarsoftware/java-util/1.12.0/java-util-1.12.0.jar
org.htmlparser,htmlparser,2.1,null,null,true,,https://repo1.maven.org/maven2/org/htmlparser/htmlparser/2.1/htmlparser-2.1.jar,temp/dependencies/oaqa/FlexNeuART/org/htmlparser/htmlparser/2.1/htmlparser-2.1.jar
org.apache.httpcomponents,httpclient,4.5.13,null,null,true,,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar,temp/dependencies/oaqa/FlexNeuART/org/apache/httpcomponents/httpclient/4.5.13/httpclient-4.5.13.jar
org.slf4j,slf4j-api,1.7.10,null,null,true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.7.10/slf4j-api-1.7.10.jar,temp/dependencies/oaqa/FlexNeuART/org/slf4j/slf4j-api/1.7.10/slf4j-api-1.7.10.jar
commons-configuration,commons-configuration,1.6,null,null,true,,https://repo1.maven.org/maven2/commons-configuration/commons-configuration/1.6/commons-configuration-1.6.jar,temp/dependencies/oaqa/FlexNeuART/commons-configuration/commons-configuration/1.6/commons-configuration-1.6.jar
args4j,args4j,2.32,null,null,true,,https://repo1.maven.org/maven2/args4j/args4j/2.32/args4j-2.32.jar,temp/dependencies/oaqa/FlexNeuART/args4j/args4j/2.32/args4j-2.32.jar
org.apache.lucene,lucene-core,8.6.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/8.6.0/lucene-core-8.6.0.jar,temp/dependencies/oaqa/FlexNeuART/org/apache/lucene/lucene-core/8.6.0/lucene-core-8.6.0.jar
net.openhft,koloboke-api-jdk6-7,0.6.7,null,null,true,,https://repo1.maven.org/maven2/net/openhft/koloboke-api-jdk6-7/0.6.7/koloboke-api-jdk6-7-0.6.7.jar,temp/dependencies/oaqa/FlexNeuART/net/openhft/koloboke-api-jdk6-7/0.6.7/koloboke-api-jdk6-7-0.6.7.jar
junit,junit,4.13.1,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.13.1/junit-4.13.1.jar,temp/dependencies/oaqa/FlexNeuART/junit/junit/4.13.1/junit-4.13.1.jar
org.apache.lucene,lucene-analyzers-common,8.6.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/8.6.0/lucene-analyzers-common-8.6.0.jar,temp/dependencies/oaqa/FlexNeuART/org/apache/lucene/lucene-analyzers-common/8.6.0/lucene-analyzers-common-8.6.0.jar
org.apache.ant,ant,1.10.11,null,null,true,,https://repo1.maven.org/maven2/org/apache/ant/ant/1.10.11/ant-1.10.11.jar,temp/dependencies/oaqa/FlexNeuART/org/apache/ant/ant/1.10.11/ant-1.10.11.jar
javax.annotation,javax.annotation-api,1.3.2,null,null,true,,https://repo1.maven.org/maven2/javax/annotation/javax.annotation-api/1.3.2/javax.annotation-api-1.3.2.jar,temp/dependencies/oaqa/FlexNeuART/javax/annotation/javax.annotation-api/1.3.2/javax.annotation-api-1.3.2.jar
org.slf4j,slf4j-simple,1.7.10,null,null,true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-simple/1.7.10/slf4j-simple-1.7.10.jar,temp/dependencies/oaqa/FlexNeuART/org/slf4j/slf4j-simple/1.7.10/slf4j-simple-1.7.10.jar
org.apache.lucene,lucene-queryparser,8.6.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/8.6.0/lucene-queryparser-8.6.0.jar,temp/dependencies/oaqa/FlexNeuART/org/apache/lucene/lucene-queryparser/8.6.0/lucene-queryparser-8.6.0.jar
commons-cli,commons-cli,1.2,null,null,true,,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.2/commons-cli-1.2.jar,temp/dependencies/oaqa/FlexNeuART/commons-cli/commons-cli/1.2/commons-cli-1.2.jar
