groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.springframework,spring-core,3.0.5.RELEASE,null,null,true,,https://repo1.maven.org/maven2/org/springframework/spring-core/3.0.5.RELEASE/spring-core-3.0.5.RELEASE.jar,temp/dependencies/senseidb/zoie/org/springframework/spring-core/3.0.5.RELEASE/spring-core-3.0.5.RELEASE.jar
org.apache.lucene,lucene-highlighter,4.3.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-highlighter/4.3.0/lucene-highlighter-4.3.0.jar,temp/dependencies/senseidb/zoie/org/apache/lucene/lucene-highlighter/4.3.0/lucene-highlighter-4.3.0.jar
org.mortbay.jetty,jetty,6.1.26,null,null,true,,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.26/jetty-6.1.26.jar,temp/dependencies/senseidb/zoie/org/mortbay/jetty/jetty/6.1.26/jetty-6.1.26.jar
org.springframework,spring-web,3.0.5.RELEASE,null,null,true,,https://repo1.maven.org/maven2/org/springframework/spring-web/3.0.5.RELEASE/spring-web-3.0.5.RELEASE.jar,temp/dependencies/senseidb/zoie/org/springframework/spring-web/3.0.5.RELEASE/spring-web-3.0.5.RELEASE.jar
org.mortbay.jetty,jetty,6.1.19,null,null,true,,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.19/jetty-6.1.19.jar,temp/dependencies/senseidb/zoie/org/mortbay/jetty/jetty/6.1.19/jetty-6.1.19.jar
it.unimi.dsi,fastutil,6.5.4,null,null,true,,https://repo1.maven.org/maven2/it/unimi/dsi/fastutil/6.5.4/fastutil-6.5.4.jar,temp/dependencies/senseidb/zoie/it/unimi/dsi/fastutil/6.5.4/fastutil-6.5.4.jar
org.apache.lucene,lucene-queryparser,4.3.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/4.3.0/lucene-queryparser-4.3.0.jar,temp/dependencies/senseidb/zoie/org/apache/lucene/lucene-queryparser/4.3.0/lucene-queryparser-4.3.0.jar
log4j,log4j,1.2.13,null,null,true,,https://repo1.maven.org/maven2/log4j/log4j/1.2.13/log4j-1.2.13.jar,temp/dependencies/senseidb/zoie/log4j/log4j/1.2.13/log4j-1.2.13.jar
org.directwebremoting,dwr,3.0.M1,null,null,true,,https://repo1.maven.org/maven2/org/directwebremoting/dwr/3.0.M1/dwr-3.0.M1.jar,temp/dependencies/senseidb/zoie/org/directwebremoting/dwr/3.0.M1/dwr-3.0.M1.jar
com.senseidb.zoie,zoie-core,4.0.1-SNAPSHOT,null,null,true,4.0.0,https://repo1.maven.org/maven2/com/senseidb/zoie/zoie-core/4.0.0/zoie-core-4.0.0.jar,temp/dependencies/senseidb/zoie/com/senseidb/zoie/zoie-core/4.0.0/zoie-core-4.0.0.jar
commons-configuration,commons-configuration,1.6,null,null,true,,https://repo1.maven.org/maven2/commons-configuration/commons-configuration/1.6/commons-configuration-1.6.jar,temp/dependencies/senseidb/zoie/commons-configuration/commons-configuration/1.6/commons-configuration-1.6.jar
org.apache.lucene,lucene-analyzers-common,4.3.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/4.3.0/lucene-analyzers-common-4.3.0.jar,temp/dependencies/senseidb/zoie/org/apache/lucene/lucene-analyzers-common/4.3.0/lucene-analyzers-common-4.3.0.jar
org.mockito,mockito-all,1.8.1,null,null,true,,https://repo1.maven.org/maven2/org/mockito/mockito-all/1.8.1/mockito-all-1.8.1.jar,temp/dependencies/senseidb/zoie/org/mockito/mockito-all/1.8.1/mockito-all-1.8.1.jar
org.springframework,spring-webmvc,3.0.5.RELEASE,null,null,true,,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/3.0.5.RELEASE/spring-webmvc-3.0.5.RELEASE.jar,temp/dependencies/senseidb/zoie/org/springframework/spring-webmvc/3.0.5.RELEASE/spring-webmvc-3.0.5.RELEASE.jar
org.apache.lucene,lucene-core,4.3.0,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/4.3.0/lucene-core-4.3.0.jar,temp/dependencies/senseidb/zoie/org/apache/lucene/lucene-core/4.3.0/lucene-core-4.3.0.jar
org.mortbay.jetty,jetty-util,6.1.19,null,null,true,,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty-util/6.1.19/jetty-util-6.1.19.jar,temp/dependencies/senseidb/zoie/org/mortbay/jetty/jetty-util/6.1.19/jetty-util-6.1.19.jar
org.json,json,20080701,null,null,true,,https://repo1.maven.org/maven2/org/json/json/20080701/json-20080701.jar,temp/dependencies/senseidb/zoie/org/json/json/20080701/json-20080701.jar
javax.servlet,servlet-api,2.5,null,null,true,,https://repo1.maven.org/maven2/javax/servlet/servlet-api/2.5/servlet-api-2.5.jar,temp/dependencies/senseidb/zoie/javax/servlet/servlet-api/2.5/servlet-api-2.5.jar
com.yammer.metrics,metrics-core,2.0.0-BETA18,null,null,true,,https://repo1.maven.org/maven2/com/yammer/metrics/metrics-core/2.0.0-BETA18/metrics-core-2.0.0-BETA18.jar,temp/dependencies/senseidb/zoie/com/yammer/metrics/metrics-core/2.0.0-BETA18/metrics-core-2.0.0-BETA18.jar
junit,junit,4.5,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.5/junit-4.5.jar,temp/dependencies/senseidb/zoie/junit/junit/4.5/junit-4.5.jar
javax.jms,jms,1.1,null,null,false,null,,
