groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.slf4j,slf4j-api,1.6.4,null,null,true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.6.4/slf4j-api-1.6.4.jar,temp/dependencies/ysc/word/org/slf4j/slf4j-api/1.6.4/slf4j-api-1.6.4.jar
org.apache.lucene,lucene-backward-codecs,6.5.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-backward-codecs/6.5.1/lucene-backward-codecs-6.5.1.jar,temp/dependencies/ysc/word/org/apache/lucene/lucene-backward-codecs/6.5.1/lucene-backward-codecs-6.5.1.jar
org.apache.lucene,lucene-queryparser,6.5.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/6.5.1/lucene-queryparser-6.5.1.jar,temp/dependencies/ysc/word/org/apache/lucene/lucene-queryparser/6.5.1/lucene-queryparser-6.5.1.jar
junit,junit,4.11,null,null,true,,https://repo1.maven.org/maven2/junit/junit/4.11/junit-4.11.jar,temp/dependencies/ysc/word/junit/junit/4.11/junit-4.11.jar
org.apache.lucene,lucene-analyzers-common,6.5.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/6.5.1/lucene-analyzers-common-6.5.1.jar,temp/dependencies/ysc/word/org/apache/lucene/lucene-analyzers-common/6.5.1/lucene-analyzers-common-6.5.1.jar
ch.qos.logback,logback-classic,0.9.28,null,null,true,,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.28/logback-classic-0.9.28.jar,temp/dependencies/ysc/word/ch/qos/logback/logback-classic/0.9.28/logback-classic-0.9.28.jar
org.elasticsearch,elasticsearch,5.4.3,null,null,true,,https://repo1.maven.org/maven2/org/elasticsearch/elasticsearch/5.4.3/elasticsearch-5.4.3.jar,temp/dependencies/ysc/word/org/elasticsearch/elasticsearch/5.4.3/elasticsearch-5.4.3.jar
redis.clients,jedis,2.5.1,null,null,true,,https://repo1.maven.org/maven2/redis/clients/jedis/2.5.1/jedis-2.5.1.jar,temp/dependencies/ysc/word/redis/clients/jedis/2.5.1/jedis-2.5.1.jar
com.carrotsearch.randomizedtesting,randomizedtesting-runner,2.1.11,null,null,true,,https://repo1.maven.org/maven2/com/carrotsearch/randomizedtesting/randomizedtesting-runner/2.1.11/randomizedtesting-runner-2.1.11.jar,temp/dependencies/ysc/word/com/carrotsearch/randomizedtesting/randomizedtesting-runner/2.1.11/randomizedtesting-runner-2.1.11.jar
org.apache.lucene,lucene-suggest,6.5.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-suggest/6.5.1/lucene-suggest-6.5.1.jar,temp/dependencies/ysc/word/org/apache/lucene/lucene-suggest/6.5.1/lucene-suggest-6.5.1.jar
com.belerweb,pinyin4j,2.5.0,null,null,true,,https://repo1.maven.org/maven2/com/belerweb/pinyin4j/2.5.0/pinyin4j-2.5.0.jar,temp/dependencies/ysc/word/com/belerweb/pinyin4j/2.5.0/pinyin4j-2.5.0.jar
org.hamcrest,hamcrest-library,1.3,null,null,true,,https://repo1.maven.org/maven2/org/hamcrest/hamcrest-library/1.3/hamcrest-library-1.3.jar,temp/dependencies/ysc/word/org/hamcrest/hamcrest-library/1.3/hamcrest-library-1.3.jar
org.apache.lucene,lucene-core,6.5.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/6.5.1/lucene-core-6.5.1.jar,temp/dependencies/ysc/word/org/apache/lucene/lucene-core/6.5.1/lucene-core-6.5.1.jar
org.apache.lucene,lucene-test-framework,6.5.1,null,null,true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-test-framework/6.5.1/lucene-test-framework-6.5.1.jar,temp/dependencies/ysc/word/org/apache/lucene/lucene-test-framework/6.5.1/lucene-test-framework-6.5.1.jar
