packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.dependencytrack.integrations.defectdojo,DefectDojoClient,com.konghq:unirest-java,"","",30,40,0.75
org.dependencytrack.integrations.defectdojo,DefectDojoClient,us.springett:alpine,"","",10,40,0.25
org.dependencytrack.policy,SeverityPolicyEvaluatorTest,us.springett:alpine,"","",12,12,1.0
org.dependencytrack.resources.v1.vo,CloneProjectRequest,us.springett:alpine,"","",3,3,1.0
org.dependencytrack.tasks.scanners,BaseComponentAnalyzerTask,us.springett:alpine,"","",45,45,1.0
org.dependencytrack.util,CompressUtil,org.apache.commons:commons-compress,Compression Libraries,"compression,apache,commons",11,11,1.0
org.dependencytrack.notification,NotificationRouterTest,us.springett:alpine,"","",83,83,1.0
org.dependencytrack.notification.publisher,SlackPublisher,us.springett:alpine,"","",2,10,0.2
org.dependencytrack.notification.publisher,SlackPublisher,io.pebbletemplates:pebble,"",io,8,10,0.8
org.dependencytrack.parser.nvd,ModelConverter,us.springett:cpe-parser,"",parser,34,34,1.0
org.dependencytrack.model,Cpe,us.springett:alpine,"","",28,28,1.0
org.dependencytrack.parser.ossindex,OssIndexParser,com.konghq:unirest-java,"","",48,53,0.91
org.dependencytrack.parser.ossindex,OssIndexParser,us.springett:alpine,"","",5,53,0.09
org.dependencytrack.resources.v1,LicenseResource,us.springett:alpine,"","",8,8,1.0
org.dependencytrack.resources.v1.vo,BomSubmitRequest,us.springett:alpine,"","",6,6,1.0
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,us.springett:alpine,"","",48,131,0.37
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,com.konghq:unirest-java,"","",36,131,0.27
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,us.springett:cvss-calculator,"","",27,131,0.21
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,com.github.package-url:packageurl-java,"","github,url",20,131,0.15
org.dependencytrack.integrations.kenna,KennaSecurityUploader,org.json:json,JSON Libraries,json,1,78,0.01
org.dependencytrack.integrations.kenna,KennaSecurityUploader,com.konghq:unirest-java,"","",41,78,0.53
org.dependencytrack.integrations.kenna,KennaSecurityUploader,us.springett:alpine,"","",36,78,0.46
org.dependencytrack.resources.v1,OidcResource,us.springett:alpine,"","",132,132,1.0
org.dependencytrack.resources.v1,ProjectResource,us.springett:alpine,"","",49,49,1.0
org.dependencytrack.persistence,CweImporter,us.springett:alpine,"","",7,7,1.0
org.dependencytrack.persistence.defaults,DefaultLicenseGroupImporter,us.springett:alpine,"","",11,29,0.38
org.dependencytrack.persistence.defaults,DefaultLicenseGroupImporter,org.json:json,JSON Libraries,json,18,29,0.62
org.dependencytrack.policy,VersionPolicyEvaluator,us.springett:alpine,"","",9,9,1.0
org.dependencytrack.model,OrganizationalEntity,us.springett:alpine,"","",2,2,1.0
org.dependencytrack.model,Vulnerability,us.springett:alpine,"","",41,41,1.0
org.dependencytrack.tasks,DefectDojoUploadTask,us.springett:alpine,"","",10,10,1.0
org.dependencytrack.resources.v1,ServiceResource,us.springett:alpine,"","",26,26,1.0
org.dependencytrack,PersistenceCapableTest,us.springett:alpine,"","",5,5,1.0
org.dependencytrack.notification,NotificationSubsystemInitializer,us.springett:alpine,"","",15,15,1.0
org.dependencytrack.search,ServiceComponentIndexer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",26,63,0.41
org.dependencytrack.search,ServiceComponentIndexer,us.springett:alpine,"","",37,63,0.59
org.dependencytrack.resources.v1,PolicyViolationResource,us.springett:alpine,"","",26,26,1.0
org.dependencytrack.common,UnirestFactory,com.konghq:unirest-java,"","",8,8,1.0
org.dependencytrack.resources.v1,MetricsResource,us.springett:alpine,"","",38,38,1.0
org.dependencytrack.tasks.repositories,NpmMetaAnalyzerTest,com.github.package-url:packageurl-java,"","github,url",1,1,1.0
org.dependencytrack.integrations.kenna,KennaDataTransformer,org.json:json,JSON Libraries,json,81,82,0.99
org.dependencytrack.integrations.kenna,KennaDataTransformer,us.springett:alpine,"","",1,82,0.01
org.dependencytrack.model,ProjectPropertyTest,us.springett:alpine,"","",6,6,1.0
org.dependencytrack.policy,LicensePolicyEvaluator,us.springett:alpine,"","",6,6,1.0
org.dependencytrack.resources.v1,LicenseResourceTest,us.springett:alpine,"","",2,2,1.0
org.dependencytrack.integrations.defectdojo,DefectDojoClientTest,org.mock-server:mockserver-netty,Mocking,"network,mock,socket,server,mocking,testing,netty",4,4,1.0
org.dependencytrack.policy,PackageURLPolicyEvaluator,com.github.package-url:packageurl-java,"","github,url",5,10,0.5
org.dependencytrack.policy,PackageURLPolicyEvaluator,us.springett:alpine,"","",5,10,0.5
org.dependencytrack.resources.v1,LdapResource,us.springett:alpine,"","",66,66,1.0
org.dependencytrack.tasks.repositories,MavenMetaAnalyzerTest,com.github.package-url:packageurl-java,"","github,url",2,2,1.0
org.dependencytrack,ResourceTest,us.springett:alpine,"","",28,28,1.0
org.dependencytrack.parser.npm,NpmAuditParser,com.konghq:unirest-java,"","",9,14,0.64
org.dependencytrack.parser.npm,NpmAuditParser,us.springett:alpine,"","",5,14,0.36
org.dependencytrack.resources.v1,AccessControlResource,us.springett:alpine,"","",46,46,1.0
org.dependencytrack.parser.vulndb,ModelConverter,us.springett:vulndb-data-mirror,"",data,62,93,0.67
org.dependencytrack.parser.vulndb,ModelConverter,us.springett:alpine,"","",5,93,0.05
org.dependencytrack.parser.vulndb,ModelConverter,us.springett:cvss-calculator,"","",26,93,0.28
org.dependencytrack.persistence,ComponentQueryManager,us.springett:alpine,"","",65,106,0.61
org.dependencytrack.persistence,ComponentQueryManager,com.github.package-url:packageurl-java,"","github,url",41,106,0.39
org.dependencytrack.tasks,VulnerabilityManagementUploadTask,us.springett:alpine,"","",12,12,1.0
org.dependencytrack.tasks.repositories,NpmMetaAnalyzer,com.konghq:unirest-java,"","",30,42,0.71
org.dependencytrack.tasks.repositories,NpmMetaAnalyzer,com.github.package-url:packageurl-java,"","github,url",7,42,0.17
org.dependencytrack.tasks.repositories,NpmMetaAnalyzer,us.springett:alpine,"","",5,42,0.12
org.dependencytrack.model,ServiceComponent,us.springett:alpine,"","",13,13,1.0
org.dependencytrack.resources.v1,FindingResourceTest,us.springett:alpine,"","",8,8,1.0
org.dependencytrack.search,SearchManager,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",24,71,0.34
org.dependencytrack.search,SearchManager,us.springett:alpine,"","",43,71,0.61
org.dependencytrack.search,SearchManager,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",4,71,0.06
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,us.springett:alpine,"","",240,240,1.0
org.dependencytrack.resources.v1,VulnerabilityResource,us.springett:alpine,"","",46,76,0.61
org.dependencytrack.resources.v1,VulnerabilityResource,us.springett:cvss-calculator,"","",30,76,0.39
org.dependencytrack.model,NotificationRule,us.springett:alpine,"","",13,13,1.0
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzerTest,org.mock-server:mockserver-netty,Mocking,"network,mock,socket,server,mocking,testing,netty",9,11,0.82
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzerTest,com.github.package-url:packageurl-java,"","github,url",2,11,0.18
