packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
com.stratio.cassandra.lucene.testsAT.search,RegexpSearchIT,junit:junit,Testing Frameworks,"testing,junit",36,70,0.51
com.stratio.cassandra.lucene.testsAT.search,RegexpSearchIT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",34,70,0.49
com.stratio.cassandra.lucene.schema.mapping,TextMapper,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
com.stratio.cassandra.lucene.search.condition,AllConditionTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,17,0.24
com.stratio.cassandra.lucene.search.condition,AllConditionTest,junit:junit,Testing Frameworks,"testing,junit",13,17,0.76
com.stratio.cassandra.lucene.search.condition,GeoDistanceCondition,org.apache.lucene:lucene-spatial,"","lucene,spatial,apache,index",11,23,0.48
com.stratio.cassandra.lucene.search.condition,GeoDistanceCondition,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,23,0.52
com.stratio.cassandra.lucene.schema.mapping,GeoShapeMapper,org.apache.lucene:lucene-spatial,"","lucene,spatial,apache,index",13,15,0.87
com.stratio.cassandra.lucene.schema.mapping,GeoShapeMapper,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,15,0.13
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,GeoShapeMapperValidTypesIndexCreationIT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",9,15,0.6
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,GeoShapeMapperValidTypesIndexCreationIT,junit:junit,Testing Frameworks,"testing,junit",6,15,0.4
com.stratio.cassandra.lucene.schema.mapping,Mapper,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",14,14,1.0
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,com.datastax.cassandra:cassandra-driver-core,Cassandra Clients,"database,cassandra,driver,client",3,196,0.02
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,junit:junit,Testing Frameworks,"testing,junit",64,196,0.33
com.stratio.cassandra.lucene.testsAT.search,RangeSearchWithDocValuesIT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",129,196,0.66
com.stratio.cassandra.lucene.testsAT.issues,Issue359IT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",9,10,0.9
com.stratio.cassandra.lucene.testsAT.issues,Issue359IT,junit:junit,Testing Frameworks,"testing,junit",1,10,0.1
com.stratio.cassandra.lucene.search.condition,ContainsCondition,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,12,1.0
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,UUIDMapperValidTypesIndexCreationIT,junit:junit,Testing Frameworks,"testing,junit",6,15,0.4
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,UUIDMapperValidTypesIndexCreationIT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",9,15,0.6
com.stratio.cassandra.lucene.schema,SchemaBuilderTest,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",13,103,0.13
com.stratio.cassandra.lucene.schema,SchemaBuilderTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",19,103,0.18
com.stratio.cassandra.lucene.schema,SchemaBuilderTest,junit:junit,Testing Frameworks,"testing,junit",71,103,0.69
com.stratio.cassandra.lucene.schema.analysis,AnalyzerBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
com.stratio.cassandra.lucene.search.condition,LuceneConditionTest,junit:junit,Testing Frameworks,"testing,junit",24,35,0.69
com.stratio.cassandra.lucene.search.condition,LuceneConditionTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,35,0.31
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,DateMapperValidTypesIndexCreationIT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",9,15,0.6
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,DateMapperValidTypesIndexCreationIT,junit:junit,Testing Frameworks,"testing,junit",6,15,0.4
com.stratio.cassandra.lucene.search.condition,DateRangeCondition,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,20,0.1
com.stratio.cassandra.lucene.search.condition,DateRangeCondition,org.apache.lucene:lucene-spatial,"","lucene,spatial,apache,index",18,20,0.9
com.stratio.cassandra.lucene.testsAT.issues,Issue94IT,junit:junit,Testing Frameworks,"testing,junit",3,6,0.5
com.stratio.cassandra.lucene.testsAT.issues,Issue94IT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",3,6,0.5
com.stratio.cassandra.lucene.search.condition,BooleanConditionTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,39,0.28
com.stratio.cassandra.lucene.search.condition,BooleanConditionTest,junit:junit,Testing Frameworks,"testing,junit",28,39,0.72
com.stratio.cassandra.lucene.testsAT.issues,Issue18IT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",3,6,0.5
com.stratio.cassandra.lucene.testsAT.issues,Issue18IT,junit:junit,Testing Frameworks,"testing,junit",3,6,0.5
com.stratio.cassandra.lucene.common,DateParserTest,org.apache.cassandra:cassandra-all,Hadoop Databases,"database,nosql,cassandra,hadoop,apache",2,30,0.07
com.stratio.cassandra.lucene.common,DateParserTest,junit:junit,Testing Frameworks,"testing,junit",28,30,0.93
