packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
com.searchcode.app.service,ICodeSearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
com.searchcode.app.service,CodeRouteServiceTest,com.sparkjava:spark-core,Web Frameworks,"spark,web,framework",61,143,0.43
com.searchcode.app.service,CodeRouteServiceTest,junit:junit,Testing Frameworks,"testing,junit",1,143,0.01
com.searchcode.app.service,CodeRouteServiceTest,org.mockito:mockito-all,Mocking,"mock,mocking,testing",45,143,0.31
com.searchcode.app.service,CodeRouteServiceTest,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",36,143,0.25
com.searchcode.app.util,SpellingCorrectorTest,junit:junit,Testing Frameworks,"testing,junit",14,18,0.78
com.searchcode.app.util,SpellingCorrectorTest,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",4,18,0.22
com.searchcode.app.jobs.repository,IndexGitRepoJob,org.eclipse.jgit:org.eclipse.jgit,Git Tools,"eclipse,git,scm,version-control",160,166,0.96
com.searchcode.app.jobs.repository,IndexGitRepoJob,commons-io:commons-io,I/O Utilities,io,4,166,0.02
com.searchcode.app.jobs.repository,IndexGitRepoJob,org.quartz-scheduler:quartz,Job Scheduling,scheduling,2,166,0.01
com.searchcode.app.jobs.repository,IndexSvnRepoJob,org.quartz-scheduler:quartz,Job Scheduling,scheduling,2,2,1.0
com.searchcode.app.service,ApiServiceTest,junit:junit,Testing Frameworks,"testing,junit",1,13,0.08
com.searchcode.app.service,ApiServiceTest,org.mockito:mockito-all,Mocking,"mock,mocking,testing",12,13,0.92
com.searchcode.app.config,SphinxSearchConfigTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.searchcode.app.dao,SQLiteRepoTest,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",42,44,0.95
com.searchcode.app.dao,SQLiteRepoTest,junit:junit,Testing Frameworks,"testing,junit",2,44,0.05
com.searchcode.app.dao,MySQLRepoTest,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.searchcode.app.service,DataServiceTest,org.mockito:mockito-all,Mocking,"mock,mocking,testing",16,17,0.94
com.searchcode.app.service,DataServiceTest,junit:junit,Testing Frameworks,"testing,junit",1,17,0.06
com.searchcode.app.service,HighlightTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.searchcode.app.service.route,AdminRouteService,com.sparkjava:spark-core,Web Frameworks,"spark,web,framework",90,104,0.87
com.searchcode.app.service.route,AdminRouteService,com.google.code.gson:gson,JSON Libraries,"google,json",4,104,0.04
com.searchcode.app.service.route,AdminRouteService,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",10,104,0.1
com.searchcode.app.service.route,ApiRouteService,com.sparkjava:spark-core,Web Frameworks,"spark,web,framework",88,88,1.0
com.searchcode.app.service,ApiService,commons-codec:commons-codec,Base64 Libraries,"codec,base64,encoding",4,8,0.5
