packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
net.semanticmetadata.lire.imageanalysis.bovw,LocalFeatureHistogramBuilderKmeansPlusPlus,org.apache.commons:commons-math3,Math Libraries,"math,apache,commons",30,115,0.26
net.semanticmetadata.lire.imageanalysis.bovw,LocalFeatureHistogramBuilderKmeansPlusPlus,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",85,115,0.74
net.semanticmetadata.lire.builders,TestBuilders,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",187,188,0.99
net.semanticmetadata.lire.builders,TestBuilders,junit:junit,Testing Frameworks,"testing,junit",1,188,0.01
net.semanticmetadata.lire.indexers.hashing,MetricSpaces,commons-io:commons-io,I/O Utilities,io,2,2,1.0
net.semanticmetadata.lire.searchers,GenericFastImageSearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",132,132,1.0
net.semanticmetadata.lire,CreateIndexTest,junit:junit,Testing Frameworks,"testing,junit",1,45,0.02
net.semanticmetadata.lire,CreateIndexTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",44,45,0.98
net.semanticmetadata.lire,DocumentBuilderFactoryTest,junit:junit,Testing Frameworks,"testing,junit",3,6,0.5
net.semanticmetadata.lire,DocumentBuilderFactoryTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,6,0.5
net.semanticmetadata.lire.sampleapp,Indexer,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,14,0.07
net.semanticmetadata.lire.sampleapp,Indexer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,14,0.93
net.semanticmetadata.lire.searchers.custom,TopDocsImageSearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",50,50,1.0
net.semanticmetadata.lire.benchmarking,UCIDBenchmark,junit:junit,Testing Frameworks,"testing,junit",2,65,0.03
net.semanticmetadata.lire.benchmarking,UCIDBenchmark,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",63,65,0.97
net.semanticmetadata.lire.classifiers,ClassifierTest,junit:junit,Testing Frameworks,"testing,junit",1,340,0.0
net.semanticmetadata.lire.classifiers,ClassifierTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",339,340,1.0
edu.uniklu.itec.mosaix.engine,WeightingDataFactory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
net.semanticmetadata.lire.searchers,TestSearching,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",103,104,0.99
net.semanticmetadata.lire.searchers,TestSearching,junit:junit,Testing Frameworks,"testing,junit",1,104,0.01
net.semanticmetadata.lire.imageanalysis,AttentionModelTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.lucene,TestSearchID,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",17,18,0.94
net.semanticmetadata.lire.lucene,TestSearchID,junit:junit,Testing Frameworks,"testing,junit",1,18,0.06
net.semanticmetadata.lire.benchmarking,TestUniversal,junit:junit,Testing Frameworks,"testing,junit",4,182,0.02
net.semanticmetadata.lire.benchmarking,TestUniversal,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",178,182,0.98
net.semanticmetadata.lire.indexing,LocalitySensitiveHashingTest,junit:junit,Testing Frameworks,"testing,junit",1,130,0.01
net.semanticmetadata.lire.indexing,LocalitySensitiveHashingTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",129,130,0.99
edu.uniklu.itec.mosaix,ImageFunctions,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,12,1.0
net.semanticmetadata.lire.imageanalysis,TestExtraction,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.searchers,ImageSearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
liredemo.flickr,SinglePhotoThread,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",14,14,1.0
net.semanticmetadata.lire.builders,GlobalDocumentBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",57,57,1.0
net.semanticmetadata.lire.benchmarking,TestZuBuD,junit:junit,Testing Frameworks,"testing,junit",4,197,0.02
net.semanticmetadata.lire.benchmarking,TestZuBuD,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",193,197,0.98
net.semanticmetadata.lire.imageanalysis.features,TestGlobalFeature,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
net.semanticmetadata.lire.filters,LsaFilter,org.apache.commons:commons-math3,Math Libraries,"math,apache,commons",22,63,0.35
net.semanticmetadata.lire.filters,LsaFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",41,63,0.65
net.semanticmetadata.lire.indexing.fastmap,FastMapTest,junit:junit,Testing Frameworks,"testing,junit",2,37,0.05
net.semanticmetadata.lire.indexing.fastmap,FastMapTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",35,37,0.95
net.semanticmetadata.lire.builders,DocumentBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
