packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.aksw.palmetto,Palmetto,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",11,11,1.0
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCalculation,com.carrotsearch:hppc,Collections,"collections,structures",16,16,1.0
org.aksw.palmetto.subsets,AllOne,com.carrotsearch:hppc,Collections,"collections,structures",7,7,1.0
org.aksw.palmetto,PairwiseTopicComparingSegmentator,com.carrotsearch:hppc,Collections,"collections,structures",9,9,1.0
org.aksw.palmetto.calculations.direct,LogRatioCoherenceCalculationTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.prob.decorator,SimpleFrequencyCachingDeterminerDecorator,com.carrotsearch:hppc,Collections,"collections,structures",8,8,1.0
org.aksw.palmetto.subsets,OneSetTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.aksw.palmetto.weight,ConditionalProbabilityBasedWeighterTest,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminerTest,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,29,0.45
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",16,29,0.55
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,com.carrotsearch:hppc,Collections,"collections,structures",28,34,0.82
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,junit:junit,Testing Frameworks,"testing,junit",6,34,0.18
org.aksw.palmetto.prob,ListBasedBooleanDocumentFrequencyDeterminerTest,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
org.aksw.palmetto.subsets,AllAll,com.carrotsearch:hppc,Collections,"collections,structures",5,5,1.0
org.aksw.palmetto.vector,FitelsonCalculationBasedCreatorTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.calculations.direct,AbstractProbabilityBasedCalculationTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.webapp,PalmettoApplication,commons-configuration:commons-configuration,Configuration Libraries,config,1,34,0.03
org.aksw.palmetto.webapp,PalmettoApplication,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",19,34,0.56
org.aksw.palmetto.webapp,PalmettoApplication,com.carrotsearch:hppc,Collections,"collections,structures",14,34,0.41
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,com.carrotsearch:hppc,Collections,"collections,structures",30,30,1.0
org.aksw.palmetto.sum,ArithmeticMeanTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.vector,DifferenceCalculationBasedCreatorTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminer,com.carrotsearch:hppc,Collections,"collections,structures",67,67,1.0
org.aksw.palmetto.prob.window,ContextWindowFrequencyDeterminer,com.carrotsearch:hppc,Collections,"collections,structures",14,14,1.0
org.aksw.palmetto.calculations.direct,LikelihoodCoherenceCalculationTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,com.carrotsearch:hppc,Collections,"collections,structures",14,30,0.47
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,30,0.03
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,junit:junit,Testing Frameworks,"testing,junit",13,30,0.43
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,commons-io:commons-io,I/O Utilities,io,2,30,0.07
org.aksw.palmetto.calculations.indirect,VectorCreationTest,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
org.aksw.palmetto.vector,RatioCoherenceCalculationTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.subsets,AnyAny,com.carrotsearch:hppc,Collections,"collections,structures",10,10,1.0
org.aksw.palmetto.corpus.lucene.creation,AbstractLuceneIndexCreator,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",21,21,1.0
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecorator,com.google.guava:guava,Core Utilities,google,10,10,1.0
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCalculationTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.sum,QuadraticMeanTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.subsets,OneOneAndSelf,com.carrotsearch:hppc,Collections,"collections,structures",7,7,1.0
org.aksw.palmetto.vector,LikelihoodCalculationBasedCreatorTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.subsets,OneAnyTest,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
org.aksw.palmetto.aggregation,Median,com.carrotsearch:hppc,Collections,"collections,structures",8,8,1.0
org.aksw.palmetto.prob.bd,ListBasedBooleanDocumentFrequencyDeterminer,com.carrotsearch:hppc,Collections,"collections,structures",31,31,1.0
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.calculations.indirect,DiceBasedCoherenceTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.evaluate.correlation,SpearmanTest,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
org.aksw.palmetto.subsets,OneSubsequentTest,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.aksw.palmetto.calculations.direct,RatioCoherenceCalculationTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.weight,CompleteProbabilityBasedWeighterTest,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
