packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
uk.co.flax.luwak.termextractor,QueryTerm,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,13,1.0
uk.co.flax.luwak.benchmark,ValidatorDocument,com.github.flaxsearch:luwak,"",github,7,7,1.0
uk.co.flax.luwak.benchmark,StandardBenchmark,com.google.guava:guava,Core Utilities,google,16,76,0.21
uk.co.flax.luwak.benchmark,StandardBenchmark,com.github.flaxsearch:luwak,"",github,57,76,0.75
uk.co.flax.luwak.benchmark,StandardBenchmark,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,76,0.04
uk.co.flax.luwak.benchmark,PresearcherMatch,com.github.flaxsearch:luwak,"",github,1,1,1.0
uk.co.flax.luwak,TestMonitorQuerySerialization,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",16,23,0.7
uk.co.flax.luwak,TestMonitorQuerySerialization,junit:junit,Testing Frameworks,"testing,junit",3,23,0.13
uk.co.flax.luwak,TestMonitorQuerySerialization,com.google.guava:guava,Core Utilities,google,4,23,0.17
uk.co.flax.luwak.benchmark,TestBenchmark,junit:junit,Testing Frameworks,"testing,junit",5,122,0.04
uk.co.flax.luwak.benchmark,TestBenchmark,io.dropwizard.metrics:metrics-core,Application Metrics,"monitoring,management,metrics,io,performance",4,122,0.03
uk.co.flax.luwak.benchmark,TestBenchmark,com.github.flaxsearch:luwak,"",github,76,122,0.62
uk.co.flax.luwak.benchmark,TestBenchmark,com.google.guava:guava,Core Utilities,google,8,122,0.07
uk.co.flax.luwak.benchmark,TestBenchmark,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",22,122,0.18
uk.co.flax.luwak.benchmark,TestBenchmark,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,122,0.06
uk.co.flax.luwak.termextractor.treebuilder,TreeBuilders,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",66,74,0.89
uk.co.flax.luwak.termextractor.treebuilder,TreeBuilders,org.apache.lucene:lucene-queries,"","lucene,apache,index",8,74,0.11
uk.co.flax.luwak,Indexable,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
uk.co.flax.luwak.presearcher,TermFilteredPresearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",142,142,1.0
uk.co.flax.luwak.presearcher,FieldFilterPresearcherComponent,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",71,72,0.99
uk.co.flax.luwak.presearcher,FieldFilterPresearcherComponent,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,72,0.01
uk.co.flax.luwak,TestQueryDecomposer,com.google.guava:guava,Core Utilities,google,4,79,0.05
uk.co.flax.luwak,TestQueryDecomposer,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",26,79,0.33
uk.co.flax.luwak,TestQueryDecomposer,junit:junit,Testing Frameworks,"testing,junit",11,79,0.14
uk.co.flax.luwak,TestQueryDecomposer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",38,79,0.48
uk.co.flax.luwak.presearcher,TestTermPresearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",34,46,0.74
uk.co.flax.luwak.presearcher,TestTermPresearcher,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",6,46,0.13
uk.co.flax.luwak.presearcher,TestTermPresearcher,junit:junit,Testing Frameworks,"testing,junit",5,46,0.11
uk.co.flax.luwak.presearcher,TestTermPresearcher,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,46,0.02
uk.co.flax.luwak.assertions,MatchesAssert,com.google.guava:guava,Core Utilities,google,2,18,0.11
uk.co.flax.luwak.assertions,MatchesAssert,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",16,18,0.89
uk.co.flax.luwak.analysis,TermsEnumTokenStream,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",19,19,1.0
uk.co.flax.luwak.matchers,ScoringMatcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
uk.co.flax.luwak.benchmark,BenchmarkResults,io.dropwizard.metrics:metrics-core,Application Metrics,"monitoring,management,metrics,io,performance",20,26,0.77
uk.co.flax.luwak.benchmark,BenchmarkResults,com.github.flaxsearch:luwak,"",github,6,26,0.23
uk.co.flax.luwak.termextractor,QueryAnalyzer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
uk.co.flax.luwak.termextractor.weights,TokenLengthNorm,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
uk.co.flax.luwak.termextractor.weights,TermFrequencyWeightNorm,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
uk.co.flax.luwak,TestMonitorFlexibleLuceneQueryParser,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,13,0.08
uk.co.flax.luwak,TestMonitorFlexibleLuceneQueryParser,junit:junit,Testing Frameworks,"testing,junit",3,13,0.23
