packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.imixs.workflow,TestRuleEngineGraalJSDeprecatedScripts,junit:junit,Testing Frameworks,"testing,junit",19,19,1.0
org.imixs.workflow.engine,TestWorkflowServiceGateways,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",6,260,0.02
org.imixs.workflow.engine,TestWorkflowServiceGateways,junit:junit,Testing Frameworks,"testing,junit",57,260,0.22
org.imixs.workflow.engine,TestWorkflowServiceGateways,org.imixs.workflow:imixs-workflow-core,"",workflow,197,260,0.76
org.imixs.workflow.plugins,TestApplicationPlugin,org.imixs.workflow:imixs-workflow-core,"",workflow,60,85,0.71
org.imixs.workflow.plugins,TestApplicationPlugin,junit:junit,Testing Frameworks,"testing,junit",16,85,0.19
org.imixs.workflow.plugins,TestApplicationPlugin,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",9,85,0.11
org.imixs.workflow.faces.data,ViewHandler,jakarta.platform:jakarta.jakartaee-api,"","api,platform",3,21,0.14
org.imixs.workflow.faces.data,ViewHandler,org.imixs.workflow:imixs-workflow-core,"",workflow,18,21,0.86
org.imixs.workflow.bpmn,TestBPMNModelSimple,junit:junit,Testing Frameworks,"testing,junit",147,147,1.0
org.imixs.workflow.engine,TestWorkflowService,org.imixs.workflow:imixs-workflow-core,"",workflow,182,272,0.67
org.imixs.workflow.engine,TestWorkflowService,org.mockito:mockito-all,Mocking,"mock,mocking,testing",16,272,0.06
org.imixs.workflow.engine,TestWorkflowService,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",16,272,0.06
org.imixs.workflow.engine,TestWorkflowService,junit:junit,Testing Frameworks,"testing,junit",58,272,0.21
org.imixs.workflow.plugins,TestApproverPlugin,org.imixs.workflow:imixs-workflow-core,"",workflow,312,612,0.51
org.imixs.workflow.plugins,TestApproverPlugin,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",70,612,0.11
org.imixs.workflow.plugins,TestApproverPlugin,org.mockito:mockito-all,Mocking,"mock,mocking,testing",52,612,0.08
org.imixs.workflow.plugins,TestApproverPlugin,junit:junit,Testing Frameworks,"testing,junit",178,612,0.29
org.imixs.workflow,TestRuleEngineBPMN,junit:junit,Testing Frameworks,"testing,junit",19,19,1.0
org.imixs.workflow.plugins,TestRulePluginConditions,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",6,120,0.05
org.imixs.workflow.plugins,TestRulePluginConditions,org.imixs.workflow:imixs-workflow-core,"",workflow,84,120,0.7
org.imixs.workflow.plugins,TestRulePluginConditions,junit:junit,Testing Frameworks,"testing,junit",30,120,0.25
org.imixs.workflow,RuleEngine,jakarta.platform:jakarta.jakartaee-api,"","api,platform",2,2,1.0
org.imixs.workflow.xml,TestXMLItem,jakarta.platform:jakarta.jakartaee-api,"","api,platform",39,160,0.24
org.imixs.workflow.xml,TestXMLItem,junit:junit,Testing Frameworks,"testing,junit",121,160,0.76
org.imixs.workflow.bpmn,TestBPMNParserCollaboration,junit:junit,Testing Frameworks,"testing,junit",45,45,1.0
org.imixs.workflow.engine.scheduler,SchedulerController,org.imixs.workflow:imixs-workflow-core,"",workflow,24,29,0.83
org.imixs.workflow.engine.scheduler,SchedulerController,jakarta.platform:jakarta.jakartaee-api,"","api,platform",5,29,0.17
org.imixs.workflow.faces.util,VectorConverter,jakarta.platform:jakarta.jakartaee-api,"","api,platform",8,8,1.0
org.imixs.workflow.engine.lucene,SimpleFacetsExample,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",97,156,0.62
