packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
io.dashbase.clue.commands,SearchCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",17,17,1.0
io.dashbase.clue.commands,PostingsCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",61,61,1.0
io.dashbase.clue.util,MatcherDocIdSetIterator,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
io.dashbase.clue.api,DirectoryBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue,LuceneContext,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",40,40,1.0
io.dashbase.clue.api,DefaultAnalyzerFactory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
io.dashbase.clue.util,CustomBufferedIndexInput,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",16,16,1.0
io.dashbase.clue.commands,DocValCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",145,145,1.0
io.dashbase.clue.client,ClueCommandService,com.squareup.retrofit2:retrofit,HTTP Clients,"http,client",5,5,1.0
io.dashbase.clue.commands,DocSetInfoCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",39,39,1.0
io.dashbase.clue.commands,ExportCommand,org.apache.lucene:lucene-codecs,"","lucene,apache,codec,index",1,21,0.05
io.dashbase.clue.commands,ExportCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",20,21,0.95
io.dashbase.clue.commands,DeleteUserCommitData,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
io.dashbase.clue.commands,NormsCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",46,46,1.0
io.dashbase.clue.api,DefaultIndexReaderFactory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",18,18,1.0
io.dashbase.clue.commands,DumpDocCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",30,30,1.0
io.dashbase.clue.commands,CountCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
io.dashbase.clue.commands,ReconstructCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",66,66,1.0
io.dashbase.clue,ClueApplication,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
io.dashbase.clue.api,BytesRefPrinter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
io.dashbase.clue.api,IndexReaderFactory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
io.dashbase.clue.commands,IndexTrimCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,13,1.0
io.dashbase.clue.api,QueryBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
io.dashbase.clue.test,BuildSampleIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",90,90,1.0
io.dashbase.clue.api,DefaultDirectoryBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
io.dashbase.clue.commands,TermsCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",95,95,1.0
io.dashbase.clue.commands,GetUserCommitDataCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,10,1.0
io.dashbase.clue.test,PayloadTokenizer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",40,40,1.0
io.dashbase.clue.commands,InfoCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",123,123,1.0
io.dashbase.clue.commands,ExplainCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
io.dashbase.clue.commands,SaveUserCommitData,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
io.dashbase.clue.client,ClueCommandClient,com.squareup.retrofit2:retrofit,HTTP Clients,"http,client",8,25,0.32
io.dashbase.clue.client,ClueCommandClient,jline:jline,Console Utilities,"command-line,console,terminal,cli",14,25,0.56
io.dashbase.clue.client,ClueCommandClient,com.squareup.retrofit2:converter-jackson,"","",1,25,0.04
io.dashbase.clue.client,ClueCommandClient,com.squareup.retrofit2:converter-scalars,"","",2,25,0.08
io.dashbase.clue.client,CmdlineHelper,jline:jline,Console Utilities,"command-line,console,terminal,cli",19,25,0.76
io.dashbase.clue.client,CmdlineHelper,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,25,0.24
io.dashbase.clue.commands,TermVectorCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",32,32,1.0
io.dashbase.clue.api,AnalyzerFactory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
io.dashbase.clue.util,MatchSomeDocsQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",18,18,1.0
io.dashbase.clue.commands,MergeCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
io.dashbase.clue.util,IntArrayDocIdSetIterator,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.api,DefaultQueryBuilder,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",5,8,0.63
io.dashbase.clue.api,DefaultQueryBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,8,0.38
io.dashbase.clue.commands,StoredFieldCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",36,36,1.0
io.dashbase.clue.commands,DeleteCommand,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
