packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
cc.twittertools.search,TrecTopic,com.google.guava:guava,Core Utilities,google,6,6,1.0
cc.twittertools.corpus.data,HTMLStatusExtractor,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",27,127,0.21
cc.twittertools.corpus.data,HTMLStatusExtractor,com.google.code.gson:gson,JSON Libraries,"google,json",54,127,0.43
cc.twittertools.corpus.data,HTMLStatusExtractor,org.jsoup:jsoup,HTML Parsers,"html,parser",46,127,0.36
edu.illinois.lis.utils,Stopper,commons-io:commons-io,I/O Utilities,io,2,2,1.0
cc.twittertools.util,VerifySubcollection,com.google.guava:guava,Core Utilities,google,2,68,0.03
cc.twittertools.util,VerifySubcollection,com.google.code.gson:gson,JSON Libraries,"google,json",1,68,0.01
cc.twittertools.util,VerifySubcollection,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",38,68,0.56
cc.twittertools.util,VerifySubcollection,it.unimi.dsi:fastutil,Collections,"collections,structures",14,68,0.21
cc.twittertools.util,VerifySubcollection,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",13,68,0.19
cc.twittertools.corpus.demo,ReadStatuses,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",7,42,0.17
cc.twittertools.corpus.demo,ReadStatuses,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",35,42,0.83
cc.twittertools.thrift.gen,TQuery,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",251,251,1.0
edu.illinois.lis.feedback,FeedbackRelevanceModel,cc.twittertools:twitter-tools-core,"","tools,twitter",15,15,1.0
cc.twittertools.index,ExtractTermStatisticsFromIndex,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",38,67,0.57
cc.twittertools.index,ExtractTermStatisticsFromIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",29,67,0.43
cc.twittertools.thrift.gen,TrecSearchException,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",124,124,1.0
cc.twittertools.download,AsyncEmbeddedJsonStatusBlockCrawler,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",51,173,0.29
cc.twittertools.download,AsyncEmbeddedJsonStatusBlockCrawler,com.google.code.gson:gson,JSON Libraries,"google,json",18,173,0.1
cc.twittertools.download,AsyncEmbeddedJsonStatusBlockCrawler,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",45,173,0.26
cc.twittertools.download,AsyncEmbeddedJsonStatusBlockCrawler,com.google.guava:guava,Core Utilities,google,6,173,0.03
cc.twittertools.download,AsyncEmbeddedJsonStatusBlockCrawler,commons-lang:commons-lang,Core Utilities,"",2,173,0.01
cc.twittertools.download,AsyncEmbeddedJsonStatusBlockCrawler,com.ning:async-http-client,HTTP Clients,"client,asynchronous,http",51,173,0.29
cc.twittertools.search.api,RunQueriesThrift,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",100,100,1.0
cc.twittertools.search.api,TrecSearchHandler,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",9,98,0.09
cc.twittertools.search.api,TrecSearchHandler,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",4,98,0.04
cc.twittertools.search.api,TrecSearchHandler,com.google.guava:guava,Core Utilities,google,8,98,0.08
cc.twittertools.search.api,TrecSearchHandler,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",77,98,0.79
cc.twittertools.download,AsyncHTMLStatusBlockCrawler,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",43,161,0.27
cc.twittertools.download,AsyncHTMLStatusBlockCrawler,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",51,161,0.32
cc.twittertools.download,AsyncHTMLStatusBlockCrawler,com.google.code.gson:gson,JSON Libraries,"google,json",11,161,0.07
cc.twittertools.download,AsyncHTMLStatusBlockCrawler,com.google.guava:guava,Core Utilities,google,6,161,0.04
cc.twittertools.download,AsyncHTMLStatusBlockCrawler,com.ning:async-http-client,HTTP Clients,"client,asynchronous,http",50,161,0.31
cc.twittertools.search.api,RunQueriesBaselineThrift,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",100,100,1.0
cc.twittertools.search.api,TrecSearchThriftLoadGenerator,com.google.guava:guava,Core Utilities,google,15,126,0.12
cc.twittertools.search.api,TrecSearchThriftLoadGenerator,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",87,126,0.69
cc.twittertools.search.api,TrecSearchThriftLoadGenerator,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",23,126,0.18
cc.twittertools.search.api,TrecSearchThriftLoadGenerator,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",1,126,0.01
edu.illinois.lis.utils,ParameterBroker,com.google.code.gson:gson,JSON Libraries,"google,json",21,21,1.0
cc.twittertools.index,ExtractTweetidsFromIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",18,45,0.4
cc.twittertools.index,ExtractTweetidsFromIndex,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",27,45,0.6
edu.illinois.lis.rerank,SearchReranker,cc.twittertools:twitter-tools-core,"","tools,twitter",4,4,1.0
edu.illinois.lis.search,RunQueries,cc.twittertools:twitter-tools-core,"","tools,twitter",18,18,1.0
cc.twittertools.index,TweetAnalyzer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",17,21,0.81
cc.twittertools.index,TweetAnalyzer,com.google.guava:guava,Core Utilities,google,2,21,0.1
cc.twittertools.index,TweetAnalyzer,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",2,21,0.1
cc.twittertools.search,TrecTopicSet,com.google.guava:guava,Core Utilities,google,12,12,1.0
cc.twittertools.udf,GetInterval,org.apache.pig:pig,Hadoop Query Engines,"apache,hadoop,query,bigdata",7,7,1.0
cc.twittertools.search.local,SearchStatuses,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",100,145,0.69
cc.twittertools.search.local,SearchStatuses,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",4,145,0.03
cc.twittertools.search.local,SearchStatuses,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",41,145,0.28
