packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,org.elasticsearch:elasticsearch,ElasticSearch Clients,"server,elasticsearch,elastic,client,search",10,22,0.45
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,org.lionsoul:jcseg-analyzer,"",analyzer,6,22,0.27
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,org.lionsoul:jcseg-core,"","",6,22,0.27
org.lionsoul.jcseg.opensearch.index.analysis,JcsegMostAnalyzerProvider,org.lionsoul:jcseg-core,"","",3,9,0.33
org.lionsoul.jcseg.opensearch.index.analysis,JcsegMostAnalyzerProvider,org.opensearch:opensearch,"","search,server",6,9,0.67
org.lionsoul.jcseg.opensearch.index.analysis,JcsegAnalyzerProvider,org.lionsoul:jcseg-core,"","",6,22,0.27
org.lionsoul.jcseg.opensearch.index.analysis,JcsegAnalyzerProvider,org.opensearch:opensearch,"","search,server",10,22,0.45
org.lionsoul.jcseg.opensearch.index.analysis,JcsegAnalyzerProvider,org.lionsoul:jcseg-analyzer,"",analyzer,6,22,0.27
org.lionsoul.jcseg.server.core,JSONWriter,org.lionsoul:jcseg-core,"","",103,103,1.0
org.lionsoul.jcseg.opensearch.plugin,AnalysisJcsegPlugin,org.lionsoul:jcseg-core,"","",31,70,0.44
org.lionsoul.jcseg.opensearch.plugin,AnalysisJcsegPlugin,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,70,0.16
org.lionsoul.jcseg.opensearch.plugin,AnalysisJcsegPlugin,org.opensearch:opensearch,"","search,server",28,70,0.4
org.lionsoul.jcseg.server,Bootstrap,org.lionsoul:jcseg-core,"","",2,2,1.0
org.lionsoul.jcseg.server.controller,MainController,org.eclipse.jetty:jetty-server,Web Servers,"server,eclipse,webserver,web,jetty",2,2,1.0
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegMostAnalyzerProvider,org.lionsoul:jcseg-core,"","",3,9,0.33
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegMostAnalyzerProvider,org.elasticsearch:elasticsearch,ElasticSearch Clients,"server,elasticsearch,elastic,client,search",6,9,0.67
org.lionsoul.jcseg.analyzer,JcsegTokenizerFactory,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,25,0.04
org.lionsoul.jcseg.analyzer,JcsegTokenizerFactory,org.lionsoul:jcseg-core,"","",22,25,0.88
