packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrSparseDocEmbedDotProdSimilarity,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",5,13,0.38
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrSparseDocEmbedDotProdSimilarity,com.googlecode.matrix-toolkits-java:mtj,Vector/Matrix Libraries,"vector,matrix,match,toolkit",8,13,0.62
edu.cmu.lti.oaqa.flexneuart.giza,GizaFilterAndRecoderTest,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",57,119,0.48
edu.cmu.lti.oaqa.flexneuart.giza,GizaFilterAndRecoderTest,junit:junit,Testing Frameworks,"testing,junit",62,119,0.52
edu.cmu.lti.oaqa.flexneuart.utils,DataEntryReader,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",7,7,1.0
edu.cmu.lti.oaqa.flexneuart.giza,GizaVocabularyReader,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",5,5,1.0
edu.cmu.lti.oaqa.nmslib,QueryService,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",1559,1559,1.0
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",82,92,0.89
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,92,0.01
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",4,92,0.04
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",5,92,0.05
edu.cmu.lti.oaqa.flexneuart.utils,CompressUtils,org.apache.ant:ant,Build Tools,"apache,ant,build,tools",7,13,0.54
edu.cmu.lti.oaqa.flexneuart.utils,CompressUtils,commons-io:commons-io,I/O Utilities,io,6,13,0.46
edu.cmu.lti.oaqa.flexneuart.apps,GenFeaturesAppImpl,com.googlecode.matrix-toolkits-java:mtj,Vector/Matrix Libraries,"vector,matrix,match,toolkit",7,11,0.64
edu.cmu.lti.oaqa.flexneuart.apps,GenFeaturesAppImpl,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",4,11,0.36
edu.cmu.lti.oaqa.flexneuart.apps,CheckDenseSparseExportScores,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",7,39,0.18
