packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.sifarish.etl,StructuredTextAnalyzer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",21,22,0.95
org.sifarish.etl,StructuredTextAnalyzer,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,22,0.05
org.sifarish.realtime,DitheringBolt,com.google.guava:guava,Core Utilities,google,11,11,1.0
org.sifarish.common,TextAnalyzer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",42,50,0.84
org.sifarish.common,TextAnalyzer,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",7,50,0.14
org.sifarish.common,TextAnalyzer,org.apache.lucene:lucene-analyzers-morfologik,"","lucene,analyzer,apache,index",1,50,0.02
org.sifarish.common,ItemDynamicAttributeSimilarity,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",2,2,1.0
org.sifarish.etl,CountryStandardFormat,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",24,24,1.0
org.sifarish.etl,TextFieldTokenNormalizer,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",6,6,1.0
org.sifarish.feature,RecordDistanceFinder,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",2,2,1.0
org.sifarish.etl,UnitedStatesStandardFormat,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",22,22,1.0
org.sifarish.realtime,UserItemRatings,com.google.guava:guava,Core Utilities,google,16,16,1.0
org.sifarish.social,PearsonCorrelator,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",17,17,1.0
org.sifarish.feature,SameTypeSimilarity,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",6,6,1.0
