packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
com.browseengine.bobo.api,BoboMultiReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",16,16,1.0
com.browseengine.bobo.sort,SortCollector,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",85,92,0.92
com.browseengine.bobo.sort,SortCollector,log4j:log4j,Logging Frameworks,logging,7,92,0.08
com.browseengine.bobo.search.section,MetaDataCacheProvider,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
com.browseengine.bobo.test,UnitTestSuite,junit:junit,Testing Frameworks,"testing,junit",16,16,1.0
com.browseengine.bobo.query,ScorerBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
com.browseengine.bobo.search.section,SectionSearchQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",55,55,1.0
com.browseengine.bobo.test,FacetHandlerTest,junit:junit,Testing Frameworks,"testing,junit",7,44,0.16
com.browseengine.bobo.test,FacetHandlerTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",36,44,0.82
com.browseengine.bobo.test,FacetHandlerTest,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,44,0.02
com.browseengine.bobo.sort,LuceneCustomDocComparatorSource,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",23,23,1.0
com.browseengine.bobo.test,FacetNotValuesTest,log4j:log4j,Logging Frameworks,logging,9,149,0.06
com.browseengine.bobo.test,FacetNotValuesTest,junit:junit,Testing Frameworks,"testing,junit",10,149,0.07
com.browseengine.bobo.test,FacetNotValuesTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",130,149,0.87
com.browseengine.bobo.facets.data,TermShortList,it.unimi.dsi:fastutil,Collections,"collections,structures",8,8,1.0
com.browseengine.bobo.query,MatchAllDocIdSetIterator,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
com.browseengine.bobo.util.test,BigSegmentedArrayTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,28,0.11
com.browseengine.bobo.util.test,BigSegmentedArrayTest,junit:junit,Testing Frameworks,"testing,junit",25,28,0.89
com.browseengine.bobo.search,BoboSearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",82,82,1.0
com.browseengine.bobo.facets.impl,GeoSimpleFacetHandler,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
com.browseengine.bobo.util,MemoryManager,log4j:log4j,Logging Frameworks,logging,5,5,1.0
com.browseengine.bobo.facets.filter,GeoSimpleFacetFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
com.browseengine.bobo.query.scoring,FacetTermScoringFunction,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
com.browseengine.bobo.facets.data,TermLongList,it.unimi.dsi:fastutil,Collections,"collections,structures",8,8,1.0
com.browseengine.bobo.util,BigShortArray,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
com.browseengine.bobo.facets.impl,MultiValueWithWeightFacetHandler,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
com.browseengine.bobo.facets.impl,PathFacetHandler,it.unimi.dsi:fastutil,Collections,"collections,structures",10,10,1.0
com.browseengine.bobo.index,BoboIndexer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",37,38,0.97
com.browseengine.bobo.index,BoboIndexer,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,38,0.03
com.browseengine.bobo.service,BrowseServiceFactory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",15,20,0.75
com.browseengine.bobo.service,BrowseServiceFactory,log4j:log4j,Logging Frameworks,logging,5,20,0.25
com.browseengine.bobo.api,BoboSegmentReader,log4j:log4j,Logging Frameworks,logging,7,48,0.15
com.browseengine.bobo.api,BoboSegmentReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",41,48,0.85
com.browseengine.bobo.facets.filter,AdaptiveFacetFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",28,28,1.0
com.browseengine.bobo.docidset,OrDocIdSetIterator,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",33,33,1.0
com.browseengine.bobo.facets.impl,SpatialFacetHandler,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,16,0.19
com.browseengine.bobo.facets.impl,SpatialFacetHandler,org.apache.lucene:lucene-spatial,"","lucene,spatial,apache,index",13,16,0.81
com.browseengine.bobo.util,LazyBigIntArray,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
com.browseengine.bobo.test,FacetNameTest,junit:junit,Testing Frameworks,"testing,junit",5,63,0.08
com.browseengine.bobo.test,FacetNameTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",53,63,0.84
com.browseengine.bobo.test,FacetNameTest,log4j:log4j,Logging Frameworks,logging,5,63,0.08
com.browseengine.bobo.sort,DocIDPriorityQueue,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",60,60,1.0
com.browseengine.bobo.facets.data,TermLongListTest,junit:junit,Testing Frameworks,"testing,junit",11,11,1.0
com.browseengine.bobo.facets.impl,SimpleGroupbyFacetHandler,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
com.browseengine.bobo.facets.data,TermCharList,it.unimi.dsi:fastutil,Collections,"collections,structures",10,10,1.0
com.browseengine.bobo.api,BoboSubBrowser,log4j:log4j,Logging Frameworks,logging,9,47,0.19
com.browseengine.bobo.api,BoboSubBrowser,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",38,47,0.81
com.browseengine.bobo.facets.filter,FacetRangeFilter,it.unimi.dsi:fastutil,Collections,"collections,structures",6,10,0.6
com.browseengine.bobo.facets.filter,FacetRangeFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,10,0.4
com.browseengine.bobo.facets.impl,BucketFacetHandler,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
com.browseengine.bobo.search.section,OrNode,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,12,1.0
com.browseengine.bobo.api,BoboCustomSortField,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
com.browseengine.bobo.query,FacetBasedBoostScorerBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",45,45,1.0
com.browseengine.bobo.test,TestPathMultiVal,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",41,46,0.89
com.browseengine.bobo.test,TestPathMultiVal,junit:junit,Testing Frameworks,"testing,junit",4,46,0.09
com.browseengine.bobo.test,TestPathMultiVal,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,46,0.02
com.browseengine.bobo.docidset,OrDocIdSet,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",15,15,1.0
com.browseengine.bobo.sort,DocComparatorSource,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",210,210,1.0
com.browseengine.bobo.api,BrowseHit,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",36,36,1.0
com.browseengine.bobo.search.section,AndNotNode,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
com.browseengine.bobo.service,BoboService,log4j:log4j,Logging Frameworks,logging,9,20,0.45
com.browseengine.bobo.service,BoboService,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,20,0.55
com.browseengine.bobo.facets.filter,CompactMultiValueFacetFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
com.browseengine.bobo.search.section,IntMetaDataQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",23,23,1.0
com.browseengine.bobo.impl,QueryProducer,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",4,16,0.25
com.browseengine.bobo.impl,QueryProducer,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,16,0.06
com.browseengine.bobo.impl,QueryProducer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,16,0.69
com.browseengine.bobo.facets.filter,RandomAccessOrFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
com.browseengine.bobo.facets.filter,AndFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",24,24,1.0
com.browseengine.bobo.docidset,DocSet,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
com.browseengine.bobo.facets.filter,MultiValueORFacetFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",20,20,1.0
