packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
proj.zoie.perf.client,ZoiePerf,org.mortbay.jetty:jetty,Web Servers,"webserver,server,jetty,web",32,254,0.13
proj.zoie.perf.client,ZoiePerf,com.yammer.metrics:metrics-core,Application Metrics,"monitoring,management,metrics,performance",55,254,0.22
proj.zoie.perf.client,ZoiePerf,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",86,254,0.34
proj.zoie.perf.client,ZoiePerf,org.json:json,JSON Libraries,json,4,254,0.02
proj.zoie.perf.client,ZoiePerf,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,254,0.0
proj.zoie.perf.client,ZoiePerf,commons-configuration:commons-configuration,Configuration Libraries,config,53,254,0.21
proj.zoie.perf.client,ZoiePerf,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",22,254,0.09
proj.zoie.perf.client,ZoiePerf,org.mortbay.jetty:jetty-util,"","server,webserver,jetty",1,254,0.0
proj.zoie.api.impl.util,LongSetAccelerator,it.unimi.dsi:fastutil,Collections,"collections,structures",43,43,1.0
proj.zoie.test,ZoieTest,log4j:log4j,Logging Frameworks,logging,13,473,0.03
proj.zoie.test,ZoieTest,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",16,473,0.03
proj.zoie.test,ZoieTest,it.unimi.dsi:fastutil,Collections,"collections,structures",22,473,0.05
proj.zoie.test,ZoieTest,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",2,473,0.0
proj.zoie.test,ZoieTest,junit:junit,Testing Frameworks,"testing,junit",49,473,0.1
proj.zoie.test,ZoieTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",371,473,0.78
proj.zoie.dataprovider.jdbc,JDBCStreamDataProvider,log4j:log4j,Logging Frameworks,logging,19,19,1.0
proj.zoie.api.impl.util,ArrayDocIdSet,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
proj.zoie.impl.indexing,AbstractReaderCache,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,log4j:log4j,Logging Frameworks,logging,11,31,0.35
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,it.unimi.dsi:fastutil,Collections,"collections,structures",1,31,0.03
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",19,31,0.61
proj.zoie.perf.indexing,LinedFileDataProvider,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",8,17,0.47
proj.zoie.perf.indexing,LinedFileDataProvider,log4j:log4j,Logging Frameworks,logging,9,17,0.53
proj.zoie.impl.indexing,ReaderCacheFactory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
proj.zoie.api,ZoieMultiReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",45,68,0.66
proj.zoie.api,ZoieMultiReader,it.unimi.dsi:fastutil,Collections,"collections,structures",4,68,0.06
proj.zoie.api,ZoieMultiReader,log4j:log4j,Logging Frameworks,logging,19,68,0.28
proj.zoie.api,IndexReaderFactory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
proj.zoie.impl.indexing,IndexingThread,log4j:log4j,Logging Frameworks,logging,5,5,1.0
