packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
com.vmware.xenon.common,TestOperationProcessingChain,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
com.vmware.xenon.services.common,NodeGroupService,com.esotericsoftware:kryo-shaded,"","",1,1,1.0
com.vmware.xenon.services.samples,IdGeneratorService,com.vmware.xenon:xenon-common,"","",54,54,1.0
com.vmware.xenon.common,TestRoundRobinOperationQueue,junit:junit,Testing Frameworks,"testing,junit",29,29,1.0
com.vmware.xenon.common,TestValidationError,junit:junit,Testing Frameworks,"testing,junit",12,12,1.0
com.vmware.xenon.common,TestLocalizableValidationException,junit:junit,Testing Frameworks,"testing,junit",8,8,1.0
com.vmware.xenon.services.common,LuceneDocumentIndexService,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",838,872,0.96
com.vmware.xenon.services.common,LuceneDocumentIndexService,org.apache.lucene:lucene-grouping,"","lucene,apache,index",24,872,0.03
com.vmware.xenon.services.common,LuceneDocumentIndexService,com.google.code.gson:gson,JSON Libraries,"google,json",9,872,0.01
com.vmware.xenon.services.common,LuceneDocumentIndexService,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,872,0.0
com.vmware.workshop.labs.answer,BookServiceAnswerTest,junit:junit,Testing Frameworks,"testing,junit",17,37,0.46
com.vmware.workshop.labs.answer,BookServiceAnswerTest,com.vmware.xenon:xenon-common,"","",20,37,0.54
com.vmware.xenon.services.samples,SampleContinuousQueryWatchService,com.vmware.xenon:xenon-common,"","",135,135,1.0
com.vmware.xenon.common,TestAuthorizationContext,junit:junit,Testing Frameworks,"testing,junit",13,13,1.0
com.vmware.xenon.common.opentracing,TracingTest,junit:junit,Testing Frameworks,"testing,junit",24,134,0.18
com.vmware.xenon.common.opentracing,TracingTest,io.opentracing:opentracing-mock,"","io,tracing,mock",62,134,0.46
com.vmware.xenon.common.opentracing,TracingTest,io.opentracing:opentracing-api,Distributed Tracing,"io,tracing,api,distributed",48,134,0.36
com.vmware.xenon.common,TestStatefulService,junit:junit,Testing Frameworks,"testing,junit",53,53,1.0
com.vmware.xenon.common.opentracing,TracingExecutor,io.opentracing:opentracing-api,Distributed Tracing,"io,tracing,api,distributed",28,28,1.0
com.vmware.xenon.common.serialization,ByteArrayToBase64TypeAdapter,com.google.code.gson:gson,JSON Libraries,"google,json",10,10,1.0
com.vmware.xenon.common.test,VerificationHost,com.esotericsoftware:kryo-shaded,"","",1,69,0.01
com.vmware.xenon.common.test,VerificationHost,io.netty:netty-all,Network App Frameworks,"network,socket,framework,netty,io",30,69,0.43
com.vmware.xenon.common.test,VerificationHost,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,69,0.01
com.vmware.xenon.common.test,VerificationHost,junit:junit,Testing Frameworks,"testing,junit",37,69,0.54
com.vmware.xenon.common.opentracing,TracerFactory,io.opentracing:opentracing-noop,"","io,tracing",2,4,0.5
com.vmware.xenon.common.opentracing,TracerFactory,io.opentracing:opentracing-api,Distributed Tracing,"io,tracing,api,distributed",1,4,0.25
