packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.apdplat.word.lucene,ChineseWordTokenizer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",17,24,0.71
org.apdplat.word.lucene,ChineseWordTokenizer,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",7,24,0.29
org.apdplat.word.util,WordConfTools,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",43,43,1.0
org.apdplat.word.analysis,TextSimilarityTest,junit:junit,Testing Frameworks,"testing,junit",35,35,1.0
org.apdplat.word,WordFrequencyStatistics,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",13,13,1.0
org.apdplat.word.segmentation,WordRefiner,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",33,33,1.0
org.apdplat.word.segmentation.impl,PureEnglish,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",11,11,1.0
org.apdplat.word.analysis,SimHashPlusHammingDistanceTextSimilarity,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",29,29,1.0
org.apdplat.word.recognition,RecognitionTool,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",25,25,1.0
org.apdplat.word.recognition,PersonName,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",71,71,1.0
org.apdplat.word.segmentation,PartOfSpeech,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",13,13,1.0
org.apdplat.word.vector,Distance,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",67,67,1.0
org.apdplat.word.lucene,ChineseWordAnalyzer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",60,99,0.61
org.apdplat.word.lucene,ChineseWordAnalyzer,org.apache.lucene:lucene-test-framework,"","lucene,framework,testing,apache,index",30,99,0.3
org.apdplat.word.lucene,ChineseWordAnalyzer,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",9,99,0.09
org.apdplat.word.solr,ChineseWordTokenizerFactory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,20,0.1
org.apdplat.word.solr,ChineseWordTokenizerFactory,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",17,20,0.85
org.apdplat.word.solr,ChineseWordTokenizerFactory,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,20,0.05
org.apdplat.word.segmentation.impl,MinimumMatchingTest,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.apdplat.word.util,DoubleArrayGenericTrieTest,junit:junit,Testing Frameworks,"testing,junit",20,20,1.0
org.apdplat.word.corpus,CorpusMerge,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",9,9,1.0
org.apdplat.word.analysis,SørensenDiceCoefficientTextSimilarity,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",14,14,1.0
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrieTest,junit:junit,Testing Frameworks,"testing,junit",89,89,1.0
org.apdplat.word.recognition,RecognitionToolTest,junit:junit,Testing Frameworks,"testing,junit",16,16,1.0
org.apdplat.word.analysis,HotWordTest,junit:junit,Testing Frameworks,"testing,junit",10,10,1.0
org.apdplat.word.analysis,HotWord,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",9,9,1.0
org.apdplat.word.tagging,SynonymTagging,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",51,51,1.0
org.apdplat.word.util,AutoDetector,redis.clients:jedis,Redis Clients,"redis,database,client",12,83,0.14
org.apdplat.word.util,AutoDetector,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",71,83,0.86
org.apdplat.word.util,DirectoryWatcher,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",39,39,1.0
org.apdplat.word.tagging,PartOfSpeechTagging,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",19,19,1.0
org.apdplat.word.elasticsearch,ChineseWordNoOpTokenFilterFactory,org.elasticsearch:elasticsearch,ElasticSearch Clients,"server,elasticsearch,elastic,client,search",6,9,0.67
org.apdplat.word.elasticsearch,ChineseWordNoOpTokenFilterFactory,org.apache.lucene:lucene-test-framework,"","lucene,framework,testing,apache,index",3,9,0.33
