packageName,className,apis
org.ansj.recognition.impl,DicRecognition,[org.nlpcn:nlp-lang]
org.ansj.splitWord,Analysis,[org.nlpcn:nlp-lang]
org.ansj.app.crf.model,WapitiCRFModelTest,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.demo,NlpDemoTest,[org.nlpcn:nlp-lang]
org.ansj.ansj_lucene4_plug,Test,[org.apache.lucene:lucene-core]
org.ansj.ansj_lucene5_plug,TestToken,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.splitWord.analysis,DicAnalysis,[org.nlpcn:nlp-lang]
org.ansj.recognition.impl,StopRecognition,[org.nlpcn:nlp-lang]
org.ansj.recognition.arrimpl,PersonRecognitionTest,[junit:junit]
org.ansj.splitWord.analysis,ToAnalysis,[org.nlpcn:nlp-lang]
org.ansj.app.crf,ConfigTest,[junit:junit]
org.ansj.splitWord.analysis,IndexAnalysisTest,[junit:junit]
org.ansj.ansj_lucene5_plug,IndexAndTest,"[junit:junit,org.ansj:ansj_seg,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.recognition.impl,IDCardRecognitionTest,[junit:junit]
org.ansj.app.extracting,LexicalTest,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.app.extracting,TokenTest,[junit:junit]
org.ansj.recognition.impl,UserDicNatureRecognitionTest,[junit:junit]
org.ansj.ansj_lucene4_plug,IndexTest,"[junit:junit,org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.app.summary,TagContentTest,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.library,AmbiguityLibrary,[org.nlpcn:nlp-lang]
org.ansj.recognition.impl,ExtractingRecognition,[org.nlpcn:nlp-lang]
org.ansj.recognition.impl,KilobitRecognitionTest,[junit:junit]
org.ansj.lucene4,AnsjIndexAnalysis,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.recognition.impl,FilterRecognitionTest,[junit:junit]
org.ansj.recognition.impl,SynonymsRecgnition,[org.nlpcn:nlp-lang]
org.ansj.app.crf,Config,[org.nlpcn:nlp-lang]
org.ansj.app.crf,MakeTrainFile,[org.nlpcn:nlp-lang]
org.ansj.test,RealNameTest,[junit:junit]
org.ansj.recognition.arrimpl,PersonRecognition,[org.nlpcn:nlp-lang]
org.ansj.recognition.impl,UserDicNatureRecognition,[org.nlpcn:nlp-lang]
org.ansj.app.crf,ModelTest,[junit:junit]
org.ansj.splitWord.analysis,NlpAnalysis,[org.nlpcn:nlp-lang]
org.ansj.recognition.arrimpl,UserDefineRecognition,[org.nlpcn:nlp-lang]
org.ansj.library,DATDictionary,[org.nlpcn:nlp-lang]
org.ansj.library,SynonymsLibrary,[org.nlpcn:nlp-lang]
org.ansj.demo,JianFanZhuanhuanDemo,[org.nlpcn:nlp-lang]
org.ansj.app.crf,SplitWord,[org.nlpcn:nlp-lang]
org.ansj.demo,NewWordFindDemo,[org.nlpcn:nlp-lang]
org.ansj.lucene3,AnsjAnalysis,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.ansj_lucene_plug,IndexTest,"[junit:junit,org.ansj:ansj_seg,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.app.crf.model,CRFppTxtModelTest,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.app.extracting,Lexical,[org.nlpcn:nlp-lang]
org.ansj.lucene6,AnsjAnalyzer,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.nlpcn:nlp-lang]"
org.ansj.util,Counter,[org.nlpcn:nlp-lang]
org.ansj.app.keyword,KeyWordComputerTest,[junit:junit]
org.ansj.domain,Result,[org.nlpcn:nlp-lang]
org.ansj.app.crf,SplitWordTest,[junit:junit]
org.ansj.lucene7,AnsjAnalyzer,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.nlpcn:nlp-lang]"
org.ansj.recognition.impl,NatureRecognition,[org.nlpcn:nlp-lang]
org.ansj.ansj_lucene_plug,IndexAndTest,"[junit:junit,org.ansj:ansj_seg,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.app.summary,TagContent,[org.nlpcn:nlp-lang]
org.ansj.ansj_lucene_plug,AppTest,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.recognition.impl,TimeRecognitionTest,[junit:junit]
org.ansj.util,MyStaticValue,[org.nlpcn:nlp-lang]
org.ansj.ansj_lucene5_plug,PhraseTest,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
org.ansj.splitWord.analysis,BaseAnalysisTest,[junit:junit]
org.ansj.app.keyword,KeyWordComputer,[org.nlpcn:nlp-lang]
org.ansj.lucene4,AnsjAnalysis,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.lucene.util,AnsjTokenizer,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.test,SummaryTest,[org.nlpcn:nlp-lang]
org.ansj.app.extracting,RuleTest,[junit:junit]
org.ansj.demo,ReloadUserLibrary,[org.nlpcn:nlp-lang]
org.ansj.test,TestError,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.app.phrase,PhraseExtractor,[org.nlpcn:nlp-lang]
org.ansj.library,DicLibrary,[org.nlpcn:nlp-lang]
org.ansj.app.extracting,Extracting,[org.nlpcn:nlp-lang]
org.ansj.ansj_lucene4_plug,AppTest,[org.apache.lucene:lucene-core]
org.ansj.splitWord.impl,GetWordsImpl,[org.nlpcn:nlp-lang]
org.ansj.splitWord.analysis,IndexAnalysis,[org.nlpcn:nlp-lang]
org.ansj.recognition.arrimpl,NewWordRecognition,[org.nlpcn:nlp-lang]
org.ansj.splitWord.analysis,ManyDicTest,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.recognition.impl,SynonymsRecgnitionTest,[junit:junit]
org.ansj.test,TagWordTest,[junit:junit]
org.ansj.app.crf,ElementTest,[junit:junit]
org.ansj.app.extracting,ExtractingTest,[junit:junit]
org.ansj.library,CrfLibrary,[org.nlpcn:nlp-lang]
org.ansj.library,NatureLibrary,[org.nlpcn:nlp-lang]
org.ansj.ansj_lucene5_plug,AppTest,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.ansj_lucene5_plug,HeightLightTest,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.app.crf,Model,[org.nlpcn:nlp-lang]
org.ansj.recognition.impl,PhoneRecognitionTest,[junit:junit]
org.ansj.ansj_lucene5_plug,IndexTest,"[junit:junit,org.ansj:ansj_seg,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.domain,ResultTest,[junit:junit]
org.ansj.library,DicLibraryTest,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.splitWord.analysis,DicAnalysisTest,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj,CorpusTest,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.lucene.util,AnsjTokenizerFactory,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.nlpcn:nlp-lang]"
org.ansj.lucene3,NearTest,[org.apache.lucene:lucene-core]
org.ansj.library,NgramLibrary,[org.nlpcn:nlp-lang]
org.ansj.lucene5,AnsjAnalyzer,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.nlpcn:nlp-lang]"
org.ansj.ansj_lucene_plug,PhraseTest,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
org.ansj.library,StopLibrary,[org.nlpcn:nlp-lang]
org.ansj.ansj_lucene_plug,HeightLightTest,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.demo,LearnToolDemo,[org.nlpcn:nlp-lang]
org.ansj.app.phrase,Occurrence,[org.nlpcn:nlp-lang]
org.ansj.domain,Term,[org.nlpcn:nlp-lang]
org.ansj.demo,ReloadAmbiguityLibrary,[org.nlpcn:nlp-lang]
org.ansj.dic.impl,Jar2StreamTest,[junit:junit]
org.ansj.app.extracting,ExtractingTaskTest,[junit:junit]
org.ansj.app.extracting.domain,RuleIndex,[org.nlpcn:nlp-lang]
org.ansj.lucene3,TestFilter,[org.apache.lucene:lucene-core]
org.ansj.solr,AnsjTokenizerFactory,"[org.ansj:ansj_lucene4_plug,org.ansj:ansj_seg,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
org.ansj.app.crf.model,CRFModelTest,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.demo,FileDemo,[org.nlpcn:nlp-lang]
org.ansj.dic.impl,File2Stream,[org.nlpcn:nlp-lang]
org.ansj.app.keyword,KeyWordTest,[junit:junit]
org.ansj.ansj_lucene_plug,TestToken,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.app.summary,SummaryComputer,[org.nlpcn:nlp-lang]
org.ansj.recognition.impl,NatureRecognitionTest,[junit:junit]
org.ansj.lucene3,AnsjIndexAnalysis,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.util,Graph,[org.nlpcn:nlp-lang]
org.ansj.recognition.impl,BookRecognitionTest,[junit:junit]
org.ansj.recognition.arrimpl,NumRecognitionTest,[junit:junit]
org.ansj.recognition.impl,EmailRecognitionTest,[junit:junit]
org.ansj.recognition.impl,DicRecognitionTest,[junit:junit]
org.ansj.ansj_lucene_plug,HeightLightTest2,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.dic,LearnTool,[org.nlpcn:nlp-lang]
org.ansj.app.extracting,RuleFormatTest,[junit:junit]
org.ansj.domain,AnsjItem,[org.nlpcn:nlp-lang]
org.ansj.splitWord.analysis,NlpAnalysisTest,[junit:junit]
org.ansj.test,SpeedTest,[org.nlpcn:nlp-lang]
org.ansj.app.crf.model,CRFppTxtModel,[org.nlpcn:nlp-lang]
org.ansj.demo,SentenceCover,[org.nlpcn:nlp-lang]
org.ansj.app.crf.model,CRFModel,[org.nlpcn:nlp-lang]
org.ansj.splitWord.analysis,ToAnalysisTest,[junit:junit]
org.ansj.recognition.impl,URLRecognitionTest,[junit:junit]
org.ansj.dic,DicReader,[org.nlpcn:nlp-lang]
org.ansj.app.crf.model,WapitiCRFModel,[org.nlpcn:nlp-lang]
org.ansj.lucene.util,PorterStemmer,[org.apache.lucene:lucene-core]
