packageName,className,apis
zemberek.apps.ner,EvaluateNer,"[com.beust:jcommander,com.google.guava:guava]"
zemberek.morphology.analysis,StemTransitionTrieBasedTest,[junit:junit]
zemberek.normalization,SpellCheckerPerformanceTests,"[com.google.guava:guava,junit:junit]"
zemberek.core.collections,FloatValueMapTest,[junit:junit]
zemberek.apps.ner,NerAppBase,[com.beust:jcommander]
zemberek.core.collections,HistogramTest,"[com.google.guava:guava,junit:junit]"
zemberek.apps.fasttext,TrainClassifier,[com.beust:jcommander]
zemberek.classification,QuestionClassifier,[com.google.guava:guava]
zemberek.lm,LmVocabularyTest,"[com.google.guava:guava,junit:junit]"
zemberek.lm,LmVocabulary,[com.google.guava:guava]
zemberek.normalization,SingleWordSpellCheckerTest,[junit:junit]
zemberek.morphology.analysis,NumeralTest,[junit:junit]
zemberek.morphology.morphotactics,SuffixTransition,[com.google.guava:guava]
zemberek.scratchpad,ExtractTurkishCityDistrictNames,[com.google.guava:guava]
zemberek.core.math,FloatArrays,[com.google.guava:guava]
zemberek.grpc.server,ZemberekGrpcServer,[io.grpc:grpc-netty-shaded]
zemberek.embedding.fasttext,AutomaticLabelingExperiment,[com.google.guava:guava]
zemberek.apps.grpc,StartGrpcServer,[com.beust:jcommander]
zemberek.core.math,LogMathTest,"[com.google.guava:guava,junit:junit]"
zemberek.keyphrase,TurkishStopWords,[com.google.guava:guava]
zemberek.normalization,HunspellOperations,[com.google.guava:guava]
zemberek.core.embeddings,FastTextTrainer,[com.google.guava:guava]
zemberek.morphology.analysis,NounCompoundsTest,[junit:junit]
zemberek.scratchpad,Syllables,[com.google.guava:guava]
zemberek.morphology.analysis,StemTransitionsBase,[com.google.guava:guava]
zemberek.morphology,TurkishMorphologyFunctionalTests,[junit:junit]
zemberek.tokenization,TrainableTokenizer,[com.google.guava:guava]
zemberek.morphology.analysis,InformalTurkishAnalysisTest,[junit:junit]
zemberek.morphology.analysis,PunctuationTest,[junit:junit]
zemberek.morphology.analysis,SingleAnalysisTest,[junit:junit]
zemberek.core,Range,[com.google.guava:guava]
zemberek.corpus,LuceneLemmaFilter,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
zemberek.ner,NerDataSet,[com.google.guava:guava]
zemberek.normalization,BotExperiment,[com.google.guava:guava]
zemberek.corpus,WebDocumentTest,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis,AnalyzerTestBase,[junit:junit]
zemberek.phrase,MultiWordPhreaseList,[com.google.guava:guava]
zemberek.core.math,DoubleArrays,[com.google.guava:guava]
zemberek.morphology.analysis,PronounsTest,[junit:junit]
zemberek.tokenization,TurkishTokenizer,[org.antlr:antlr4-runtime]
zemberek.core.text,TextUtil,[com.google.guava:guava]
zemberek.core.collections,IntFloatMapTest,"[com.google.guava:guava,junit:junit]"
zemberek.lm,FakeLm,[com.google.guava:guava]
zemberek.core.logging,LoggerTest,[junit:junit]
zemberek.morphology.old_ambiguity,AbstractDisambiguator,[com.google.guava:guava]
zemberek.morphology.analysis,StemTransitionsTrieBased,[com.google.guava:guava]
zemberek.morphology.apps,ZemberekNlpScripts,"[com.google.guava:guava,junit:junit]"
zemberek.core.hash,StringHashKeyProvider,[com.google.guava:guava]
zemberek.tokenization,TurkishTokenizerTest,"[com.google.guava:guava,junit:junit]"
zemberek.core.embeddings,MatrixTest,[junit:junit]
zemberek.morphology.generator,WordGeneratorTest,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis,UnidentifiedTokenAnalyzer,[com.google.guava:guava]
zemberek.morphology.external,DisambiguatorPreprocessor,[com.google.guava:guava]
zemberek.ner,CorpusNerCollector,[com.google.guava:guava]
zemberek.tokenization,TurkishSentenceExtractorTest,"[com.google.guava:guava,junit:junit]"
zemberek.core.io,TestBytes,[junit:junit]
zemberek.morphology.ambiguity,PerceptronAmbiguityResolverEvaluation,[com.google.guava:guava]
zemberek.morphology.lexicon.tr,TurkishDictionaryLoader,[com.google.guava:guava]
zemberek.apps,ConsoleApp,[com.beust:jcommander]
zemberek.core.collections,TrieTest,"[com.google.guava:guava,junit:junit]"
zemberek.tokenization.antlr,CustomLexerATNSimulator,[org.antlr:antlr4-runtime]
zemberek.core.collections,Histogram,[com.google.guava:guava]
zemberek.morphology.analysis,PostpTest,[junit:junit]
zemberek.core.turkish,TurkishAlphabetTest,[junit:junit]
zemberek.normalization,TurkishSpellCheckerTest,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.ambiguity,PerceptronAmbiguityResolver,[com.google.guava:guava]
zemberek.core.quantization,KMeansQuantizer,[com.google.guava:guava]
zemberek.morphology.analysis,StemTransitionsMapBased,[com.google.guava:guava]
zemberek.apps.fasttext,FastTextAppBase,"[com.beust:jcommander,com.google.guava:guava]"
zemberek.morphology.ambiguity,RuleBasedDisambiguator,[com.google.guava:guava]
zemberek.langid,LanguageIndentifierTest,[junit:junit]
zemberek.core.text,BlockTextLoaderTest,[junit:junit]
zemberek.classification,ItemFindExperiment,[com.google.guava:guava]
zemberek.corpus,CorpusSearcher,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
zemberek.morphology.ambiguity,AmbiguityResolutionTests,[junit:junit]
zemberek.core.text,TextSegmenter,[com.google.guava:guava]
zemberek.corpus,WebCorpus,[com.google.guava:guava]
zemberek.morphology.external,OflazerAnalyzerRunner,[com.google.guava:guava]
zemberek.morphology.old_ambiguity,LmGenerator,[com.google.guava:guava]
zemberek.core.collections,UIntMapTest,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis,NounsTest,[junit:junit]
zemberek.core.collections,UIntSetTest,"[com.google.guava:guava,junit:junit]"
zemberek.core.quantization,BinningQuantizer,[com.google.guava:guava]
zemberek.core.enums,StringEnumMap,[com.google.guava:guava]
zemberek.morphology.analysis,QuestionTest,[junit:junit]
zemberek.tokenization,SentenceExtractionComparison,"[com.google.guava:guava,org.apache.opennlp:opennlp-tools]"
zemberek.core.collections,LookupSetTest,[junit:junit]
