packageName,className,apis
com.searchcode.app.service,ICodeSearcher,[org.apache.lucene:lucene-core]
com.searchcode.app.service,CodeRouteServiceTest,"[com.sparkjava:spark-core,junit:junit,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.util,SpellingCorrectorTest,"[junit:junit,org.apache.commons:commons-lang3]"
com.searchcode.app.jobs.repository,IndexGitRepoJob,"[commons-io:commons-io,org.eclipse.jgit:org.eclipse.jgit,org.quartz-scheduler:quartz]"
com.searchcode.app.jobs.repository,IndexSvnRepoJob,[org.quartz-scheduler:quartz]
com.searchcode.app.service,ApiServiceTest,"[junit:junit,org.mockito:mockito-all]"
com.searchcode.app.config,SphinxSearchConfigTest,[junit:junit]
com.searchcode.app.dao,SQLiteRepoTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.dao,MySQLRepoTest,[junit:junit]
com.searchcode.app.service,DataServiceTest,"[junit:junit,org.mockito:mockito-all]"
com.searchcode.app.service,HighlightTest,[junit:junit]
com.searchcode.app.service.route,AdminRouteService,"[com.google.code.gson:gson,com.sparkjava:spark-core,org.apache.commons:commons-lang3]"
com.searchcode.app.service.route,ApiRouteService,[com.sparkjava:spark-core]
com.searchcode.app.service,ApiService,"[commons-codec:commons-codec,org.apache.commons:commons-lang3]"
com.searchcode.app,SearchcodeRoutes,"[com.sparkjava:spark-core,com.sparkjava:spark-template-freemarker]"
com.searchcode.app.dao,SourceCodeTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.util,SearchCodeLib,"[com.google.guava:guava,org.apache.commons:commons-lang3,org.apache.lucene:lucene-queryparser]"
com.searchcode.app.dao,SQLiteDataTest,"[junit:junit,org.apache.commons:commons-lang3,org.assertj:assertj-core]"
com.searchcode.app.service,Singleton,[org.quartz-scheduler:quartz]
com.searchcode.app.service,ValidatorServiceTest,"[junit:junit,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service.index,SphinxIndexServiceTest,"[junit:junit,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app,TestHelpers,"[commons-codec:commons-codec,commons-io:commons-io,org.apache.commons:commons-lang3]"
com.searchcode.app.service,CodeMatcher,[org.apache.commons:commons-lang3]
com.searchcode.app.service,DataService,[com.google.code.gson:gson]
com.searchcode.app.service.index,IIndexService,[org.apache.lucene:lucene-core]
com.searchcode.app.util,OWASPClassifier,[com.google.code.gson:gson]
com.searchcode.app.util,CodeAnalyzer,[org.apache.lucene:lucene-core]
com.searchcode.app.service.route,CodeRouteService,"[com.google.code.gson:gson,com.sparkjava:spark-core,org.apache.commons:commons-lang3]"
com.searchcode.app.util,AESEncryptorTest,"[junit:junit,org.apache.commons:commons-lang3,org.assertj:assertj-core]"
com.searchcode.app.service.route,CommonRouteServiceTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.util,JsonTransformer,"[com.google.code.gson:gson,com.sparkjava:spark-core]"
com.searchcode.app.util,RepositorySource,[com.google.code.gson:gson]
com.searchcode.app.service,AdminRouteServiceTest,"[com.sparkjava:spark-core,junit:junit,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.jobs,IndexSvnRepoJobTest,[junit:junit]
com.searchcode.app.jobs.repository,SearchcodeFileVisitor,"[commons-io:commons-io,org.apache.commons:commons-lang3]"
com.searchcode.app.dao,SourceTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.service,JobServiceTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.util,LoggerWrapperTest,"[junit:junit,org.apache.commons:commons-lang3,org.assertj:assertj-core]"
com.searchcode.app.dto,CodeIndexDocument,[commons-codec:commons-codec]
com.searchcode.app.jobs.enqueue,EnqueueRepositoryJob,[org.quartz-scheduler:quartz]
com.searchcode.app.util,LengthFilter,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.searchcode.app.config,MySQLDatabaseConfig,[com.zaxxer:HikariCP]
com.searchcode.app.util,Cocomo2Test,[junit:junit]
com.searchcode.app,App,[com.sparkjava:spark-core]
com.searchcode.app.jobs,IndexDocumentsJobTest,"[junit:junit,org.mockito:mockito-all,org.quartz-scheduler:quartz]"
com.searchcode.app.util,LoggerWrapper,[com.google.guava:guava]
com.searchcode.app.jobs.searchcode,ReindexerJob,[org.quartz-scheduler:quartz]
com.searchcode.app.jobs.repository,IndexGitHistoryJob,[org.quartz-scheduler:quartz]
com.searchcode.app.dao,LanguageTypeTest,[junit:junit]
com.searchcode.app.jobs,PopulateSpellingCorrectorJob,"[commons-io:commons-io,org.quartz-scheduler:quartz]"
com.searchcode.app.util,Helpers,"[commons-codec:commons-codec,commons-io:commons-io,org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet,org.codehaus.guessencoding:guessencoding,org.eclipse.jgit:org.eclipse.jgit]"
com.searchcode.app.service,GitService,[org.eclipse.jgit:org.eclipse.jgit]
com.searchcode.app.jobs.repository,IndexDocumentsJob,[org.quartz-scheduler:quartz]
com.searchcode.app.config,SphinxSearchConfig,[mysql:mysql-connector-java]
com.searchcode.app.integration,EndToEndITCase,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.service.index,IndexService,"[commons-io:commons-io,org.apache.commons:commons-lang3,org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet,org.apache.lucene:lucene-queryparser]"
com.searchcode.app.util,HelpersTest,"[junit:junit,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service,StatsServiceTest,"[junit:junit,org.mockito:mockito-all]"
com.searchcode.app.util,SearchcodeLibTest,"[junit:junit,org.apache.commons:commons-lang3,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.util,SlocCounterTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.dto,CodeIndexDocumentTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.jobs.enqueue,EnqueueFileRepositoryJob,[org.quartz-scheduler:quartz]
com.searchcode.app.util,FileClassifierTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.jobs,IndexBaseAndGitRepoJobTest,"[commons-io:commons-io,junit:junit,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service.route,SearchRouteService,[com.sparkjava:spark-core]
com.searchcode.app,ServerRoutes,"[com.sparkjava:spark-core,com.sparkjava:spark-template-freemarker]"
com.searchcode.app.util,FileClassifier,"[com.google.code.gson:gson,com.google.guava:guava]"
com.searchcode.app.dao,ApiTest,"[junit:junit,org.apache.commons:commons-lang3,org.assertj:assertj-core]"
com.searchcode.app,AppTest,"[de.svenkubiak:jBCrypt,junit:junit]"
com.searchcode.app.service,ApiRouteServiceTest,"[com.sparkjava:spark-core,junit:junit,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.util,OWASPFileClassifierResultTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.dao,MySQLDataTest,"[junit:junit,org.apache.commons:commons-lang3]"
com.searchcode.app.jobs,IndexFileRepoJobTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.jobs.enqueue,EnqueueSearchcodeRepositoryJob,[org.quartz-scheduler:quartz]
com.searchcode.app.dto,RepoResultTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.jobs.repository,IndexFileRepoJob,[org.quartz-scheduler:quartz]
com.searchcode.app.jobs,IndexBaseRepoJobTest,"[junit:junit,org.assertj:assertj-core,org.mockito:mockito-all,org.quartz-scheduler:quartz]"
com.searchcode.app.service,JobService,"[commons-io:commons-io,org.apache.commons:commons-lang3,org.quartz-scheduler:quartz,org.zeroturnaround:zt-exec]"
com.searchcode.app.jobs.repository,IndexBaseRepoJob,"[commons-codec:commons-codec,commons-io:commons-io,net.sf.opencsv:opencsv,org.quartz-scheduler:quartz]"
com.searchcode.app.service.index,IndexServiceTest,"[junit:junit,org.apache.commons:commons-lang3,org.apache.lucene:lucene-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service,TimeCodeSearcher,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet,org.apache.lucene:lucene-queryparser]"
com.searchcode.app.service.index,IndexSharedTest,[junit:junit]
com.searchcode.app.jobs.searchcode,ReindexerJobTest,[junit:junit]
com.searchcode.app.util,RepositorySourceTest,"[junit:junit,org.assertj:assertj-core]"
com.searchcode.app.service.index,SphinxIndexService,[org.apache.lucene:lucene-core]
com.searchcode.app.jobs,DeleteRepositoryJob,"[commons-io:commons-io,org.quartz-scheduler:quartz]"
com.searchcode.app.util,CodeTokenizer,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.searchcode.app.config,MySQLDatabaseConfigTest,[junit:junit]
