packageName,className,apis
net.semanticmetadata.lire.imageanalysis.bovw,LocalFeatureHistogramBuilderKmeansPlusPlus,"[org.apache.commons:commons-math3,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.builders,TestBuilders,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexers.hashing,MetricSpaces,[commons-io:commons-io]
net.semanticmetadata.lire.searchers,GenericFastImageSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,CreateIndexTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire,DocumentBuilderFactoryTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.sampleapp,Indexer,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.searchers.custom,TopDocsImageSearcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,UCIDBenchmark,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.classifiers,ClassifierTest,"[junit:junit,org.apache.lucene:lucene-core]"
edu.uniklu.itec.mosaix.engine,WeightingDataFactory,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers,TestSearching,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,AttentionModelTest,[junit:junit]
net.semanticmetadata.lire.lucene,TestSearchID,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.benchmarking,TestUniversal,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexing,LocalitySensitiveHashingTest,"[junit:junit,org.apache.lucene:lucene-core]"
edu.uniklu.itec.mosaix,ImageFunctions,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,TestExtraction,[junit:junit]
net.semanticmetadata.lire.searchers,ImageSearcher,[org.apache.lucene:lucene-core]
liredemo.flickr,SinglePhotoThread,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.builders,GlobalDocumentBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,TestZuBuD,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.features,TestGlobalFeature,[junit:junit]
net.semanticmetadata.lire.filters,LsaFilter,"[org.apache.commons:commons-math3,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexing.fastmap,FastMapTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.builders,DocumentBuilder,[org.apache.lucene:lucene-core]
liredemo,SearchResultsTableModel,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,LuminanceLayoutTest,[junit:junit]
liredemo.indexing,MetadataBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexers.tools.binary,HashingIndexor,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,SurfDocumentBuilder,"[com.sangupta:jopensurf,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.searchers,SearchHitsFilter,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.applications,GlobalFeatureIndexSearchTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.bovw,LocalFeatureHistogramBuilderFromCodeBook,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,SerializationTest,[junit:junit]
net.semanticmetadata.lire.sampleapp,Searcher,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,CvSiftDocumentBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,OpponentHistogramTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexing,MetricSpacesTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexers,LireFeatureStoredFieldFormat,[org.apache.lucene:lucene-core]
