packageName,className,apis
uk.co.flax.luwak.termextractor,QueryTerm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.benchmark,ValidatorDocument,[com.github.flaxsearch:luwak]
uk.co.flax.luwak.benchmark,StandardBenchmark,"[com.github.flaxsearch:luwak,com.google.guava:guava,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.benchmark,PresearcherMatch,[com.github.flaxsearch:luwak]
uk.co.flax.luwak,TestMonitorQuerySerialization,"[com.google.guava:guava,junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.benchmark,TestBenchmark,"[com.github.flaxsearch:luwak,com.google.guava:guava,io.dropwizard.metrics:metrics-core,junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.termextractor.treebuilder,TreeBuilders,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queries]"
uk.co.flax.luwak,Indexable,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,TermFilteredPresearcher,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,FieldFilterPresearcherComponent,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak,TestQueryDecomposer,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.presearcher,TestTermPresearcher,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.assertions,MatchesAssert,"[com.google.guava:guava,org.assertj:assertj-core]"
uk.co.flax.luwak.analysis,TermsEnumTokenStream,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.matchers,ScoringMatcher,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.benchmark,BenchmarkResults,"[com.github.flaxsearch:luwak,io.dropwizard.metrics:metrics-core]"
uk.co.flax.luwak.termextractor,QueryAnalyzer,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.weights,TokenLengthNorm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.weights,TermFrequencyWeightNorm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestMonitorFlexibleLuceneQueryParser,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
uk.co.flax.luwak.benchmark,Benchmark,"[com.github.flaxsearch:luwak,com.google.guava:guava]"
uk.co.flax.luwak,DocumentBatch,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-memory]"
uk.co.flax.luwak.benchmark,ValidatorResults,"[com.github.flaxsearch:luwak,com.google.guava:guava]"
uk.co.flax.luwak.termextractor.treebuilder,SpanPayloadCheckQueryTreeBuilder,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queries]"
uk.co.flax.luwak,TestQueryIndex,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.util,ForceNoBulkScoringQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,SpanExtractor,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,QueryTermFilter,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,WildcardNGramPresearcherComponent,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,PresearcherComponent,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.weights,FieldSpecificTermWeightNorm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,SpanRewriter,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.treebuilder,TermInSetQueryTreeBuilder,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.testutils,TestCollectionUtils,"[com.google.guava:guava,junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.assertions,HighlightingMatchHitsAssert,[org.assertj:assertj-core]
uk.co.flax.luwak.assertions,FieldMatchAssert,[org.assertj:assertj-core]
