packageName,className,apis
org.imixs.workflow,TestRuleEngineGraalJSDeprecatedScripts,[junit:junit]
org.imixs.workflow.engine,TestWorkflowServiceGateways,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestApplicationPlugin,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.faces.data,ViewHandler,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.bpmn,TestBPMNModelSimple,[junit:junit]
org.imixs.workflow.engine,TestWorkflowService,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine,org.mockito:mockito-all]"
org.imixs.workflow.plugins,TestApproverPlugin,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine,org.mockito:mockito-all]"
org.imixs.workflow,TestRuleEngineBPMN,[junit:junit]
org.imixs.workflow.plugins,TestRulePluginConditions,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow,RuleEngine,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.xml,TestXMLItem,"[jakarta.platform:jakarta.jakartaee-api,junit:junit]"
org.imixs.workflow.bpmn,TestBPMNParserCollaboration,[junit:junit]
org.imixs.workflow.engine.scheduler,SchedulerController,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.faces.util,VectorConverter,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.engine.lucene,SimpleFacetsExample,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet]"
org.imixs.workflow.bpmn,TestBPMNParserTaskAnnotation,[junit:junit]
org.imixs.workflow.jaxrs,ModelRestService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.util,TestJSONBuilder,[junit:junit]
org.imixs.workflow.engine,TestDocumentService,"[junit:junit,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.jpa,EventLog,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.faces.data,WorkflowController,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine,SimulationService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.faces.util,ValidationException,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.scheduler,SchedulerConfigurationService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.adapters,AccessAdapter,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.bpmn,TestBPMNParserMessageText,[junit:junit]
org.imixs.workflow.engine.plugins,IntervalPlugin,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.plugins,TestMailPlugin,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.bpmn,TestBPMNParserCollaborationMinutes,[junit:junit]
org.imixs.workflow.engine.plugins,OwnerPlugin,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.xml,TestReadWriteXMLData,"[jakarta.platform:jakarta.jakartaee-api,junit:junit]"
org.imixs.workflow.engine.adapters,TestAccessAdapterProcessEntity,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.bpmn,TestBPMNParserRuleEvents,[junit:junit]
org.imixs.workflow.jaxrs,DocumentTableWriter,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.solr,SolrUpdateService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.jee.faces.workitem,DataControllerTest,"[junit:junit,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow,TestWorkflowKernelEval,[junit:junit]
org.imixs.workflow.bpmn,TestBPMNParserCollaborationMessageFlow,[junit:junit]
org.imixs.workflow,TestWorkflowKernelModels,"[jakarta.platform:jakarta.jakartaee-api,junit:junit,org.mockito:mockito-all]"
org.imixs.workflow.engine.solr,SolrAutoFlushScheduler,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow,TestRuleEngine,[junit:junit]
org.imixs.workflow.engine,ReportService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.xml,XSLHandler,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.faces.fileupload,AjaxFileUploadServlet,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.faces.util,ErrorHandler,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.plugins,VersionPlugin,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine,ModelService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.bpmn,TestBPMNParserLinkEvent,[junit:junit]
org.imixs.workflow.engine.index,SearchService,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.plugins,TestOwnerPluginProcessEntity,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.bpmn,TestBPMNParserTicket,[junit:junit]
org.imixs.workflow.engine.scheduler,Scheduler,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.index,UpdateService,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine,DocumentEvent,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine,WorkflowScheduler,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.solr,SolrSearchService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.index,IndexEvent,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.xml,XMLDocumentAdapter,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.engine,TestModelService,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.faces.data,DocumentController,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine,ModelPluginMock,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,AdminPRestService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow,FileData,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.engine.plugins,ApplicationPlugin,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.faces.util,SelectItemComparator,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.xml,TestReadWriteByteArray,"[jakarta.platform:jakarta.jakartaee-api,junit:junit]"
org.imixs.workflow.xml,XMLCount,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.plugins,TestAnalysisPlugin,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestIntervalPlugin,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow,TestRuleEngineGraalJS,[junit:junit]
org.imixs.workflow.engine.adminp,JobHandlerRenameUser,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.plugins,TaxonomyPlugin,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine,EventLogService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine,TextPropertyValueAdapter,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.plugins,SplitAndJoinPlugin,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,BPMNUnmarshaller,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.plugins,AccessPlugin,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,XMLItemCollectionWriter,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine,TestWorkflowScheduler,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.solr,SolrIndexService,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine,TextItemValueAdapter,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.scheduler,SchedulerException,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.faces.data,WorkflowEvent,[org.imixs.workflow:imixs-workflow-core]
