packageName,className,apis
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,"[org.elasticsearch:elasticsearch,org.lionsoul:jcseg-analyzer,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.opensearch.index.analysis,JcsegMostAnalyzerProvider,"[org.lionsoul:jcseg-core,org.opensearch:opensearch]"
org.lionsoul.jcseg.opensearch.index.analysis,JcsegAnalyzerProvider,"[org.lionsoul:jcseg-analyzer,org.lionsoul:jcseg-core,org.opensearch:opensearch]"
org.lionsoul.jcseg.server.core,JSONWriter,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.opensearch.plugin,AnalysisJcsegPlugin,"[org.apache.lucene:lucene-core,org.lionsoul:jcseg-core,org.opensearch:opensearch]"
org.lionsoul.jcseg.server,Bootstrap,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.server.controller,MainController,[org.eclipse.jetty:jetty-server]
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegMostAnalyzerProvider,"[org.elasticsearch:elasticsearch,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.analyzer,JcsegTokenizerFactory,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegNGramAnalyzerProvider,"[org.elasticsearch:elasticsearch,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.server,JcsegGlobalResource,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.server,JcsegServer,"[org.eclipse.jetty:jetty-server,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegComplexAnalyzerProvider,"[org.elasticsearch:elasticsearch,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.server.controller,KeyphraseController,"[org.eclipse.jetty:jetty-server,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.elasticsearch.plugin,AnalysisJcsegPlugin,"[org.apache.lucene:lucene-core,org.elasticsearch:elasticsearch,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.opensearch.index.analysis,JcsegNLPAnalyzerProvider,"[org.lionsoul:jcseg-core,org.opensearch:opensearch]"
org.lionsoul.jcseg.server,JcsegTokenizerEntry,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.analyzer,AppTest,[junit:junit]
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegDelimiterAnalyzerProvider,"[org.elasticsearch:elasticsearch,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.opensearch.index.analysis,JcsegDelimiterAnalyzerProvider,"[org.lionsoul:jcseg-core,org.opensearch:opensearch]"
org.lionsoul.jcseg.server.core,StandardHandler,[org.eclipse.jetty:jetty-server]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegSimpleAnalyzerProvider,"[org.lionsoul:jcseg-core,org.opensearch:opensearch]"
org.lionsoul.jcseg.server,JcsegResourceHandler,[org.eclipse.jetty:jetty-server]
