packageName,className,apis
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrSparseDocEmbedDotProdSimilarity,"[com.googlecode.matrix-toolkits-java:mtj,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.giza,GizaFilterAndRecoderTest,"[junit:junit,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.utils,DataEntryReader,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.giza,GizaVocabularyReader,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.nmslib,QueryService,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.utils,CompressUtils,"[commons-io:commons-io,org.apache.ant:ant]"
edu.cmu.lti.oaqa.flexneuart.apps,GenFeaturesAppImpl,"[com.googlecode.matrix-toolkits-java:mtj,commons-cli:commons-cli]"
edu.cmu.lti.oaqa.flexneuart.apps,CheckDenseSparseExportScores,"[args4j:args4j,com.googlecode.matrix-toolkits-java:mtj,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,QueryAppImpl,"[com.googlecode.matrix-toolkits-java:mtj,commons-cli:commons-cli]"
edu.cmu.lti.oaqa.flexneuart.utils,EvalUtils,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.fwdindx,BackendTest,"[commons-io:commons-io,junit:junit]"
edu.cmu.lti.oaqa.flexneuart.utils,RandomUtilsTest,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.apps,CheckSparseExportScores,"[args4j:args4j,com.googlecode.matrix-toolkits-java:mtj,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainNegSampleBase,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor,SingleFieldFeatExtractor,"[com.googlecode.matrix-toolkits-java:mtj,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.utils,VectorUtils,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainCEDRWithScores,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.resources,RestrictedJsonConfigTest,"[com.google.code.gson:gson,junit:junit]"
edu.cmu.lti.oaqa.flexneuart.utils,HTMLParser,[org.htmlparser:htmlparser]
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainBase,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.apps,LuceneIndexer,"[commons-cli:commons-cli,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.resources,RestrictedJsonConfig,"[com.google.code.gson:gson,commons-io:commons-io]"
edu.cmu.lti.oaqa.flexneuart.utils,ParamHelper,[commons-cli:commons-cli]
