packageName,className,apis
pitt.search.lucene,IndexFlatFilePositions,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors.vectors,Vector,[org.apache.lucene:lucene-core]
pitt.search.lucene,PorterAnalyzer,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors.integrationtests,RegressionTests,[junit:junit]
pitt.search.semanticvectors.vectors,VectorStoreOrthographicalTest,[junit:junit]
pitt.search.semanticvectors,IncrementalTermVectors,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.vectors,VectorUtils,[pitt.search:semanticvectors]
pitt.search.semanticvectors.integrationtests,ESPTest,[junit:junit]
pitt.search.lucene,LuceneSearch,"[org.apache.lucene:lucene-core,pitt.search:semanticvectors]"
pitt.search.semanticvectors,VectorStoreReaderLuceneTest,"[junit:junit,org.apache.lucene:lucene-core]"
pitt.search.lucene,IndexBilingualFiles,[org.apache.lucene:lucene-core]
pitt.search.lucene,LuceneIndexFromSemrepTriplesPL,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.lucene,LuceneIndexFromTriples,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
null,RAMIndexTester,[pitt.search:semanticvectors]
pitt.search.semanticvectors.vectors,PermutationVector,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,ESPperm,"[org.apache.lucene:lucene-core,pitt.search:semanticvectors]"
pitt.search.semanticvectors.vectors,BinaryVector,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,VectorStoreDeterministicTest,[junit:junit]
pitt.search.semanticvectors,PSI,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.vectors,VectorUtilsTest,[junit:junit]
pitt.search.semanticvectors.utils,StatUtilsTest,[junit:junit]
pitt.search.semanticvectors.vectors,ComplexVector,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.experiments,InNoutSubwordEmbeddings,"[org.apache.lucene:lucene-core,pitt.search:semanticvectors]"
pitt.search.semanticvectors.integrationtests,ThreadSafetyTest,[junit:junit]
pitt.search.semanticvectors.utils,DistributionTest,[junit:junit]
pitt.search.semanticvectors.vectors,RealVectorUtils,[net.sourceforge.parallelcolt:parallelcolt]
pitt.search.semanticvectors.vectors,RealVector,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,TermTermVectorsFromLucene,"[org.apache.lucene:lucene-core,pitt.search:semanticvectors]"
pitt.search.semanticvectors.experiments,VectorStoreTruncater,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.vectors,PermutationUtilsTest,[junit:junit]
pitt.search.semanticvectors,CompoundVectorBuilderTest,[junit:junit]
pitt.search.semanticvectors.experiments,InNoutEmbeddings,"[org.apache.lucene:lucene-core,pitt.search:semanticvectors]"
pitt.search.examples,MarkedUpDocumentAnalyzer,[pitt.search:semanticvectors]
pitt.search.lucene,FilePositionDoc,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,LSA,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.experiments,GetContingencyTables,"[org.apache.lucene:lucene-core,pitt.search:semanticvectors]"
pitt.search.semanticvectors,LuceneUtils,"[org.apache.lucene:lucene-core,pitt.search:semanticvectors]"
pitt.search.semanticvectors,DocVectors,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.orthography,SentenceVectors,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,SRI,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,VectorSearcher,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.orthography,CharRepresentation,[pitt.search:semanticvectors]
pitt.search.semanticvectors,VectorStoreRAMTest,[junit:junit]
pitt.search.examples,NarrativeRelationsIndexer,[pitt.search:semanticvectors]
pitt.search.semanticvectors.vectors,BinaryVectorUtils,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.integrationtests,RunTests,[junit:junit]
pitt.search.semanticvectors.vectors,RealVectorTest,[junit:junit]
pitt.search.semanticvectors,IncrementalDocVectors,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.tables,TableTest,[junit:junit]
pitt.search.semanticvectors.vectors,RealVectorUtilsTest,[junit:junit]
pitt.search.semanticvectors,VectorStoreReaderLucene,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.viz,PathFinder,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,VectorStoreWriter,[org.apache.lucene:lucene-core]
pitt.search.lucene,LuceneIndexFromSemrepTriples,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors.integrationtests,LSATest,[junit:junit]
pitt.search.semanticvectors,SearchBatch,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors.integrationtests,PSITest,[junit:junit]
pitt.search.examples,ExampleVectorSearcherClient,[pitt.search:semanticvectors]
pitt.search.semanticvectors.vectors,ComplexVectorTest,"[junit:junit,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors,CompareTermsTest,[junit:junit]
pitt.search.semanticvectors,ESP,"[org.apache.lucene:lucene-core,pitt.search:semanticvectors]"
pitt.search.semanticvectors,ElementalVectorStoreTest,[junit:junit]
pitt.search.semanticvectors.orthography,NumberRepresentationTest,[junit:junit]
pitt.search.semanticvectors,MyTestUtils,[junit:junit]
pitt.search.lucene,LuceneTokenizer,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.lucene,IndexFilePositions,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors,FlagConfigTest,[junit:junit]
pitt.search.semanticvectors,AllTests,[junit:junit]
pitt.search.semanticvectors.tables,TypeSpecTest,[junit:junit]
pitt.search.semanticvectors.utils,MatrixUtilsTest,[junit:junit]
pitt.search.semanticvectors,TermVectorsFromLucene,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,VectorStoreWriterTest,"[junit:junit,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors.vectors,BinaryVectorTest,"[junit:junit,org.apache.lucene:lucene-core]"
