packageName,className,apis
com.browseengine.bobo.api,BoboMultiReader,[org.apache.lucene:lucene-core]
com.browseengine.bobo.sort,SortCollector,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.search.section,MetaDataCacheProvider,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,UnitTestSuite,[junit:junit]
com.browseengine.bobo.query,ScorerBuilder,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,SectionSearchQuery,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,FacetHandlerTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.browseengine.bobo.sort,LuceneCustomDocComparatorSource,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,FacetNotValuesTest,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.data,TermShortList,[it.unimi.dsi:fastutil]
com.browseengine.bobo.query,MatchAllDocIdSetIterator,[org.apache.lucene:lucene-core]
com.browseengine.bobo.util.test,BigSegmentedArrayTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.browseengine.bobo.search,BoboSearcher,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.impl,GeoSimpleFacetHandler,[org.apache.lucene:lucene-core]
com.browseengine.bobo.util,MemoryManager,[log4j:log4j]
com.browseengine.bobo.facets.filter,GeoSimpleFacetFilter,[org.apache.lucene:lucene-core]
com.browseengine.bobo.query.scoring,FacetTermScoringFunction,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,TermLongList,[it.unimi.dsi:fastutil]
com.browseengine.bobo.util,BigShortArray,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.impl,MultiValueWithWeightFacetHandler,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.impl,PathFacetHandler,[it.unimi.dsi:fastutil]
com.browseengine.bobo.index,BoboIndexer,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.browseengine.bobo.service,BrowseServiceFactory,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.api,BoboSegmentReader,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.filter,AdaptiveFacetFilter,[org.apache.lucene:lucene-core]
com.browseengine.bobo.docidset,OrDocIdSetIterator,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.impl,SpatialFacetHandler,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.browseengine.bobo.util,LazyBigIntArray,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,FacetNameTest,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.sort,DocIDPriorityQueue,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,TermLongListTest,[junit:junit]
com.browseengine.bobo.facets.impl,SimpleGroupbyFacetHandler,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,TermCharList,[it.unimi.dsi:fastutil]
com.browseengine.bobo.api,BoboSubBrowser,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.filter,FacetRangeFilter,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.impl,BucketFacetHandler,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,OrNode,[org.apache.lucene:lucene-core]
com.browseengine.bobo.api,BoboCustomSortField,[org.apache.lucene:lucene-core]
com.browseengine.bobo.query,FacetBasedBoostScorerBuilder,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,TestPathMultiVal,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.browseengine.bobo.docidset,OrDocIdSet,[org.apache.lucene:lucene-core]
com.browseengine.bobo.sort,DocComparatorSource,[org.apache.lucene:lucene-core]
com.browseengine.bobo.api,BrowseHit,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,AndNotNode,[org.apache.lucene:lucene-core]
com.browseengine.bobo.service,BoboService,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.filter,CompactMultiValueFacetFilter,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,IntMetaDataQuery,[org.apache.lucene:lucene-core]
com.browseengine.bobo.impl,QueryProducer,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.browseengine.bobo.facets.filter,RandomAccessOrFilter,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.filter,AndFilter,[org.apache.lucene:lucene-core]
com.browseengine.bobo.docidset,DocSet,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.filter,MultiValueORFacetFilter,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,MetaDataQuery,[org.apache.lucene:lucene-core]
