packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
com.stratio.cassandra.lucene.builder,BuilderTest,testPhraseConditionDefaults,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.stratio.cassandra.lucene.common,GeoTransformationBBoxTest,testBoundingBoxTransformationPoint,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.stratio.cassandra.lucene.schema.analysis,SnowballAnalyzerBuilderTest,testBuildFrench,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.stratio.cassandra.lucene.schema.mapping,BigIntegerMapperTest,testJsonSerializationDefaults,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.stratio.cassandra.lucene.schema.mapping,FloatMapperTest,testValueString,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.stratio.cassandra.lucene.schema.mapping,UUIDMapperTest,testSort,org.apache.cassandra:cassandra-all,Hadoop Databases,"database,nosql,cassandra,hadoop,apache",7,9,0.78
com.stratio.cassandra.lucene.schema.mapping,UUIDMapperTest,testSort,junit:junit,Testing Frameworks,"testing,junit",2,9,0.22
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,testQueryContains,junit:junit,Testing Frameworks,"testing,junit",4,10,0.4
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,testQueryContains,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,10,0.5
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,testQueryContains,org.apache.lucene:lucene-spatial,"","lucene,spatial,apache,index",1,10,0.1
com.stratio.cassandra.lucene.testsAT.issues,Issue132IT,testUpdateMapRemovingUniqueComponentWide,junit:junit,Testing Frameworks,"testing,junit",1,6,0.17
com.stratio.cassandra.lucene.testsAT.issues,Issue132IT,testUpdateMapRemovingUniqueComponentWide,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",5,6,0.83
com.stratio.cassandra.lucene.testsAT.issues,Issue69IT,testUDF,com.datastax.cassandra:cassandra-driver-core,Cassandra Clients,"database,cassandra,driver,client",2,5,0.4
com.stratio.cassandra.lucene.testsAT.issues,Issue69IT,testUDF,junit:junit,Testing Frameworks,"testing,junit",3,5,0.6
com.stratio.cassandra.lucene.testsAT.search,RangeSearchIT,testRangeTimeUUIDField4,junit:junit,Testing Frameworks,"testing,junit",1,6,0.17
