packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
zemberek.core.collections,Trie,getAll,com.google.guava:guava,Core Utilities,google,2,2,1.0
zemberek.core.io,StringsTest,testIfAllHasTextExceptionIAE,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
zemberek.core.turkish,TurkishAlphabetTest,circumflexTest,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
zemberek.langid.train,Trainer,trainParallel,com.google.guava:guava,Core Utilities,google,2,2,1.0
zemberek.lm,LmVocabularyTest,contains,junit:junit,Testing Frameworks,"testing,junit",21,21,1.0
zemberek.morphology.analysis,NounsTest,P2pl,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
zemberek.core.enums,StringEnumMap,getEnums,com.google.guava:guava,Core Utilities,google,2,2,1.0
zemberek.core.math,FloatArraysTest,testSquare,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
zemberek.corpus,LuceneLemmaFilterTest,testMultiWordSearch,junit:junit,Testing Frameworks,"testing,junit",3,12,0.25
zemberek.corpus,LuceneLemmaFilterTest,testMultiWordSearch,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",3,12,0.25
zemberek.corpus,LuceneLemmaFilterTest,testMultiWordSearch,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,12,0.5
zemberek.normalization,CharacterGraphDecoderTest,nearKeyCheck,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
zemberek.phrase,MultiWordPhreaseList,processRaw,com.google.guava:guava,Core Utilities,google,5,5,1.0
zemberek.core.collections,IntMapTest,expandsCorrectly,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
zemberek.core.enums,StringEnumMap,enumExists,com.google.guava:guava,Core Utilities,google,6,6,1.0
zemberek.core.math,DoubleArraysTest,testFloorInPlace,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
zemberek.core.math,FloatArraysTest,testMultiply,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
zemberek.core.collections,IntMapTest,addingElementsFromAnotherIntMapMustBeFast,com.google.guava:guava,Core Utilities,google,22,24,0.92
