packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
com.searchcode.app.dto,CodeIndexDocumentTest,testMd5CalcA,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",2,2,1.0
com.searchcode.app.service,DataServiceTest,testTestAddToPersistent,org.mockito:mockito-all,Mocking,"mock,mocking,testing",8,8,1.0
com.searchcode.app.service.index,IndexService,buildFacets,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",4,12,0.33
com.searchcode.app.service.index,IndexService,buildFacets,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",8,12,0.67
com.searchcode.app.util,UniqueRepoQueueTest,testQueueClear,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",4,4,1.0
com.searchcode.app.dao,SourceTest,testGetSourceByIdFirst100,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",1,1,1.0
com.searchcode.app.service,TimeCodeSearcher,search,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",18,22,0.82
com.searchcode.app.service,TimeCodeSearcher,search,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",4,22,0.18
com.searchcode.app.dao,SQLiteDataTest,testSaveWithRandomValuesAndGet,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",2,4,0.5
com.searchcode.app.dao,SQLiteDataTest,testSaveWithRandomValuesAndGet,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",2,4,0.5
com.searchcode.app.jobs.repository,IndexDocumentsJob,execute,org.quartz-scheduler:quartz,Job Scheduling,scheduling,1,1,1.0
com.searchcode.app.service,StatsServiceTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.searchcode.app.service,TimeCodeSearcher,doPagingSearch,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",68,68,1.0
com.searchcode.app.util,FileClassifier,loadDatabase,com.google.code.gson:gson,JSON Libraries,"google,json",8,10,0.8
com.searchcode.app.util,FileClassifier,loadDatabase,com.google.guava:guava,Core Utilities,google,2,10,0.2
com.searchcode.app.service,Highlight,highlightInternal,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",1,1,1.0
com.searchcode.app.service.route,TimeSearchRouteService,getLanguages,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",2,4,0.5
com.searchcode.app.service.route,TimeSearchRouteService,getLanguages,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",2,4,0.5
com.searchcode.app.service,ApiRouteServiceTest,testGetIndexTime,org.mockito:mockito-all,Mocking,"mock,mocking,testing",8,17,0.47
com.searchcode.app.service,ApiRouteServiceTest,testGetIndexTime,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",2,17,0.12
com.searchcode.app.service,ApiRouteServiceTest,testGetIndexTime,com.sparkjava:spark-core,Web Frameworks,"spark,web,framework",7,17,0.41
com.searchcode.app.service,ApiRouteServiceTest,testRepoListApiEnabledAuthMissingPub,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",6,10,0.6
com.searchcode.app.service,ApiRouteServiceTest,testRepoListApiEnabledAuthMissingPub,org.mockito:mockito-all,Mocking,"mock,mocking,testing",1,10,0.1
com.searchcode.app.service,ApiRouteServiceTest,testRepoListApiEnabledAuthMissingPub,com.sparkjava:spark-core,Web Frameworks,"spark,web,framework",3,10,0.3
com.searchcode.app,App,main,com.sparkjava:spark-core,Web Frameworks,"spark,web,framework",6,6,1.0
