packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,getDocumentsWithWord,com.carrotsearch:hppc,Collections,"collections,structures",3,3,1.0
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,requestWordPositionsInDocuments,com.carrotsearch:hppc,Collections,"collections,structures",21,21,1.0
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,data,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.aksw.palmetto.calculations.indirect,VectorCreationTest,test,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,create,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",21,23,0.91
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,create,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",2,23,0.09
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,requestWordPositionsInDocuments,com.carrotsearch:hppc,Collections,"collections,structures",21,21,1.0
org.aksw.palmetto.subsets,AnyAnyTest,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,data,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.aksw.palmetto.webapp,PalmettoApplication,cvService,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",2,2,1.0
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,17,0.35
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,"",org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",11,17,0.65
org.aksw.palmetto.subsets,AllAll,getSubsetDefinition,com.carrotsearch:hppc,Collections,"collections,structures",5,5,1.0
org.aksw.palmetto.vector,FitelsonCalculationBasedCreatorTest,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.aksw.palmetto.subsets,AllOne,getSubsetDefinition,com.carrotsearch:hppc,Collections,"collections,structures",7,7,1.0
org.aksw.palmetto.calculations.direct,LogCondProbCoherenceCalculationTest,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,com.carrotsearch:hppc,Collections,"collections,structures",1,8,0.13
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,junit:junit,Testing Frameworks,"testing,junit",5,8,0.63
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",2,8,0.25
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.aksw.palmetto.evaluate.correlation,SpearmanTest,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.aksw.palmetto.weight,ConditionalProbabilityBasedWeighterTest,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,data,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecorator,determineCounts,com.google.guava:guava,Core Utilities,google,4,4,1.0
org.aksw.palmetto.subsets,OneAll,getSubsetDefinition,com.carrotsearch:hppc,Collections,"collections,structures",7,7,1.0
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,test,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.aksw.palmetto.vector,DifferenceCalculationBasedCreatorTest,data,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.aksw.palmetto.calculations.indirect,VectorCreationTest,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.aksw.palmetto.calculations.indirect,DiceBasedCoherenceTest,data,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestDocumentsWithWord,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",2,50,0.04
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestDocumentsWithWord,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",23,50,0.46
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestDocumentsWithWord,com.carrotsearch:hppc,Collections,"collections,structures",25,50,0.5
org.aksw.palmetto.data,SegmentationDefinition,hashCode,com.carrotsearch:hppc,Collections,"collections,structures",3,3,1.0
org.aksw.palmetto.calculations.indirect,CentroidBasedCoherenceTest,data,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.aksw.palmetto.data,SegmentationDefinition,getNeededCounts,com.carrotsearch:hppc,Collections,"collections,structures",2,2,1.0
