packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
uk.co.flax.luwak.termextractor.treebuilder,TreeBuilders,newFilteringQueryBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testDown,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
uk.co.flax.luwak,Monitor,decomposeQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",15,15,1.0
uk.co.flax.luwak,TestMonitorFlexibleLuceneQueryParser,"",org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,2,0.5
uk.co.flax.luwak,TestMonitorFlexibleLuceneQueryParser,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,2,0.5
uk.co.flax.luwak,TestQueryDecomposer,testNestedDisjunctions,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,5,0.4
uk.co.flax.luwak,TestQueryDecomposer,testNestedDisjunctions,junit:junit,Testing Frameworks,"testing,junit",1,5,0.2
uk.co.flax.luwak,TestQueryDecomposer,testNestedDisjunctions,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",2,5,0.4
uk.co.flax.luwak.matchers,ConcurrentMatcherTestBase,testParallelSlowLog,junit:junit,Testing Frameworks,"testing,junit",1,9,0.11
uk.co.flax.luwak.matchers,ConcurrentMatcherTestBase,testParallelSlowLog,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",8,9,0.89
uk.co.flax.luwak.matchers,HighlightingMatcher,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
uk.co.flax.luwak.presearcher,TermFilteredPresearcher,showQueryTree,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
uk.co.flax.luwak.termextractor,TestQueryAnalyzer,testDisjunctionsWithAnyClausesOnlyReturnANYTOKEN,junit:junit,Testing Frameworks,"testing,junit",1,3,0.33
uk.co.flax.luwak.termextractor,TestQueryAnalyzer,testDisjunctionsWithAnyClausesOnlyReturnANYTOKEN,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,3,0.67
uk.co.flax.luwak.demo,LuwakDemo,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
uk.co.flax.luwak,TestMonitorErrorHandling,testPresearcherErrors,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",7,17,0.41
uk.co.flax.luwak,TestMonitorErrorHandling,testPresearcherErrors,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,17,0.18
uk.co.flax.luwak,TestMonitorErrorHandling,testPresearcherErrors,org.mockito:mockito-core,Mocking,"mock,mocking,testing",6,17,0.35
uk.co.flax.luwak,TestMonitorErrorHandling,testPresearcherErrors,junit:junit,Testing Frameworks,"testing,junit",1,17,0.06
uk.co.flax.luwak.termextractor,TestBooleanClauseWeightings,longerTermsPreferred,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,3,0.67
uk.co.flax.luwak.termextractor,TestBooleanClauseWeightings,longerTermsPreferred,junit:junit,Testing Frameworks,"testing,junit",1,3,0.33
uk.co.flax.luwak.termextractor,TestSpanExtractors,testSpanBoost,junit:junit,Testing Frameworks,"testing,junit",1,9,0.11
uk.co.flax.luwak.termextractor,TestSpanExtractors,testSpanBoost,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,9,0.89
uk.co.flax.luwak,Monitor,prepareQueryCache,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
uk.co.flax.luwak.matchers,PartitionMatcher,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
uk.co.flax.luwak,TestQueryDecomposer,q,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
uk.co.flax.luwak.presearcher,MultipassTermFilteredPresearcher,buildQueryDocument,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",20,20,1.0
uk.co.flax.luwak.termextractor,TestSpanExtractors,testOrderedNearWithWildcardExtractor,junit:junit,Testing Frameworks,"testing,junit",1,9,0.11
uk.co.flax.luwak.termextractor,TestSpanExtractors,testOrderedNearWithWildcardExtractor,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,9,0.89
uk.co.flax.luwak.termextractor.treebuilder,TreeBuilders,newDisjunctionBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
uk.co.flax.luwak,TestInputDocument,"",junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
uk.co.flax.luwak.benchmark,ValidatorDocument,getDocument,com.github.flaxsearch:luwak,"",github,2,2,1.0
uk.co.flax.luwak.benchmark,PresearcherMatch,"",com.github.flaxsearch:luwak,"",github,1,1,1.0
uk.co.flax.luwak.testutils,TestCollectionUtils,list,com.google.guava:guava,Core Utilities,google,2,2,1.0
