packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
org.imixs.workflow,TestRuleEngineGraalJS,testBooleanExpression,junit:junit,Testing Frameworks,"testing,junit",7,7,1.0
org.imixs.workflow.engine,ProcessingEvent,"",org.imixs.workflow:imixs-workflow-core,"",workflow,4,4,1.0
org.imixs.workflow.engine,WorkflowService,updateMetadata,org.imixs.workflow:imixs-workflow-core,"",workflow,31,33,0.94
org.imixs.workflow.engine,WorkflowService,updateMetadata,jakarta.platform:jakarta.jakartaee-api,"","api,platform",2,33,0.06
org.imixs.workflow.engine.plugins,RulePlugin,run,org.imixs.workflow:imixs-workflow-core,"",workflow,52,52,1.0
org.imixs.workflow.faces.util,ViewExpiredExceptionHandler,getWrapped,jakarta.platform:jakarta.jakartaee-api,"","api,platform",2,2,1.0
org.imixs.workflow.jaxrs,TestReportService,testcomputeDynamicDateAbsolutDate,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",2,11,0.18
org.imixs.workflow.jaxrs,TestReportService,testcomputeDynamicDateAbsolutDate,junit:junit,Testing Frameworks,"testing,junit",9,11,0.82
org.imixs.workflow.engine,DocumentService,findDocumentsByRef,org.imixs.workflow:imixs-workflow-core,"",workflow,3,6,0.5
org.imixs.workflow.engine,DocumentService,findDocumentsByRef,jakarta.platform:jakarta.jakartaee-api,"","api,platform",3,6,0.5
org.imixs.workflow.jaxrs,DocumentTableWriter,isWriteable,org.imixs.workflow:imixs-workflow-core,"",workflow,1,2,0.5
org.imixs.workflow.jaxrs,DocumentTableWriter,isWriteable,jakarta.platform:jakarta.jakartaee-api,"","api,platform",1,2,0.5
org.imixs.workflow.jaxrs,WorkflowRestService,postWorkitemByUniqueID,jakarta.platform:jakarta.jakartaee-api,"","api,platform",9,16,0.56
org.imixs.workflow.jaxrs,WorkflowRestService,postWorkitemByUniqueID,org.imixs.workflow:imixs-workflow-core,"",workflow,7,16,0.44
org.imixs.workflow.plugins,TestResultPlugin,testImediateTag,org.imixs.workflow:imixs-workflow-core,"",workflow,30,42,0.71
org.imixs.workflow.plugins,TestResultPlugin,testImediateTag,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",2,42,0.05
org.imixs.workflow.plugins,TestResultPlugin,testImediateTag,junit:junit,Testing Frameworks,"testing,junit",10,42,0.24
org.imixs.workflow.engine.adapters,TestAccessAdapterProcessEntity,testACLfromActivityEntity,junit:junit,Testing Frameworks,"testing,junit",22,47,0.47
org.imixs.workflow.engine.adapters,TestAccessAdapterProcessEntity,testACLfromActivityEntity,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",3,47,0.06
org.imixs.workflow.engine.adapters,TestAccessAdapterProcessEntity,testACLfromActivityEntity,org.imixs.workflow:imixs-workflow-core,"",workflow,22,47,0.47
org.imixs.workflow.faces.data,DocumentController,delete,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",4,14,0.29
org.imixs.workflow.faces.data,DocumentController,delete,jakarta.platform:jakarta.jakartaee-api,"","api,platform",6,14,0.43
org.imixs.workflow.faces.data,DocumentController,delete,org.imixs.workflow:imixs-workflow-core,"",workflow,4,14,0.29
org.imixs.workflow.jaxrs,EventLogRestService,getEventLogEntriesByTopic,org.imixs.workflow:imixs-workflow-core,"",workflow,7,18,0.39
org.imixs.workflow.jaxrs,EventLogRestService,getEventLogEntriesByTopic,org.imixs.workflow:imixs-workflow-engine,"","workflow,engine",6,18,0.33
org.imixs.workflow.jaxrs,EventLogRestService,getEventLogEntriesByTopic,jakarta.platform:jakarta.jakartaee-api,"","api,platform",5,18,0.28
