packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByGroups,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDateForHighNeighborhoodRange,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForAList,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDifferentVariance,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithScoreNotMoreThanOne,junit:junit,Testing Frameworks,"testing,junit",6,7,0.86
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithScoreNotMoreThanOne,org.mockito:mockito-all,Mocking,"mock,mocking,testing",1,7,0.14
com.intuit.fuzzymatcher.domain,Document,getUnmatchedChildCount,org.apache.commons:commons-collections4,Collections,"structures,collections,apache,commons",2,2,1.0
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialWeightedScoring_Success,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForMultiElementTypesWithNonMatch,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldPreprocessAddress,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordTokenizerForName_Success,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDate,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordSoundexEncodeTokenizerForAddress,junit:junit,Testing Frameworks,"testing,junit",11,11,1.0
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldNotMatch,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForSingleDoc,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultipleEmptyPhoneNumber,junit:junit,Testing Frameworks,"testing,junit",4,5,0.8
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultipleEmptyPhoneNumber,org.mockito:mockito-all,Mocking,"mock,mocking,testing",1,5,0.2
com.intuit.fuzzymatcher.function,TokenizerFunction,wordSoundexEncodeTokenizer,commons-codec:commons-codec,Base64 Libraries,"codec,base64,encoding",2,2,1.0
com.intuit.fuzzymatcher.component,MatchServicePerfTest,itShouldApplyMatchForBigDataForMemoryPerf,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithAge,junit:junit,Testing Frameworks,"testing,junit",9,9,1.0
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialScoring_Success,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.domain,ElementTest,itShouldSetTokenizerFunction,junit:junit,Testing Frameworks,"testing,junit",7,7,1.0
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldApplyNumberPreprocessing_Success,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldReturnNGramTokenForSmallStrings_Success,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDoubleType,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldMatchElementsWithRepeatingTokens,junit:junit,Testing Frameworks,"testing,junit",11,11,1.0
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGiveWeightedAverageScore_Success,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.intuit.fuzzymatcher.domain,ElementTest,itShouldMatchUnequalWordsWithChainTokenizerFunction2,junit:junit,Testing Frameworks,"testing,junit",7,7,1.0
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForDuplicateTokensWithNoMatch,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
