packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
io.dashbase.clue.commands,MergeCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
io.dashbase.clue,LuceneContext,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
io.dashbase.clue,LuceneContext,shutdown,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
io.dashbase.clue.commands,DeleteCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
io.dashbase.clue.client,ClueCommandClient,getCommands,com.squareup.retrofit2:retrofit,HTTP Clients,"http,client",4,4,1.0
io.dashbase.clue.util,CustomBufferedIndexInput,slice,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
io.dashbase.clue.client,CmdlineHelper,"",jline:jline,Console Utilities,"command-line,console,terminal,cli",17,17,1.0
io.dashbase.clue.test,PayloadTokenizer,incrementToken,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,12,1.0
io.dashbase.clue.test,BuildSampleIndex,buildDoc,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",62,62,1.0
io.dashbase.clue.util,CustomBufferedIndexInput,readVInt,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.commands,InfoCommand,toString,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",33,33,1.0
io.dashbase.clue.client,CmdlineHelper,readCommand,jline:jline,Console Utilities,"command-line,console,terminal,cli",2,2,1.0
io.dashbase.clue.commands,TermsCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",95,95,1.0
io.dashbase.clue.commands,DumpDocCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",30,30,1.0
io.dashbase.clue.api,AnalyzerFactory,forQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.commands,CountCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
io.dashbase.clue.api,DirectoryBuilder,build,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.test,PayloadTokenizer,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",23,23,1.0
io.dashbase.clue.util,CustomBufferedIndexInput,refill,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
io.dashbase.clue.commands,GetUserCommitDataCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,10,1.0
io.dashbase.clue.commands,NormsCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",40,40,1.0
io.dashbase.clue.api,IndexReaderFactory,initialize,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.util,MatchSomeDocsQuery,hashCode,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.client,ClueCommandClient,run,jline:jline,Console Utilities,"command-line,console,terminal,cli",14,14,1.0
io.dashbase.clue,LuceneContext,getDirectory,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
io.dashbase.clue.commands,DocValCommand,showDocId,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",77,77,1.0
io.dashbase.clue.commands,StoredFieldCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",36,36,1.0
io.dashbase.clue.util,IntArrayDocIdSetIterator,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue,LuceneContext,getIndexReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.api,BytesRefPrinter,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
io.dashbase.clue.api,DefaultDirectoryBuilder,build,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
io.dashbase.clue.commands,InfoCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",90,90,1.0
io.dashbase.clue.api,IndexReaderFactory,getIndexReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.api,DefaultQueryBuilder,initialize,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,4,0.5
io.dashbase.clue.api,DefaultQueryBuilder,initialize,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",2,4,0.5
io.dashbase.clue.commands,ExportCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",20,21,0.95
io.dashbase.clue.commands,ExportCommand,execute,org.apache.lucene:lucene-codecs,"","lucene,apache,codec,index",1,21,0.05
io.dashbase.clue.api,DefaultQueryBuilder,build,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",2,3,0.67
io.dashbase.clue.api,DefaultQueryBuilder,build,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,3,0.33
io.dashbase.clue.client,ClueCommandService,command,com.squareup.retrofit2:retrofit,HTTP Clients,"http,client",3,3,1.0
io.dashbase.clue.commands,DocValCommand,readDocValues,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",27,27,1.0
io.dashbase.clue.util,MatchSomeDocsQuery,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
io.dashbase.clue.util,CustomBufferedIndexInput,readBytes,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.commands,SearchCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",17,17,1.0
io.dashbase.clue.commands,IndexTrimCommand,buildDeleteQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.util,MatchSomeDocsQuery,createWeight,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
io.dashbase.clue.api,DefaultIndexReaderFactory,refreshReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
io.dashbase.clue.commands,ReconstructCommand,reconstructNoPositions,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",16,16,1.0
io.dashbase.clue.commands,ReconstructCommand,reconstructWithPositions,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",21,21,1.0
io.dashbase.clue.commands,SaveUserCommitData,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
io.dashbase.clue,LuceneContext,setReadOnlyMode,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
io.dashbase.clue.client,ClueCommandClient,"",com.squareup.retrofit2:retrofit,HTTP Clients,"http,client",4,7,0.57
io.dashbase.clue.client,ClueCommandClient,"",com.squareup.retrofit2:converter-scalars,"","",2,7,0.29
io.dashbase.clue.client,ClueCommandClient,"",com.squareup.retrofit2:converter-jackson,"","",1,7,0.14
io.dashbase.clue.commands,ExplainCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
io.dashbase.clue.util,MatcherDocIdSetIterator,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.commands,DocSetInfoCommand,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",39,39,1.0
io.dashbase.clue,LuceneContext,getIndexWriter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
io.dashbase.clue,ClueApplication,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
io.dashbase.clue.api,QueryBuilder,initialize,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.api,DefaultIndexReaderFactory,getIndexReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
io.dashbase.clue.util,CustomBufferedIndexInput,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.util,MatchSomeDocsQuery,toString,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
io.dashbase.clue.commands,DeleteUserCommitData,execute,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
io.dashbase.clue.client,ClueCommandService,commands,com.squareup.retrofit2:retrofit,HTTP Clients,"http,client",2,2,1.0
