packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
no.priv.garshol.duke.databases,MapDBBlockingDatabase,"",org.mapdb:mapdb,Collections,"collections,structures",1,1,1.0
no.priv.garshol.duke.datasources,NTriplesDataSourceTest,testSingleRecord,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
no.priv.garshol.duke.utils,NTriplesParserTest,testLanguageTagBad2,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
no.priv.garshol.duke.cleaners,HTMLCleanerTest,setUp,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
no.priv.garshol.duke.cleaners,NorwegianAddressCleanerTest,testVnVnDot,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
no.priv.garshol.duke.cleaners,TrimCleanerTest,testOnlyDigits,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
no.priv.garshol.duke.comparators,JaroWinklerTest,testTotallyDifferent,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
no.priv.garshol.duke.comparators,NorphoneComparatorTest,testThomas,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
no.priv.garshol.duke.datasources,InMemoryDataSourceTest,testSimple,junit:junit,Testing Frameworks,"testing,junit",8,8,1.0
no.priv.garshol.duke.cleaners,HTMLCleanerTest,testLast,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
no.priv.garshol.duke.databases,GeoProperty,createIndexableFields,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,2,0.5
no.priv.garshol.duke.databases,GeoProperty,createIndexableFields,org.apache.lucene:lucene-spatial,"","lucene,spatial,apache,index",1,2,0.5
no.priv.garshol.duke.datasources,CSVDataSourceTest,testHeaderNotInConfig,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
no.priv.garshol.duke.test,ConfigurationTest,testLookupPropertiesRequired,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
no.priv.garshol.duke.cleaners,LowerCaseNormalizeCleanerTest,testSingleSpace,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
no.priv.garshol.duke.integration,IT,testShowData,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
no.priv.garshol.duke.server,CommonJTimer,isRunning,org.codehaus.fabric3.api:commonj,"","codehaus,api",1,1,1.0
no.priv.garshol.duke.comparators,JaroWinklerTest,testWikipedia4,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
no.priv.garshol.duke.comparators,NumericComparatorTest,testZero,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
no.priv.garshol.duke.datasources,JsonDataSourceTest,multipleRecords,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
no.priv.garshol.duke.datasources,SparqlDataSourceTest,testTripleModeFourColumns,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
no.priv.garshol.duke.comparators,JaroWinklerTest,testWinkler3,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
