packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
edu.gslis.ttg.main,RunTTGBaseline,main,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",1,42,0.02
edu.gslis.ttg.main,RunTTGBaseline,main,cc.twittertools:twitter-tools-core,"","tools,twitter",20,42,0.48
edu.gslis.ttg.main,RunTTGBaseline,main,com.googlecode.json-simple:json-simple,JSON Libraries,json,21,42,0.5
cc.twittertools.corpus.demo,ReadStatuses,main,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",4,39,0.1
cc.twittertools.corpus.demo,ReadStatuses,main,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",35,39,0.9
edu.illinois.lis.feedback,FeedbackModel,setRes,cc.twittertools:twitter-tools-core,"","tools,twitter",3,3,1.0
edu.illinois.lis.query,GQueriesJsonImpl,"",com.google.code.gson:gson,JSON Libraries,"google,json",2,5,0.4
edu.illinois.lis.query,GQueriesJsonImpl,"",log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",3,5,0.6
cc.twittertools.thrift.gen,TResult,isSetFollowers_count,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",2,2,1.0
cc.twittertools.download,VerifyJsonStatusBlockCrawl,"",com.google.guava:guava,Core Utilities,google,4,9,0.44
cc.twittertools.download,VerifyJsonStatusBlockCrawl,"",log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",3,9,0.33
cc.twittertools.download,VerifyJsonStatusBlockCrawl,"",com.ning:async-http-client,HTTP Clients,"client,asynchronous,http",2,9,0.22
cc.twittertools.search,TrecTopicSet,"",com.google.guava:guava,Core Utilities,google,2,2,1.0
edu.illinois.lis.searchsource,IndexWrapperMicroblogApi,runQuery,cc.twittertools:twitter-tools-core,"","tools,twitter",15,15,1.0
edu.illinois.lis.query,GQueriesJsonImpl,read,com.google.code.gson:gson,JSON Libraries,"google,json",45,47,0.96
edu.illinois.lis.query,GQueriesJsonImpl,read,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",2,47,0.04
edu.illinois.lis.searchsource,IndexWrapperMicroblogApi,"",cc.twittertools:twitter-tools-core,"","tools,twitter",3,3,1.0
cc.twittertools.download,VerifyJsonStatusBlockCrawl,withRepairedOutput,com.google.guava:guava,Core Utilities,google,2,2,1.0
cc.twittertools.index,ExtractTweetidsFromIndex,main,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",27,45,0.6
cc.twittertools.index,ExtractTweetidsFromIndex,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",18,45,0.4
cc.twittertools.index,TokenizationTest,verify,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
cc.twittertools.thrift.gen,TResult,unsetRetweeted_status_id,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",2,2,1.0
cc.twittertools.index,TweetAnalyzer,createComponents,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",2,12,0.17
cc.twittertools.index,TweetAnalyzer,createComponents,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,12,0.83
cc.twittertools.corpus.data,HTMLStatusExtractor,main,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",27,35,0.77
cc.twittertools.corpus.data,HTMLStatusExtractor,main,com.google.code.gson:gson,JSON Libraries,"google,json",8,35,0.23
cc.twittertools.piggybank,GetLongitude,"",org.apache.pig:pig,Hadoop Query Engines,"apache,hadoop,query,bigdata",1,1,1.0
cc.twittertools.search.local,RunQueries,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",41,123,0.33
cc.twittertools.search.local,RunQueries,main,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",78,123,0.63
cc.twittertools.search.local,RunQueries,main,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",4,123,0.03
