packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
edu.cmu.lti.oaqa.flexneuart.fwdindx,MapDbBackend,close,org.mapdb:mapdb,Collections,"collections,structures",6,6,1.0
edu.cmu.lti.oaqa.flexneuart.letor.external,ExternalScorer,"",org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",885,885,1.0
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,unsetQty,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",2,2,1.0
edu.cmu.lti.oaqa.flexneuart.apps,BaseQueryApp,addCandGenOpts,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",24,24,1.0
edu.cmu.lti.oaqa.flexneuart.utils,RandomUtilsTest,doSimpleTestReservoirSample,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
edu.cmu.lti.oaqa.nmslib,ReplyEntry,read,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",5,5,1.0
edu.cmu.lti.oaqa.flexneuart.apps,AnswerBasedQRELGenerator,main,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",8,22,0.36
edu.cmu.lti.oaqa.flexneuart.apps,AnswerBasedQRELGenerator,main,args4j:args4j,Command Line Parsers,"cli,parser",14,22,0.64
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,close,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
edu.cmu.lti.oaqa.flexneuart.letor.external,ScoringException,scheme,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",8,8,1.0
edu.cmu.lti.oaqa.flexneuart.utils,ParamHelper,getCommandLine,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",2,2,1.0
edu.cmu.lti.oaqa.nmslib,ReplyEntry,compareTo,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",8,8,1.0
edu.cmu.lti.oaqa.flexneuart.apps,GenFeaturesAppImpl,addOptions,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",2,2,1.0
edu.cmu.lti.oaqa.flexneuart.apps,CollectionSplitterBase,parseOptions,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",32,38,0.84
edu.cmu.lti.oaqa.flexneuart.apps,CollectionSplitterBase,parseOptions,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",6,38,0.16
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,initIndexForWriting,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",20,20,1.0
edu.cmu.lti.oaqa.flexneuart.giza,GizaVocabularyFilterStand,readVocFile,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",2,2,1.0
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,getWord,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",1,1,1.0
edu.cmu.lti.oaqa.flexneuart.apps,YahooAnswersCollectionSplitter,"",org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",3,3,1.0
edu.cmu.lti.oaqa.flexneuart.apps,AnswerBasedQRELGenerator,"",org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",3,14,0.21
edu.cmu.lti.oaqa.flexneuart.apps,AnswerBasedQRELGenerator,"",args4j:args4j,Command Line Parsers,"cli,parser",11,14,0.79
edu.cmu.lti.oaqa.flexneuart.fwdindx,BackendTest,testOneBackend,junit:junit,Testing Frameworks,"testing,junit",4,6,0.67
edu.cmu.lti.oaqa.flexneuart.fwdindx,BackendTest,testOneBackend,commons-io:commons-io,I/O Utilities,io,2,6,0.33
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryRaw,write,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",5,5,1.0
edu.cmu.lti.oaqa.flexneuart.utils,CompressUtilsTest,test,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
ciir.umass.edu.eval,EvaluatorTest,testLambdaRank,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
edu.cmu.lti.oaqa.flexneuart.fwdindx,ForwardIndexBinaryOffsetDict,"",org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",3,3,1.0
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryRaw,fieldForId,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",1,1,1.0
edu.cmu.lti.oaqa.flexneuart.utils,StringUtilsTest,TestTruncAt,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
ciir.umass.edu.eval,EvaluatorTest,testAdaRank,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainCEDR,writeOneEntryData,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",6,6,1.0
edu.cmu.lti.oaqa.flexneuart.apps,CheckDenseSparseExportScores,"",org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",3,13,0.23
edu.cmu.lti.oaqa.flexneuart.apps,CheckDenseSparseExportScores,"",args4j:args4j,Command Line Parsers,"cli,parser",10,13,0.77
edu.cmu.lti.oaqa.flexneuart.letor,FeatureExtractor,saveFeatureWeights,com.googlecode.matrix-toolkits-java:mtj,Vector/Matrix Libraries,"vector,matrix,match,toolkit",5,5,1.0
edu.cmu.lti.oaqa.flexneuart.letor.external,ScoringException,setFieldValue,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",1,1,1.0
edu.cmu.lti.oaqa.nmslib,QueryException,"",org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",87,87,1.0
edu.cmu.lti.oaqa.flexneuart.apps,BuildFwdIndexApp,Usage,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",6,6,1.0
