packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
com.github.rnewson.couchdb.lucene,DatabaseIndexer,handleResponse,log4j:log4j,Logging Frameworks,logging,14,53,0.26
com.github.rnewson.couchdb.lucene,DatabaseIndexer,handleResponse,org.json:json,JSON Libraries,json,17,53,0.32
com.github.rnewson.couchdb.lucene,DatabaseIndexer,handleResponse,org.apache.httpcomponents:httpclient,HTTP Clients,"apache,client,http",6,53,0.11
com.github.rnewson.couchdb.lucene,DatabaseIndexer,handleResponse,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,53,0.17
com.github.rnewson.couchdb.lucene,DatabaseIndexer,handleResponse,org.apache.httpcomponents:httpcore,HTTP Clients,"apache,client,http",7,53,0.13
com.github.rnewson.couchdb.lucene,QueryPlan,planFuzzyQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,7,1.0
com.github.rnewson.couchdb.lucene.couchdb,CouchDocument,asJson,org.json:json,JSON Libraries,json,2,2,1.0
com.github.rnewson.couchdb.lucene.couchdb,UpdateSequenceTest,bigcouch3Sequence,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.github.rnewson.couchdb.lucene.util,AnalyzersTest,testClassInstance8,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,15,0.33
com.github.rnewson.couchdb.lucene.util,AnalyzersTest,testClassInstance8,junit:junit,Testing Frameworks,"testing,junit",6,15,0.4
com.github.rnewson.couchdb.lucene.util,AnalyzersTest,testClassInstance8,org.hamcrest:hamcrest-all,Testing Frameworks,"matching,testing",3,15,0.2
com.github.rnewson.couchdb.lucene.util,AnalyzersTest,testClassInstance8,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,15,0.07
com.github.rnewson.couchdb.lucene.util,Utils,text,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
com.github.rnewson.couchdb.lucene,LuceneServlet,cleanup,org.json:json,JSON Libraries,json,6,14,0.43
com.github.rnewson.couchdb.lucene,LuceneServlet,cleanup,log4j:log4j,Logging Frameworks,logging,4,14,0.29
com.github.rnewson.couchdb.lucene,LuceneServlet,cleanup,commons-io:commons-io,I/O Utilities,io,4,14,0.29
com.github.rnewson.couchdb.lucene.couchdb,ViewTest,index,junit:junit,Testing Frameworks,"testing,junit",1,6,0.17
com.github.rnewson.couchdb.lucene.couchdb,ViewTest,index,org.json:json,JSON Libraries,json,5,6,0.83
com.github.rnewson.couchdb.lucene,CustomQueryParserTest,assertRange,junit:junit,Testing Frameworks,"testing,junit",2,5,0.4
