packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
pitt.search.semanticvectors,FlagConfigTest,testParseFlagsFromString,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
pitt.search.semanticvectors,SearchBatch,runSearch,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,21,0.05
pitt.search.semanticvectors,SearchBatch,runSearch,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",20,21,0.95
pitt.search.semanticvectors.vectors,PermutationUtilsTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
pitt.search.semanticvectors.vectors,RealVectorTest,testPermutedAddition,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
pitt.search.semanticvectors,FlagConfigTest,testThrowsUnrecognizedValue,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
pitt.search.semanticvectors,LuceneUtils,getIDF,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",20,20,1.0
pitt.search.semanticvectors.vectors,ComplexVectorTest,testGenerateRandomVector,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
pitt.search.semanticvectors.vectors,RealVectorTest,testDenseAddition,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
pitt.search.examples,NarrativeRelationsIndexer,main,pitt.search:semanticvectors,"",search,5,5,1.0
pitt.search.lucene,PorterAnalyzer,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
pitt.search.semanticvectors,VectorStoreDeterministicTest,setUp,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
pitt.search.semanticvectors,VectorStoreRAMTest,testRepeatReads,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
pitt.search.semanticvectors.vectors,Vector,readFromLuceneStream,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
pitt.search.semanticvectors.vectors,PermutationVector,writeToLuceneStream,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
pitt.search.semanticvectors,CompareTermsTest,testCompareTermsComplexOrthographic,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
pitt.search.semanticvectors.integrationtests,LSATest,setUp,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
pitt.search.semanticvectors.vectors,VectorUtilsTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
pitt.search.semanticvectors,VectorStoreWriterTest,testWriteLuceneVectorStoreAndRead,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",16,19,0.84
pitt.search.semanticvectors,VectorStoreWriterTest,testWriteLuceneVectorStoreAndRead,junit:junit,Testing Frameworks,"testing,junit",3,19,0.16
pitt.search.lucene,LuceneIndexFromSemrepTriplesPL,main,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,13,0.08
pitt.search.lucene,LuceneIndexFromSemrepTriplesPL,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,13,0.92
pitt.search.semanticvectors,TermTermVectorsFromLucene,processEmbeddings,pitt.search:semanticvectors,"",search,8,8,1.0
pitt.search.semanticvectors.vectors,ComplexVectorTest,testSuperposeSparseOnZero,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
pitt.search.semanticvectors.integrationtests,RegressionTests,testBuildAndSearchBinaryPositionalIndex,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
pitt.search.lucene,IndexBilingualFiles,fileBilingualDocument,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,13,1.0
pitt.search.lucene,PorterAnalyzer,stemQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
pitt.search.semanticvectors,IncrementalTermVectors,createIncrementalTermVectorsFromLucene,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",43,43,1.0
pitt.search.lucene,LuceneIndexFromSemrepTriples,main,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,13,0.08
pitt.search.lucene,LuceneIndexFromSemrepTriples,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,13,0.92
pitt.search.examples,MarkedUpDocumentAnalyzer,getVectorForString,pitt.search:semanticvectors,"",search,1,1,1.0
pitt.search.semanticvectors.experiments,InNoutSubwordEmbeddings,initializeVectorStores,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",46,46,1.0
pitt.search.semanticvectors.integrationtests,ESPTest,testBuildAndSearchBinaryESPIndex,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
pitt.search.semanticvectors.experiments,VectorStoreTruncater,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",17,17,1.0
pitt.search.semanticvectors.integrationtests,RegressionTests,testBuildAndSearchRealDirectionalIndex,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
pitt.search.semanticvectors.vectors,BinaryVectorTest,testGenerateRandomVectorWriteAndRead,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",18,23,0.78
pitt.search.semanticvectors.vectors,BinaryVectorTest,testGenerateRandomVectorWriteAndRead,junit:junit,Testing Frameworks,"testing,junit",5,23,0.22
pitt.search.examples,NarrativeRelationsIndexer,indexRelations,pitt.search:semanticvectors,"",search,155,155,1.0
pitt.search.semanticvectors.vectors,BinaryVector,readFromString,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
pitt.search.semanticvectors,VectorStoreReaderLucene,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",26,26,1.0
pitt.search.semanticvectors,VectorStoreWriterTest,"",junit:junit,Testing Frameworks,"testing,junit",1,3,0.33
pitt.search.semanticvectors,VectorStoreWriterTest,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,3,0.67
pitt.search.semanticvectors.vectors,BinaryVector,copy,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
pitt.search.semanticvectors.vectors,BinaryVectorTest,testDimensionMustMatchWhenReading,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
pitt.search.semanticvectors.vectors,RealVectorTest,testNonZeroOverlap,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
pitt.search.semanticvectors.vectors,VectorStoreOrthographicalTest,initAndRetrieveTest,junit:junit,Testing Frameworks,"testing,junit",7,7,1.0
pitt.search.semanticvectors.vectors,BinaryVectorUtils,xorCount,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,10,1.0
pitt.search.semanticvectors.vectors,RealVectorTest,testBindAndReleasePermutation,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
pitt.search.examples,MarkedUpDocumentAnalyzer,"",pitt.search:semanticvectors,"",search,12,12,1.0
pitt.search.semanticvectors,LuceneUtils,termFilter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",16,16,1.0
pitt.search.semanticvectors.tables,TypeSpecTest,testCreateAndTrainTypeSpec,junit:junit,Testing Frameworks,"testing,junit",11,11,1.0
pitt.search.examples,ExampleVectorSearcherClient,main,pitt.search:semanticvectors,"",search,25,25,1.0
pitt.search.semanticvectors.vectors,BinaryVector,elementalToSemantic,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
pitt.search.semanticvectors.vectors,RealVector,writeToLuceneStream,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
pitt.search.semanticvectors.vectors,Vector,writeToLuceneStream,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
pitt.search.semanticvectors,LuceneUtils,getExternalDocId,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
pitt.search.semanticvectors,VectorStoreReaderLuceneTest,testMultipleOpensForRead,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,3,0.67
