packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
com.browseengine.bobo.facets.filter,BitSetFilter,getRandomAccessDocIdSet,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
com.browseengine.bobo.test,UnitTestSuite,suite,junit:junit,Testing Frameworks,"testing,junit",14,14,1.0
com.browseengine.bobo.facets.data,MultiValueFacetDataCache,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",31,34,0.91
com.browseengine.bobo.facets.data,MultiValueFacetDataCache,"",log4j:log4j,Logging Frameworks,logging,3,34,0.09
com.browseengine.bobo.facets.filter,BitSetFilter,getFacetSelectivity,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
com.browseengine.bobo.query,ScoreAdjusterQuery,extractTerms,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
com.browseengine.bobo.search.section,SectionSearchQueryPlanBuilder,translateBooleanQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",37,37,1.0
com.browseengine.bobo.test,BoboTestCase,doTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,6,0.17
com.browseengine.bobo.test,BoboTestCase,doTest,junit:junit,Testing Frameworks,"testing,junit",5,6,0.83
com.browseengine.bobo.test,FacetNotValuesTest,createIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,13,1.0
com.browseengine.bobo.facets.filter,FacetFilter,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
com.browseengine.bobo.util,BigShortArray,findValueRange,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
com.browseengine.bobo.facets.filter,RandomAccessFilter,getDocIdSet,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
com.browseengine.bobo.search.section,SectionSearchQuery,rewrite,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",5,5,1.0
