packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
proj.zoie.dataprovider.jms,JMSStreamDataProvider,next,log4j:log4j,Logging Frameworks,logging,1,2,0.5
proj.zoie.dataprovider.jms,JMSStreamDataProvider,next,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",1,2,0.5
proj.zoie.api,ZoieSegmentReader,getInnerReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
proj.zoie.api.impl,ZoieMergePolicy,findBalancedMerges,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",21,21,1.0
proj.zoie.impl.indexing,AsyncDataConsumer,flushBuffer,log4j:log4j,Logging Frameworks,logging,10,10,1.0
proj.zoie.api.indexing,ZoieIndexable,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",14,14,1.0
proj.zoie.hourglass.impl,HourglassReaderManager,trim,log4j:log4j,Logging Frameworks,logging,8,29,0.28
proj.zoie.hourglass.impl,HourglassReaderManager,trim,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",21,29,0.72
proj.zoie.api.impl.util,IntSetAccelerator,size,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.test,ZoieTest,testStreamDataProviderFlush,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
proj.zoie.test,ZoieTestCaseBase,createZoie,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
proj.zoie.api,UIDDocIdSet,iterator,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
proj.zoie.hourglass.impl,Hourglass,consume,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.test,ZoieTestCaseBase,registerMBean,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.impl.indexing,FileIndexableInterpreter,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",19,26,0.73
proj.zoie.impl.indexing,FileIndexableInterpreter,"",log4j:log4j,Logging Frameworks,logging,7,26,0.27
proj.zoie.test,HourglassTest,testHourglassDirectoryManagerFactory,junit:junit,Testing Frameworks,"testing,junit",1,28,0.04
proj.zoie.test,HourglassTest,testHourglassDirectoryManagerFactory,log4j:log4j,Logging Frameworks,logging,27,28,0.96
proj.zoie.api,ZoieSegmentReader,commitDeletes,it.unimi.dsi:fastutil,Collections,"collections,structures",2,2,1.0
proj.zoie.dataprovider.jms,JMSStreamDataProvider,reset,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.impl.indexing.internal,IndexSignature,"",log4j:log4j,Logging Frameworks,logging,3,3,1.0
proj.zoie.hourglass.impl,HourglassReaderManager,swapArchives,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,7,0.14
proj.zoie.hourglass.impl,HourglassReaderManager,swapArchives,log4j:log4j,Logging Frameworks,logging,6,7,0.86
proj.zoie.impl.indexing,MemoryStreamDataProvider,"",log4j:log4j,Logging Frameworks,logging,3,3,1.0
proj.zoie.impl.indexing.internal,BaseSearchIndex,updateIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",20,24,0.83
