packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
com.vmware.xenon,TestServiceDocumentDescription,testRoutes,junit:junit,Testing Frameworks,"testing,junit",9,9,1.0
com.vmware.xenon.common,TestDeferredResult,testAnyOf,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.vmware.xenon.common,TestOperationSequence,testAbortOnFirstFailure,junit:junit,Testing Frameworks,"testing,junit",7,7,1.0
com.vmware.xenon.common,TestSubscriptions,subscriptionsToFactoryAndChildren,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common.http.netty,NettyHttp2Test,throughputPutRemote,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common.jwt,TestVerifier,testRfc7515A1,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
com.vmware.xenon.services.common,TestSimpleTransactionService,testSingleClientMultiDocumentConcurrentTransactions,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.services.samples,SampleContinuousQueryWatchService,subscribeToContinuousQuery,com.vmware.xenon:xenon-common,"","",19,19,1.0
example.group,TestQuickstartHost,"",junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.vmware.xenon.common,TestOperation,testXenonErrorCode,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common,TestRoundRobinOperationQueue,testLimitDifferentKeys,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
com.vmware.xenon.common,TestUriUtils,getParentPath,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
com.vmware.xenon.common.http.netty,NettyHttpListener,setSSLContext,io.netty:netty-all,Network App Frameworks,"network,socket,framework,netty,io",3,3,1.0
com.vmware.xenon.common.http.netty,NettyHttpServiceClientTest,validateOperationChecks,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common.http.netty,NettyHttpToHttp2HandlerBuilder,headerSensitivityDetector,io.netty:netty-all,Network App Frameworks,"network,socket,framework,netty,io",3,3,1.0
com.vmware.xenon.services.common,TestLuceneDocumentIndexService,doDurableServiceUpdate,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.services.common,TestMigrationTaskService,successMigrateDocumentsWithAllVersions,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.vmware.xenon.services.common,TestNodeGroupMigrationTaskService,requestWithFactoryLink,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.vmware.xenon.services.common,TestNodeGroupService,commandLineJoinRetries,junit:junit,Testing Frameworks,"testing,junit",9,9,1.0
com.vmware.xenon.services.common,TestQueryFilter,simpleDisjunction,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
com.vmware.xenon.services.common,TestServiceHostManagementService,testRequestLoggingEnabled,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
com.vmware.xenon.services.common,TestSimpleTransactionService,testHostRestartMidTransaction,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.services.samples,IdRangeService,"",com.vmware.xenon:xenon-common,"","",25,25,1.0
com.vmware.xenon.common,TestAuthentication,tearDown,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common,TestServiceHost,serviceStopOrder,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.vmware.xenon.services.common,LuceneDocumentIndexService,queryIndexForVersion,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",35,35,1.0
com.vmware.xenon.services.common,TestMigrationTaskService,validateVersionedExampleDocuments,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
com.vmware.xenon.services.common,TestODataQueryService,top,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
com.vmware.xenon.services.common,TestQueryTaskService,doAllDocsTest,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.vmware.xenon.services.common,TestResourceGroupService,postHelper,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.vmware.xenon.services.common,TestResourceGroupService,setUp,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.services.samples,BankAccountService,getOperationProcessingChain,com.vmware.xenon:xenon-common,"","",22,22,1.0
com.vmware.xenon.common,TestEventStreams,doSimpleTest,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
com.vmware.xenon.common,TestFactoryService,getResult,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common,TestOdataFilter,testBooleanWithNumericRanges,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common,TestSendWithDeferredResult,testRethrow,junit:junit,Testing Frameworks,"testing,junit",5,5,1.0
com.vmware.xenon.common,TestServiceDocument,testEnumValuesArePopulated,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
com.vmware.xenon.common.test,ContainerVerificationHost,stopAndRemoveContainer,com.github.docker-java:docker-java,Docker Clients,"github,container,docker,client",8,8,1.0
com.vmware.xenon.services.common,TestLuceneDocumentIndexService,tearDown,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common,TestServiceDocument,testPartialMerge,junit:junit,Testing Frameworks,"testing,junit",9,9,1.0
com.vmware.xenon.common.jwt,Signer,encode,com.google.code.gson:gson,JSON Libraries,"google,json",2,2,1.0
com.vmware.xenon.services.common,TestODataQueryService,orderBy,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.services.common,TestQueryTaskService,doMultiFieldSortTestOnExampleStates,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.vmware.xenon.common,TestFactoryService,sendBadJson,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common,TestOperationQueue,transferAll,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
com.vmware.xenon.common.serialization,HashingJsonWriter,name,com.google.code.gson:gson,JSON Libraries,"google,json",1,1,1.0
com.vmware.xenon.samples,SampleHost,start,com.vmware.xenon:xenon-common,"","",14,15,0.93
com.vmware.xenon.samples,SampleHost,start,com.vmware.xenon:xenon-ui,"",ui,1,15,0.07
com.vmware.xenon.services.common,TestNodeGroupService,nodeGroupConvergenceAfterHostRestart,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.services.common,TestQueryTaskUtils,testMergeQueryResultsWhenCountOptions,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
com.vmware.xenon.services.common,TestSimpleTransactionService,tearDownMultiHost,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common,TestAuthentication,testVerificationExternalAuthServiceWithSkipBasicAuth,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
com.vmware.xenon.common,TestOperation,testSendWithOnHost,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.common.http.netty,NettyHttpClientRequestHandler,parseRequestUri,io.netty:netty-all,Network App Frameworks,"network,socket,framework,netty,io",3,3,1.0
com.vmware.xenon.common.http.netty,NettyHttpToHttp2HandlerBuilder,codec,io.netty:netty-all,Network App Frameworks,"network,socket,framework,netty,io",5,5,1.0
