packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
org.apdplat.word.corpus,Bigram,bigram,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",4,4,1.0
org.apdplat.word.recognition,RecognitionTool,isNumber,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",4,4,1.0
org.apdplat.word.corpus,Trigram,reload,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",10,10,1.0
org.apdplat.word.dictionary.impl,DictionaryTrieTest,testPrefix,junit:junit,Testing Frameworks,"testing,junit",9,9,1.0
org.apdplat.word.util,WordConfTools,"",org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",3,3,1.0
org.apdplat.word.dictionary.impl,DictionaryTrie,remove,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",20,20,1.0
org.apdplat.word.analysis,SimHashPlusHammingDistanceTextSimilarity,"",org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",3,3,1.0
org.apdplat.word,WordFrequencyStatistics,"",org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",3,3,1.0
org.apdplat.word,WordSegmenter,demo,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",6,6,1.0
org.apdplat.word.analysis,HotWordTest,testGet,junit:junit,Testing Frameworks,"testing,junit",9,9,1.0
org.apdplat.word.dictionary.impl,DictionaryTrie,contains,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",8,8,1.0
org.apdplat.word.recognition,Quantifier,reload,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",12,12,1.0
org.apdplat.word.util,DirectoryWatcher,"",org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",7,7,1.0
org.apdplat.word.vector,Distance,setLimit,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",2,2,1.0
org.apdplat.word.dictionary.impl,DictionaryTrie,showConflict,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",12,12,1.0
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrieTest,testRemoveAll,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
org.apdplat.word.corpus,ExtractText,analyzeCorpus,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",4,4,1.0
org.apdplat.word.recognition,PersonName,reload,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",10,10,1.0
org.apdplat.word.elasticsearch,ChineseWordNoOpTokenFilterFactory,create,org.apache.lucene:lucene-test-framework,"","lucene,framework,testing,apache,index",3,3,1.0
org.apdplat.word.segmentation.impl,FullSegmentation,disambiguity,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",16,16,1.0
