packageName,className,methodName,apis
io.github.mayhewsw.utils,SentenceCache,load,[org.apache.lucene:lucene-core]
io.github.mayhewsw.utils,SentenceCache,"",[org.apache.lucene:lucene-core]
io.github.mayhewsw.controllers,DictionaryController,showdict,[org.apache.commons:commons-lang3]
io.github.mayhewsw.utils,HtmlGenerator,getCopyableHTMLFromTA,[org.apache.commons:commons-lang3]
io.github.mayhewsw,TextFileIndexer,buildsentenceindex,[org.apache.lucene:lucene-core]
io.github.mayhewsw.controllers,DocumentController,loaddata,[org.apache.lucene:lucene-core]
io.github.mayhewsw,TextFileIndexer,main,[commons-cli:commons-cli]
io.github.mayhewsw.utils,SentenceCache,count,[org.apache.lucene:lucene-core]
io.github.mayhewsw.controllers,DocumentController,filterTA,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
io.github.mayhewsw.utils,Utils,getRomanTaToks,[cz.jirutka.unidecode:unidecode]
io.github.mayhewsw,TextFileIndexer,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
io.github.mayhewsw.controllers,DocumentController,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
io.github.mayhewsw.utils,TalenCLI,main,[commons-cli:commons-cli]
io.github.mayhewsw.utils,HtmlGenerator,getHTMLfromTA,[org.apache.commons:commons-lang3]
io.github.mayhewsw,ConfigFile,loadProperties,[org.apache.commons:commons-lang3]
io.github.mayhewsw,TextFileIndexer,buildindex,[org.apache.lucene:lucene-core]
io.github.mayhewsw.controllers,DocumentController,buildmemoryindex,[org.apache.lucene:lucene-core]
io.github.mayhewsw,SessionData,"",[org.apache.lucene:lucene-core]
io.github.mayhewsw.controllers,DocumentController,search,[org.apache.lucene:lucene-queryparser]
io.github.mayhewsw.controllers,SentenceController,addtext,[org.apache.commons:commons-lang3]
io.github.mayhewsw,TextFileIndexer,testindex,[org.apache.lucene:lucene-core]
io.github.mayhewsw.controllers,DocumentController,save,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
