packageName,className,methodName,apis
com.searchcode.app.dto,CodeIndexDocumentTest,testMd5CalcA,[org.assertj:assertj-core]
com.searchcode.app.service,DataServiceTest,testTestAddToPersistent,[org.mockito:mockito-all]
com.searchcode.app.service.index,IndexService,buildFacets,"[org.apache.commons:commons-lang3,org.apache.lucene:lucene-queryparser]"
com.searchcode.app.util,UniqueRepoQueueTest,testQueueClear,[org.assertj:assertj-core]
com.searchcode.app.dao,SourceTest,testGetSourceByIdFirst100,[org.assertj:assertj-core]
com.searchcode.app.service,TimeCodeSearcher,search,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.searchcode.app.dao,SQLiteDataTest,testSaveWithRandomValuesAndGet,"[org.apache.commons:commons-lang3,org.assertj:assertj-core]"
com.searchcode.app.jobs.repository,IndexDocumentsJob,execute,[org.quartz-scheduler:quartz]
com.searchcode.app.service,TimeCodeSearcher,doPagingSearch,[org.apache.lucene:lucene-core]
com.searchcode.app.util,FileClassifier,loadDatabase,"[com.google.code.gson:gson,com.google.guava:guava]"
com.searchcode.app.service,Highlight,highlightInternal,[org.apache.commons:commons-lang3]
com.searchcode.app.service.route,TimeSearchRouteService,getLanguages,"[org.apache.commons:commons-lang3,org.apache.lucene:lucene-queryparser]"
com.searchcode.app.service,CodeRouteServiceTest,"",[junit:junit]
com.searchcode.app.util,SpellingCorrectorTest,"",[junit:junit]
com.searchcode.app.service,ApiRouteServiceTest,testGetIndexTime,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service,ApiRouteServiceTest,testRepoListApiEnabledAuthMissingPub,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app,App,main,[com.sparkjava:spark-core]
com.searchcode.app.service.route,SearchRouteService,codeSearch_I,[com.sparkjava:spark-core]
com.searchcode.app.util,AESEncryptorTest,testEncryptBase64,[org.assertj:assertj-core]
com.searchcode.app.util,FileClassifierTest,testLanguageGuesserText,[junit:junit]
com.searchcode.app.jobs.enqueue,EnqueueRepositoryJob,execute,[org.quartz-scheduler:quartz]
com.searchcode.app.jobs.repository,IndexGitRepoJob,"",[org.quartz-scheduler:quartz]
com.searchcode.app.jobs.repository,IndexSvnRepoJob,"",[org.quartz-scheduler:quartz]
com.searchcode.app.service,ApiServiceTest,"",[junit:junit]
com.searchcode.app.service.route,CommonRouteServiceTest,testGetPhotoId,[org.assertj:assertj-core]
com.searchcode.app.util,SearchcodeLibTest,testGenerateAltQueries,"[junit:junit,org.mockito:mockito-all]"
com.searchcode.app.config,SphinxSearchConfigTest,"",[junit:junit]
com.searchcode.app.util,HelpersTest,testSortByValue,[junit:junit]
com.searchcode.app.util,LoggerWrapperTest,testLoggerWrapperMemoryLeak,"[org.apache.commons:commons-lang3,org.assertj:assertj-core]"
com.searchcode.app.service.index,IndexService,getRepoFacetResults,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet]"
com.searchcode.app.util,SearchcodeLibTest,testIsBinaryNullByte,[org.assertj:assertj-core]
com.searchcode.app.dao,SQLiteRepoTest,"",[junit:junit]
com.searchcode.app.service,DataService,getPersistentDelete,[com.google.code.gson:gson]
com.searchcode.app.util,LoggerWrapperTest,testLoggerWrapperGetLogReversed,[org.assertj:assertj-core]
com.searchcode.app,ServerRoutes,checkLoggedIn,[com.sparkjava:spark-core]
com.searchcode.app.jobs,IndexBaseRepoJobTest,testGetCodeLinesLogIndexedInvalid,[org.assertj:assertj-core]
com.searchcode.app.service,ApiRouteServiceTest,testRepoAddMissingRepoUsername,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app,TestHelpers,createDirectory,[commons-io:commons-io]
com.searchcode.app.dao,SQLiteDataTest,testGetWithRandomValuesExpectingNull,"[org.apache.commons:commons-lang3,org.assertj:assertj-core]"
com.searchcode.app.dao,SQLiteRepoTest,setUp,[junit:junit]
com.searchcode.app.service,TimeCodeSearcher,getById,[org.apache.lucene:lucene-core]
com.searchcode.app.service,ValidatorServiceTest,testRepoResultValidSlashesEtcReponame,[org.assertj:assertj-core]
com.searchcode.app.service.index,IndexServiceTest,testShouldRepoParserJobPauseWhenIndexQueueSizeLarge,[org.assertj:assertj-core]
com.searchcode.app.service.route,CodeRouteService,getPage,[com.sparkjava:spark-core]
com.searchcode.app,ServerRoutes,addAuthenticatedUser,[com.sparkjava:spark-core]
com.searchcode.app.service.index,IndexService,search,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.searchcode.app.dao,MySQLRepoTest,"",[junit:junit]
com.searchcode.app.dao,ApiTest,testGetAllApi,[org.assertj:assertj-core]
com.searchcode.app.jobs.repository,IndexBaseRepoJob,indexDocsByPath,[commons-io:commons-io]
com.searchcode.app.service,DataServiceTest,"",[junit:junit]
com.searchcode.app.jobs,IndexBaseAndGitRepoJobTest,testGetRelativeToProjectPath,[org.assertj:assertj-core]
com.searchcode.app.service,DataServiceTest,testTestRemoveFromPersistent,[org.mockito:mockito-all]
com.searchcode.app.util,SpellingCorrectorTest,testEmptyNullTerms,[junit:junit]
com.searchcode.app.service,CodeRouteServiceTest,testHtmlNoQueryString,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service.index,IndexServiceTest,testSearchWithFlip,[org.assertj:assertj-core]
com.searchcode.app.service.index,IndexServiceTest,testShouldRepoParserJobPauseWhenIndexLinesSizeLarge,[org.assertj:assertj-core]
com.searchcode.app.service.index,IndexService,deleteAll,[commons-io:commons-io]
com.searchcode.app.service,HighlightTest,"",[junit:junit]
com.searchcode.app.service.route,AdminRouteService,"",[com.google.code.gson:gson]
com.searchcode.app.util,SearchcodeLibTest,testCodeOwnerManyOwnersOldFile,[org.assertj:assertj-core]
com.searchcode.app.service.index,IndexServiceTest,testChangeCodeIndexLinesCount,[org.assertj:assertj-core]
com.searchcode.app.service.index,IndexServiceTest,testGetProjectFileTree,[org.assertj:assertj-core]
com.searchcode.app.service.route,CodeRouteService,getProject,"[com.google.code.gson:gson,com.sparkjava:spark-core]"
com.searchcode.app.service,TimeCodeSearcher,getYearMonthDayFacetResults,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet]"
com.searchcode.app,TestHelpers,getRandomAlphanumeric,[org.apache.commons:commons-lang3]
com.searchcode.app.dao,SQLiteRepoTest,testRepoSaveGetCacheBug,[org.assertj:assertj-core]
com.searchcode.app.service.index,IndexServiceTest,testBuildFacets,[org.assertj:assertj-core]
com.searchcode.app.dao,SourceTest,testGetSourceByNameNonExistent,[org.assertj:assertj-core]
com.searchcode.app.util,OWASPFileClassifierResultTest,testClassifyCodeSingleMatch,[org.assertj:assertj-core]
com.searchcode.app.util,SpellingCorrectorTest,testSpellingCorrectorTwoMatchesOfSameLengthMostCommonWins,[junit:junit]
com.searchcode.app.jobs,IndexBaseAndGitRepoJobTest,testCloneSucess,"[commons-io:commons-io,junit:junit]"
com.searchcode.app.util,SearchcodeLibTest,testIsMinifiedFalse,[org.assertj:assertj-core]
com.searchcode.app.service,ApiRouteServiceTest,testRepositoryReindexApiAuthNotEnabledRebuildAllWorks,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.util,HelpersTest,testFilterRunningAndDeletedRepoJobs,[org.assertj:assertj-core]
com.searchcode.app.util,SearchcodeLibTest,testCleanPipelineDots,[org.assertj:assertj-core]
com.searchcode.app.service,TimeCodeSearcher,getTotalNumberDocumentsIndexed,[org.apache.lucene:lucene-core]
com.searchcode.app.util,CodeAnalyzer,main,[org.apache.lucene:lucene-core]
com.searchcode.app.service.route,TimeSearchRouteService,getTimeSearch,[com.sparkjava:spark-core]
com.searchcode.app.service,TimeCodeSearcher,getYearMonthFacetResults,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet]"
com.searchcode.app.service.index,IndexService,doPagingSearch,[org.apache.lucene:lucene-core]
com.searchcode.app.service.route,TimeSearchRouteService,getPage,[com.sparkjava:spark-core]
com.searchcode.app.util,OWASPFileClassifierResultTest,testClassifyCodeMultipleMatch,[org.assertj:assertj-core]
com.searchcode.app.dao,SQLiteRepoTest,testRepoSaveDelete,[org.assertj:assertj-core]
com.searchcode.app.service.route,TimeSearchRouteService,getRevisions,"[org.apache.commons:commons-lang3,org.apache.lucene:lucene-queryparser]"
com.searchcode.app.jobs,IndexBaseAndGitRepoJobTest,testCheckCloneSuccessEmptyReturnsTrue,[org.assertj:assertj-core]
com.searchcode.app.service.index,IndexServiceTest,testIndexerWithThreads,"[org.apache.commons:commons-lang3,org.assertj:assertj-core]"
com.searchcode.app.service,JobService,startSpellingJob,[org.quartz-scheduler:quartz]
com.searchcode.app.util,HelpersTest,testTryParseInt,[org.assertj:assertj-core]
com.searchcode.app.dao,SourceCodeTest,"",[junit:junit]
com.searchcode.app.service,JobServiceTest,testPass,[org.assertj:assertj-core]
com.searchcode.app.util,FileClassifierTest,testLanguageGuesserFullname,[org.assertj:assertj-core]
com.searchcode.app.util,LoggerWrapperTest,testLoggerWrapperFineAdd,[org.assertj:assertj-core]
com.searchcode.app.jobs,IndexBaseAndGitRepoJobTest,testDetermineBinary,[org.assertj:assertj-core]
com.searchcode.app.util,SearchcodeLibTest,testCleanPipelineCustom,[org.assertj:assertj-core]
com.searchcode.app.util,SearchcodeLibTest,testFormatQueryStringOperatorsOr,[junit:junit]
com.searchcode.app.jobs.repository,IndexGitRepoJob,updateGitRepository,"[commons-io:commons-io,org.eclipse.jgit:org.eclipse.jgit]"
com.searchcode.app.service,ApiRouteServiceTest,testRepoDeleteAuthReponameFailedAuth,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.util,Cocomo2Test,testCocomo1740Lines,[junit:junit]
com.searchcode.app.dao,SQLiteDataTest,"",[junit:junit]
com.searchcode.app.jobs,IndexBaseAndGitRepoJobTest,testIndexSucess,"[commons-io:commons-io,junit:junit]"
com.searchcode.app.service,Singleton,"",[org.quartz-scheduler:quartz]
com.searchcode.app.service,ValidatorServiceTest,"",[junit:junit]
com.searchcode.app.util,Helpers,readFileLinesGuessEncoding,[commons-io:commons-io]
com.searchcode.app.service,ApiRouteServiceTest,testRepoDeleteNoAuthReponame,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service,ApiRouteServiceTest,testRepositoryIndexApiNoMatchingRepo,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service,StatsServiceTest,testIncrementSearchCountTwo,[org.mockito:mockito-all]
com.searchcode.app.service.route,AdminRouteService,adminLogs,[com.sparkjava:spark-core]
com.searchcode.app.jobs,IndexBaseAndGitRepoJobTest,testDeleteNoFile,[commons-io:commons-io]
com.searchcode.app.service.route,ApiRouteService,repoList,[com.sparkjava:spark-core]
com.searchcode.app.util,RepositorySourceTest,testGetSourceByName,[org.assertj:assertj-core]
com.searchcode.app.service,CodeRouteServiceTest,testHtmlQueryString,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service.index,SphinxIndexServiceTest,"",[junit:junit]
com.searchcode.app.service,ApiRouteServiceTest,testRepoAddMissingRepoPassword,"[com.sparkjava:spark-core,org.assertj:assertj-core,org.mockito:mockito-all]"
com.searchcode.app.service,CodeMatcher,findMatchingLines,[org.apache.commons:commons-lang3]
com.searchcode.app.util,HelpersTest,testTryParseDouble,[org.assertj:assertj-core]
com.searchcode.app.util,SpellingCorrectorTest,testSpellingCorrectorMissingLetter,[junit:junit]
