packageName,className,methodName,apis
net.semanticmetadata.lire.imageanalysis.bovw,LocalFeatureHistogramBuilderKmeansPlusPlus,"",[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexers.hashing,MetricSpacesTest,testSearch,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,VisualWordsTest,testSearchInIndexSift,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,TestGroundTruth,testSearchBenchmark,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.builders,TestBuilders,"",[junit:junit]
net.semanticmetadata.lire.benchmarking,TestSimple,performWSs,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,GenericImageSearcher,getDistance,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,ColorLayoutTest,testExtraction,[junit:junit]
net.semanticmetadata.lire.imageanalysis.bovw,VLADBuilder,selectVocabularyDocs,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.invertedlist,GeneralInvertedListTest,getQuery,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.builders,AbstractLocalDocumentBuilder,getLocalDescriptorFields,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing.fastmap,FastMapTest,testEdgeHistogramFastMap,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.searchers,GenericFastImageSearcher,"",[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,MSERDocumentBuilder,createDescriptorFields,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.classifiers,ClassifierTest,testClassifyFashionAllCombinedFeatures,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,CEDDTest,testSerialization,[junit:junit]
net.semanticmetadata.lire.impl,ChainedDocumentBuilder,createDocument,[org.apache.lucene:lucene-core]
liredemo,SearchResultsTableModel,setHits,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,UCIDBenchmark,testMAP,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.builders,DocumentBuilder,createDescriptorFields,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire,CreateIndexTest,"","[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire,DocumentBuilderFactoryTest,"",[junit:junit]
net.semanticmetadata.lire.classifiers,HashingSearchBasedClassifierMod,getTag,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.bovw,VLADBuilder,createVisualWords,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,HashingTest,rerank,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.applications,GlobalFeatureIndexSearchTest,setUp,[junit:junit]
net.semanticmetadata.lire.benchmarking,UCIDBenchmark,"",[junit:junit]
net.semanticmetadata.lire.classifiers,ClassifierTest,"",[junit:junit]
net.semanticmetadata.lire.imageanalysis,EdgeHistogramTest,testExtraction,[junit:junit]
net.semanticmetadata.lire,CvLocalTest,testSearch,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,JCDTest,testExtraction,[junit:junit]
net.semanticmetadata.lire.searchers,TestSearching,"",[junit:junit]
net.semanticmetadata.lire.impl,ParallelImageSearcher,findSimilar,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,LocalitySensitiveHashingTest,createQuery,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,MetricSpacesTest,testPerformance,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexing,MetricSpacesTest,testSearch,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.lucene,TestSearchID,testSearch,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.bovw,LocalFeatureHistogramBuilderFromCodeBook,createVisualWords,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.sampleapp,Indexer,main,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,AttentionModelTest,"",[junit:junit]
net.semanticmetadata.lire.lucene,TestSearchID,"",[junit:junit]
