packageName,className,methodName,apis
uk.co.flax.luwak.termextractor,QueryTerm,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.treebuilder,TreeBuilders,newFilteringQueryBuilder,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.benchmark,ValidatorDocument,"",[com.github.flaxsearch:luwak]
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testDown,[junit:junit]
uk.co.flax.luwak,Monitor,decomposeQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestQueryDecomposer,testNestedDisjunctions,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.matchers,ConcurrentMatcherTestBase,testParallelSlowLog,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.presearcher,TermFilteredPresearcher,showQueryTree,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.benchmark,StandardBenchmark,"","[com.github.flaxsearch:luwak,com.google.guava:guava,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor,TestQueryAnalyzer,testDisjunctionsWithAnyClausesOnlyReturnANYTOKEN,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.benchmark,PresearcherMatch,"",[com.github.flaxsearch:luwak]
uk.co.flax.luwak,TestMonitorErrorHandling,testPresearcherErrors,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core,org.mockito:mockito-core]"
uk.co.flax.luwak.termextractor,TestBooleanClauseWeightings,longerTermsPreferred,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor,TestSpanExtractors,testSpanBoost,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak,Monitor,prepareQueryCache,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestQueryDecomposer,q,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,MultipassTermFilteredPresearcher,buildQueryDocument,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestSpanExtractors,testOrderedNearWithWildcardExtractor,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor.treebuilder,TreeBuilders,newDisjunctionBuilder,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.benchmark,ValidatorDocument,getDocument,[com.github.flaxsearch:luwak]
uk.co.flax.luwak,TestMonitorQuerySerialization,"",[org.assertj:assertj-core]
uk.co.flax.luwak.testutils,TestCollectionUtils,list,[com.google.guava:guava]
uk.co.flax.luwak.benchmark,BenchmarkResults,toString,[io.dropwizard.metrics:metrics-core]
uk.co.flax.luwak.benchmark,TestBenchmark,"","[com.github.flaxsearch:luwak,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.assertions,HighlightingMatchAssert,hasErrorCount,[org.assertj:assertj-core]
uk.co.flax.luwak.presearcher,TestTermPresearcher,matchesAnyQueries,[junit:junit]
uk.co.flax.luwak.termextractor.treebuilder,TreeBuilders,"","[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queries]"
uk.co.flax.luwak,MonitorQuery,serialize,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.analysis,BytesRefFilteredTokenFilter,accept,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestQueryTermComparators,testShorterTermListsArePreferred,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.termextractor,TestQueryAnalyzer,testMinWeightAdvances,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,Indexable,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,TermFilteredPresearcher,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,QueryAnalyzer,buildTree,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,SpanOffsetReportingQuery,hashCode,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,WildcardNGramPresearcherComponent,extraToken,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestMonitorPersistence,setup,[junit:junit]
uk.co.flax.luwak,TestQueryDecomposer,testSingleValuedConjunctWithExclusions,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.assertions,HighlightingMatchAssert,hasQueriesRunCount,[org.assertj:assertj-core]
uk.co.flax.luwak.util,SpanRewriter,rewriteMultiTermQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,QueryDecomposer,decompose,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestMonitorQuerySerialization,testSimpleQuery,[junit:junit]
uk.co.flax.luwak.termextractor,TestCoreLuceneQueryExtractors,shouldHandle,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestQueryDecomposer,testExclusions,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak,TestSimilarities,testNonStandardSimilarity,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.util,SpanRewriter,rewriteDisjunctionMaxQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestQueryTermComparators,testFieldSpecificTermWeightNorms,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testDisjunctionWithOrderedNearMatch,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,TestWildcardTermPresearcher,ngramsOnlyMatchWildcards,[junit:junit]
uk.co.flax.luwak.termextractor,TestSpanExtractors,testSpanPositionQuery,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.benchmark,Benchmark,timePresearcher,[com.github.flaxsearch:luwak]
uk.co.flax.luwak,TestMonitorFlexibleLuceneQueryParser,matchDoublePointfields,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
uk.co.flax.luwak.assertions,MatchesAssert,"",[org.assertj:assertj-core]
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testWildcardCombinations,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,TermFilteredPresearcher,indexQuery,[org.apache.lucene:lucene-core]
