packageName,className,methodName,apis
org.imixs.workflow,TestRuleEngineGraalJS,testBooleanExpression,[junit:junit]
org.imixs.workflow.engine,WorkflowService,updateMetadata,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.plugins,RulePlugin,run,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.faces.util,ViewExpiredExceptionHandler,getWrapped,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.jaxrs,TestReportService,testcomputeDynamicDateAbsolutDate,"[junit:junit,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine,DocumentService,findDocumentsByRef,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.jaxrs,DocumentTableWriter,isWriteable,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.jaxrs,WorkflowRestService,postWorkitemByUniqueID,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.plugins,TestApplicationPlugin,"","[org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestResultPlugin,testImediateTag,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.adapters,TestAccessAdapterProcessEntity,testACLfromActivityEntity,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.faces.data,DocumentController,delete,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.faces.data,ViewHandler,"","[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.jaxrs,EventLogRestService,getEventLogEntriesByTopic,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.jaxrs,ModelRestService,postModelByVersion,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow,TestRuleEngineGraalJS,testSetItemCollection,[junit:junit]
org.imixs.workflow.engine.plugins,ApproverPlugin,refreshApprovers,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,ReportRestService,getQueryParams,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.plugins,TestApproverPlugin,"","[org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.xml,TestXMLItemCollectionAdapter,testItemCollectionContainingListOfMapWithDate,[junit:junit]
org.imixs.workflow,TestRuleEngine,setup,[junit:junit]
org.imixs.workflow.bpmn,TestBPMNParserStartEvent,testStartEvents,[junit:junit]
org.imixs.workflow.engine,WorkflowService,getWorkListByRef,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,ReportRestService,getHelpHTML,[jakarta.platform:jakarta.jakartaee-api]
