packageName,className,methodName,apis
no.priv.garshol.duke.datasources,NTriplesDataSourceTest,testSingleRecord,[junit:junit]
no.priv.garshol.duke.utils,NTriplesParserTest,testLanguageTagBad2,[junit:junit]
no.priv.garshol.duke.cleaners,HTMLCleanerTest,setUp,[junit:junit]
no.priv.garshol.duke.cleaners,NorwegianAddressCleanerTest,testVnVnDot,[junit:junit]
no.priv.garshol.duke.cleaners,TrimCleanerTest,testOnlyDigits,[junit:junit]
no.priv.garshol.duke.comparators,JaroWinklerTest,testTotallyDifferent,[junit:junit]
no.priv.garshol.duke.comparators,NorphoneComparatorTest,testThomas,[junit:junit]
no.priv.garshol.duke.datasources,InMemoryDataSourceTest,testSimple,[junit:junit]
no.priv.garshol.duke.server,CommonJTimer,"",[org.codehaus.fabric3.api:commonj]
no.priv.garshol.duke.cleaners,HTMLCleanerTest,testLast,[junit:junit]
no.priv.garshol.duke.databases,GeoProperty,createIndexableFields,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
no.priv.garshol.duke.datasources,CSVDataSourceTest,testHeaderNotInConfig,[junit:junit]
no.priv.garshol.duke.test,ConfigurationTest,testLookupPropertiesRequired,[junit:junit]
no.priv.garshol.duke.cleaners,LowerCaseNormalizeCleanerTest,testSingleSpace,[junit:junit]
no.priv.garshol.duke.integration,IT,testShowData,[junit:junit]
no.priv.garshol.duke.server,CommonJTimer,isRunning,[org.codehaus.fabric3.api:commonj]
no.priv.garshol.duke.comparators,JaroWinklerTest,testWikipedia4,[junit:junit]
no.priv.garshol.duke.comparators,NumericComparatorTest,testZero,[junit:junit]
no.priv.garshol.duke.datasources,JsonDataSourceTest,multipleRecords,[junit:junit]
no.priv.garshol.duke.datasources,SparqlDataSourceTest,testTripleModeFourColumns,[junit:junit]
no.priv.garshol.duke.comparators,JaroWinklerTest,testWinkler3,[junit:junit]
no.priv.garshol.duke.comparators,LongestCommonSubstringTest,testSymmetric,[junit:junit]
no.priv.garshol.duke.comparators,MetaphoneComparatorTest,testB,[junit:junit]
no.priv.garshol.duke.databases,GeoSearchingTest,testGeosearch,[junit:junit]
no.priv.garshol.duke.datasources,NTriplesDataSourceTest,testRealData,[junit:junit]
no.priv.garshol.duke.test,InMemoryLinkDatabaseTest,testAddOne,[junit:junit]
